<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TTR,20170626,26.50,27.50,26.50,27.50,200,26.50,27.50,26.50,27.50,0,0,0
TTR,20170616,23.90,25.00,23.90,25.00,400,23.90,25.00,23.90,25.00,0,0,0
TTR,20170607,23.50,23.50,23.50,23.50,1000,23.50,23.50,23.50,23.50,480,0,0
TTR,20170531,23.00,23.00,23.00,23.00,200,23.00,23.00,23.00,23.00,0,0,0
TTR,20170530,23.00,23.00,23.00,23.00,2000,23.00,23.00,23.00,23.00,0,0,0
TTR,20170428,20.00,20.00,20.00,20.00,100,20.00,20.00,20.00,20.00,4269,0,0
TTR,20170427,21.50,21.50,21.50,21.50,1000,21.50,21.50,21.50,21.50,0,0,0
TTR,20170421,21.10,21.10,21.10,21.10,1550,21.10,21.10,21.10,21.10,0,0,0
TTR,20170420,20.00,20.10,20.00,20.10,4705,20.00,20.10,20.00,20.10,0,0,0
TTR,20170418,22.00,22.00,22.00,22.00,9800,22.00,22.00,22.00,22.00,0,0,0
TTR,20170417,20.00,22.00,20.00,21.00,6200,20.00,22.00,20.00,21.00,0,0,0
TTR,20170412,21.00,21.00,21.00,21.00,300,21.00,21.00,21.00,21.00,0,0,0
TTR,20170411,20.70,20.70,20.70,20.70,500,20.70,20.70,20.70,20.70,0,0,0
TTR,20170407,18.00,18.00,18.00,18.00,300,18.00,18.00,18.00,18.00,0,0,0
TTR,20170331,17.50,17.50,17.50,17.50,100,17.50,17.50,17.50,17.50,0,0,0
TTR,20170330,17.50,17.50,17.50,17.50,200,17.50,17.50,17.50,17.50,0,0,0
TTR,20170329,22.70,22.70,16.90,16.90,1000,22.70,22.70,16.90,16.90,0,0,0
TTR,20170327,19.80,19.80,19.80,19.80,100,19.80,19.80,19.80,19.80,0,0,0
TTR,20170324,23.00,23.00,17.00,17.00,1900,23.00,23.00,17.00,17.00,0,0,0
TTR,20170323,20.00,20.00,20.00,20.00,500,20.00,20.00,20.00,20.00,400000,0,0
TTR,20170321,17.40,17.40,17.40,17.40,2300,17.40,17.40,17.40,17.40,0,0,0
TTR,20170320,17.40,18.00,17.40,18.00,1700,17.40,18.00,17.40,18.00,0,0,0
TTR,20170317,17.70,17.70,17.00,17.00,1900,17.70,17.70,17.00,17.00,0,0,0
TTR,20170314,15.40,15.40,15.40,15.40,100,15.40,15.40,15.40,15.40,0,0,0
TTR,20170310,13.40,13.40,13.40,13.40,300,13.40,13.40,13.40,13.40,0,0,0
TTR,20170309,11.70,11.70,11.70,11.70,100,11.70,11.70,11.70,11.70,0,0,0
TTR,20170308,10.20,10.20,10.20,10.20,100,10.20,10.20,10.20,10.20,0,0,0
TTR,20170307,8.90,8.90,8.90,8.90,500,8.90,8.90,8.90,8.90,0,0,0
TTR,20170306,7.80,7.80,7.80,7.80,100,7.80,7.80,7.80,7.80,0,0,0
TTR,20170302,6.80,6.80,6.80,6.80,100,6.80,6.80,6.80,6.80,0,0,0
TTR,20170301,7.90,7.90,7.90,7.90,100,7.90,7.90,7.90,7.90,0,0,0
TTR,20170228,9.20,9.20,9.20,9.20,100,9.20,9.20,9.20,9.20,0,0,0
TTR,20170227,10.80,10.80,10.80,10.80,100,10.80,10.80,10.80,10.80,0,0,0
TTR,20170223,9.40,9.40,9.40,9.40,200,9.40,9.40,9.40,9.40,0,0,0
TTR,20170222,8.20,8.20,8.20,8.20,200,8.20,8.20,8.20,8.20,0,0,0
TTR,20170221,7.20,7.20,7.20,7.20,200,7.20,7.20,7.20,7.20,0,0,0
TTR,20170217,6.30,8.30,6.30,8.30,171199,6.30,8.30,6.30,8.30,0,0,0
TTR,20170216,8.20,8.20,7.20,8.20,2300,8.20,8.20,7.20,8.20,0,0,0
TTR,20170215,7.20,7.20,7.20,7.20,100,7.20,7.20,7.20,7.20,0,0,0
