<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TUG,20170622,11.60,11.60,11.60,11.60,100,11.60,11.60,11.60,11.60,0,0,0
TUG,20170620,10.30,10.30,10.30,10.30,100,10.30,10.30,10.30,10.30,0,0,0
TUG,20170616,9.20,9.20,9.20,9.20,100,9.20,9.20,9.20,9.20,0,0,0
TUG,20170613,8.90,8.90,8.90,8.90,100,8.90,8.90,8.90,8.90,0,0,0
TUG,20170612,10.70,10.70,8.50,8.50,1011,10.70,10.70,8.50,8.50,0,0,0
TUG,20170608,9.40,9.40,9.40,9.40,100,9.40,9.40,9.40,9.40,0,0,0
TUG,20170602,8.30,8.30,8.30,8.30,2000,8.30,8.30,8.30,8.30,0,0,0
TUG,20170525,9.50,9.50,9.50,9.50,200,9.50,9.50,9.50,9.50,0,0,0
TUG,20170524,8.60,9.30,8.50,9.30,3900,8.60,9.30,8.50,9.30,0,0,0
TUG,20170522,8.50,9.60,8.50,9.60,600,8.50,9.60,8.50,9.60,0,0,0
TUG,20170519,9.30,9.30,9.30,9.30,100,9.30,9.30,9.30,9.30,0,0,0
TUG,20170518,9.00,9.00,8.20,8.20,2100,9.00,9.00,8.20,8.20,0,0,0
TUG,20170517,9.20,9.20,9.20,9.20,100,9.20,9.20,9.20,9.20,0,0,0
TUG,20170516,8.00,9.20,8.00,9.20,2000,8.00,9.20,8.00,9.20,0,0,0
TUG,20170515,8.20,8.20,8.10,8.10,1600,8.20,8.20,8.10,8.10,0,0,0
TUG,20170511,9.50,9.50,9.50,9.50,100,9.50,9.50,9.50,9.50,0,0,0
TUG,20170510,9.60,9.60,8.50,9.50,1900,9.60,9.60,8.50,9.50,0,0,0
TUG,20170427,10.00,10.00,10.00,10.00,11,10.00,10.00,10.00,10.00,0,0,0
TUG,20170425,10.00,10.00,10.00,10.00,100,10.00,10.00,10.00,10.00,0,0,0
TUG,20170419,9.10,9.10,9.10,9.10,600,9.10,9.10,9.10,9.10,0,0,0
TUG,20170413,9.80,9.80,9.80,9.80,1000,9.80,9.80,9.80,9.80,0,0,0
TUG,20170412,9.80,9.80,9.80,9.80,400,9.80,9.80,9.80,9.80,0,0,0
TUG,20170411,10.00,10.00,10.00,10.00,1200,10.00,10.00,10.00,10.00,0,0,0
TUG,20170405,10.00,10.00,10.00,10.00,3900,10.00,10.00,10.00,10.00,2500,0,0
TUG,20170404,10.00,10.30,10.00,10.30,3400,10.00,10.30,10.00,10.30,1400,0,0
TUG,20170403,10.10,10.40,10.10,10.10,1500,10.10,10.40,10.10,10.10,0,0,0
TUG,20170331,10.10,10.10,10.10,10.10,600,10.10,10.10,10.10,10.10,0,0,0
TUG,20170329,9.90,10.00,9.90,10.00,1700,9.90,10.00,9.90,10.00,0,0,0
TUG,20170327,9.80,9.80,9.80,9.80,3600,9.80,9.80,9.80,9.80,4100,0,0
TUG,20170324,9.80,9.80,9.80,9.80,1400,9.80,9.80,9.80,9.80,0,0,0
TUG,20170323,9.80,9.80,9.80,9.80,2400,9.80,9.80,9.80,9.80,0,0,0
TUG,20170322,9.80,9.80,9.80,9.80,330,9.80,9.80,9.80,9.80,0,0,0
TUG,20170321,9.80,9.80,9.80,9.80,400,9.80,9.80,9.80,9.80,0,0,0
TUG,20170320,9.70,9.80,9.70,9.80,9170,9.70,9.80,9.70,9.80,0,0,0
TUG,20170317,9.80,9.80,9.80,9.80,1000,9.80,9.80,9.80,9.80,0,0,0
TUG,20170316,9.70,9.80,9.50,9.50,3600,9.70,9.80,9.50,9.50,0,0,0
TUG,20170315,9.50,9.50,9.50,9.50,1400,9.50,9.50,9.50,9.50,0,0,0
TUG,20170314,9.50,9.80,9.50,9.80,4600,9.50,9.80,9.50,9.80,1300,0,0
TUG,20170313,9.80,9.80,9.80,9.80,1000,9.80,9.80,9.80,9.80,0,0,0
TUG,20170310,9.50,9.50,9.50,9.50,400,9.50,9.50,9.50,9.50,0,0,0
TUG,20170309,9.50,9.50,9.50,9.50,1100,9.50,9.50,9.50,9.50,0,0,0
TUG,20170306,9.50,9.50,9.50,9.50,1700,9.50,9.50,9.50,9.50,0,0,0
TUG,20170302,9.50,9.50,9.50,9.50,100,9.50,9.50,9.50,9.50,0,0,0
TUG,20170227,9.00,9.00,9.00,9.00,6541,9.00,9.00,9.00,9.00,0,0,0
TUG,20170223,9.00,9.00,9.00,9.00,4500,9.00,9.00,9.00,9.00,0,0,0
