<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TVM,20170620,7.50,7.50,7.50,7.50,4000,7.50,7.50,7.50,7.50,0,0,0
TVM,20170619,7.50,7.50,7.50,7.50,500,7.50,7.50,7.50,7.50,0,0,0
TVM,20170614,8.00,8.00,8.00,8.00,500,8.00,8.00,8.00,8.00,0,0,0
TVM,20170613,8.00,8.00,8.00,8.00,3000,8.00,8.00,8.00,8.00,0,0,0
TVM,20170612,7.00,7.00,7.00,7.00,600,7.00,7.00,7.00,7.00,0,0,0
TVM,20170608,6.10,6.10,6.10,6.10,4000,6.10,6.10,6.10,6.10,0,0,0
TVM,20170602,6.00,6.00,6.00,6.00,500,6.00,6.00,6.00,6.00,0,0,0
TVM,20170601,6.00,6.20,6.00,6.00,6100,6.00,6.20,6.00,6.00,0,0,0
TVM,20170529,7.00,7.00,7.00,7.00,500,7.00,7.00,7.00,7.00,0,0,0
TVM,20170526,6.80,6.80,6.80,6.80,500,6.80,6.80,6.80,6.80,0,0,0
TVM,20170411,8.00,8.00,8.00,8.00,500,8.00,8.00,8.00,8.00,0,0,0
TVM,20170410,7.40,7.40,7.40,7.40,100,7.40,7.40,7.40,7.40,0,0,0
TVM,20170317,8.00,8.00,8.00,8.00,300,9.00,9.00,9.00,9.00,0,0,0
TVM,20170316,7.38,7.38,7.38,7.38,200,8.30,8.30,8.30,8.30,0,0,0
TVM,20161103,6.49,6.49,6.49,6.49,8000,7.30,7.30,7.30,7.30,0,8000,0
TVM,20161101,6.49,6.49,6.49,6.49,1000,7.30,7.30,7.30,7.30,0,0,0
TVM,20161020,6.49,6.49,6.49,6.49,500,7.30,7.30,7.30,7.30,0,0,0
TVM,20161019,6.49,6.49,6.49,6.49,500,7.30,7.30,7.30,7.30,0,0,0
TVM,20160711,6.76,6.76,6.31,6.31,400,7.60,7.60,7.10,7.10,0,0,0
TVM,20160707,7.20,7.55,7.20,7.56,200,8.10,8.50,8.10,8.50,0,0,0
TVM,20160614,8.44,8.44,8.44,8.44,300,9.50,9.50,9.50,9.50,0,0,0
TVM,20160610,9.61,9.61,7.11,7.11,700,10.80,10.80,8.00,8.00,0,0,0
TVM,20160608,8.36,8.36,8.36,8.36,100,9.40,9.40,9.40,9.40,0,0,0
TVM,20160525,9.78,9.78,9.78,9.78,3000,11.00,11.00,11.00,11.00,0,0,0
TVM,20160512,10.66,10.66,10.66,10.67,300,12.00,12.00,12.00,12.00,0,0,0
TVM,20160506,9.09,9.50,9.09,9.50,200,11.00,11.50,11.00,11.50,0,0,0
TVM,20160428,8.26,8.26,8.26,8.26,100,10.00,10.00,10.00,10.00,0,0,0
TVM,20160114,9.75,9.75,9.75,9.75,300,11.80,11.80,11.80,11.80,0,0,0
