<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TVN,20170627,8.00,8.00,8.00,8.00,100,8.00,8.00,8.00,8.00,0,0,0
TVN,20170626,8.00,8.00,8.00,8.00,9900,8.00,8.00,8.00,8.00,0,0,0
TVN,20170623,8.00,8.00,7.60,7.70,9200,8.00,8.00,7.60,7.70,0,0,0
TVN,20170622,7.60,8.10,7.60,7.80,17400,7.60,8.10,7.60,7.80,0,0,0
TVN,20170619,7.50,7.60,7.50,7.60,200,7.50,7.60,7.50,7.60,0,0,0
TVN,20170614,7.50,7.50,7.50,7.50,400,7.50,7.50,7.50,7.50,0,0,0
TVN,20170607,7.60,7.60,7.60,7.60,500,7.60,7.60,7.60,7.60,0,0,0
TVN,20170606,7.60,7.60,7.60,7.60,1100,7.60,7.60,7.60,7.60,0,0,0
TVN,20170605,7.60,7.60,7.60,7.60,7700,7.60,7.60,7.60,7.60,0,0,0
TVN,20170602,7.60,7.60,7.60,7.60,4000,7.60,7.60,7.60,7.60,0,0,0
TVN,20170601,7.60,7.60,7.60,7.60,4600,7.60,7.60,7.60,7.60,0,0,0
TVN,20170531,7.60,7.60,7.60,7.60,3300,7.60,7.60,7.60,7.60,0,0,0
TVN,20170529,7.60,7.60,7.60,7.60,100,7.60,7.60,7.60,7.60,0,0,0
TVN,20170526,7.00,7.00,7.00,7.00,100,7.00,7.00,7.00,7.00,0,0,0
TVN,20170525,7.00,7.00,7.00,7.00,10,7.00,7.00,7.00,7.00,0,0,0
TVN,20170524,7.00,7.00,7.00,7.00,400,7.00,7.00,7.00,7.00,0,0,0
TVN,20170523,7.00,7.00,7.00,7.00,10100,7.00,7.00,7.00,7.00,0,0,0
TVN,20170519,7.40,7.60,7.40,7.60,1700,7.40,7.60,7.40,7.60,0,0,0
TVN,20170517,7.30,7.30,7.30,7.30,600,7.30,7.30,7.30,7.30,0,0,0
TVN,20170516,7.40,7.40,7.40,7.40,1000,7.40,7.40,7.40,7.40,0,0,0
TVN,20170515,7.40,7.40,7.40,7.40,900,7.40,7.40,7.40,7.40,0,0,0
TVN,20170511,7.30,7.40,7.30,7.40,5120,7.30,7.40,7.30,7.40,0,0,0
TVN,20170510,7.30,7.30,7.00,7.20,4600,7.30,7.30,7.00,7.20,0,0,0
TVN,20170509,7.30,7.30,7.30,7.30,100,7.30,7.30,7.30,7.30,0,0,0
TVN,20170505,7.00,7.20,7.00,7.20,5900,7.00,7.20,7.00,7.20,0,0,0
TVN,20170504,7.20,7.20,7.20,7.20,200,7.20,7.20,7.20,7.20,0,0,0
TVN,20170503,7.90,7.90,7.90,7.90,200,7.90,7.90,7.90,7.90,0,0,0
