<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TW3,20170626,13.50,15.00,13.50,15.00,800,13.50,15.00,13.50,15.00,0,0,0
TW3,20170623,13.70,13.70,13.70,13.70,100,13.70,13.70,13.70,13.70,0,0,0
TW3,20170621,13.60,13.70,13.60,13.70,200,13.60,13.70,13.60,13.70,0,0,0
TW3,20170616,16.00,16.00,16.00,16.00,100,16.00,16.00,16.00,16.00,0,0,0
TW3,20170608,15.50,15.50,15.50,15.50,100,15.50,15.50,15.50,15.50,0,0,0
TW3,20170601,14.90,14.90,14.90,14.90,100,14.90,14.90,14.90,14.90,0,0,0
TW3,20170526,13.00,13.00,13.00,13.00,100,13.90,13.90,13.90,13.90,0,0,0
TW3,20170525,11.22,11.31,11.22,11.22,1200,12.00,12.10,12.00,12.00,0,0,0
TW3,20170523,13.00,13.28,13.00,13.28,700,13.90,14.20,13.90,14.20,0,0,0
TW3,20170519,14.03,14.03,13.56,13.56,200,15.00,15.00,14.50,14.50,0,0,0
TW3,20170516,14.88,14.88,14.03,14.03,300,15.90,15.90,15.00,15.00,0,0,0
TW3,20170512,15.52,15.52,15.52,15.53,100,16.60,16.60,16.60,16.60,0,0,0
TW3,20170511,15.99,15.99,15.71,15.71,400,17.10,17.10,16.80,16.80,0,0,0
TW3,20170504,14.13,14.13,14.13,14.12,100,15.10,15.10,15.10,15.10,0,0,0
TW3,20170425,12.34,12.34,12.34,12.35,100,13.20,13.20,13.20,13.20,0,0,0
TW3,20170424,12.25,12.25,12.25,12.25,100,13.10,13.10,13.10,13.10,0,0,0
TW3,20170420,14.12,14.12,14.12,14.12,100,15.10,15.10,15.10,15.10,0,0,0
TW3,20170419,13.37,13.37,12.16,12.16,700,14.30,14.30,13.00,13.00,0,0,0
TW3,20170418,13.00,13.09,13.00,13.00,1300,13.90,14.00,13.90,13.90,0,0,0
TW3,20170417,15.15,15.15,15.15,15.15,9200,16.20,16.20,16.20,16.20,0,0,0
TW3,20170414,17.77,17.77,17.77,17.77,700,19.00,19.00,19.00,19.00,0,0,0
TW3,20170412,20.86,20.86,20.86,20.86,100,22.30,22.30,22.30,22.30,0,0,0
TW3,20170411,18.24,18.24,18.24,18.24,17500,19.50,19.50,19.50,19.50,0,0,0
TW3,20170410,15.90,15.90,15.90,15.90,600,17.00,17.00,17.00,17.00,0,0,0
TW3,20170407,13.85,13.85,13.85,13.84,200,14.80,14.80,14.80,14.80,0,0,0
TW3,20170405,12.07,12.07,12.07,12.07,200,12.90,12.90,12.90,12.90,0,0,0
TW3,20170404,10.57,10.57,10.57,10.57,4900,11.30,11.30,11.30,11.30,0,0,0
TW3,20170403,8.98,9.35,8.98,9.35,700,9.60,10.00,9.60,10.00,0,0,0
TW3,20170331,8.69,8.69,8.69,8.70,400,9.30,9.30,9.30,9.30,0,0,0
TW3,20170330,10.29,10.29,10.20,10.19,9000,11.00,11.00,10.90,10.90,0,0,0
TW3,20170329,11.98,12.07,11.88,11.88,700,12.80,12.90,12.70,12.70,0,0,0
TW3,20170307,13.65,13.65,13.65,13.66,300,14.60,14.60,14.60,14.60,0,0,0
TW3,20170306,13.56,13.56,11.69,12.25,4300,14.50,14.50,12.50,13.10,0,0,0
TW3,20170302,13.66,14.03,13.66,14.03,400,14.60,15.00,14.60,15.00,0,0,0
TW3,20170301,14.12,14.31,14.12,14.31,400,15.10,15.30,15.10,15.30,0,0,0
TW3,20170224,16.27,16.27,16.27,16.27,100,17.40,17.40,17.40,17.40,0,0,0
TW3,20170220,14.59,14.59,14.59,14.59,100,15.60,15.60,15.60,15.60,0,0,0
TW3,20170209,16.08,16.08,14.03,14.12,400,17.20,17.20,15.00,15.10,0,0,0
TW3,20170203,16.27,16.27,16.27,16.27,300,17.40,17.40,17.40,17.40,0,0,0
TW3,20170119,19.08,19.08,19.08,19.08,100,20.40,20.40,20.40,20.40,0,0,0
TW3,20170112,16.46,16.84,16.46,16.84,200,17.60,18.00,17.60,18.00,0,0,0
TW3,20170106,16.65,16.65,16.65,16.65,100,17.80,17.80,17.80,17.80,0,0,0
TW3,20170105,14.87,14.87,14.87,14.87,800,15.90,15.90,15.90,15.90,0,0,0
TW3,20170104,14.77,14.87,14.77,14.87,200,15.80,15.90,15.80,15.90,0,0,0
TW3,20170103,19.55,19.55,14.96,14.96,200,20.90,20.90,16.00,16.00,0,0,0
TW3,20161228,17.49,17.49,17.49,17.49,100,18.70,18.70,18.70,18.70,0,0,0
TW3,20161214,20.48,20.48,20.48,20.48,100,21.90,21.90,21.90,21.90,0,0,0
TW3,20161213,19.55,19.55,19.46,19.45,400,20.90,20.90,20.80,20.80,0,0,0
TW3,20161212,18.71,18.71,18.71,18.71,100,20.00,20.00,20.00,20.00,0,0,0
TW3,20161209,19.64,20.67,19.64,20.67,300,21.00,22.10,21.00,22.10,0,0,0
TW3,20161208,18.70,20.48,18.70,20.48,400,20.00,21.90,20.00,21.90,0,0,0
TW3,20161207,20.48,20.48,20.48,20.48,400,21.90,21.90,21.90,21.90,0,0,0
TW3,20161206,20.39,20.39,19.17,19.17,1500,21.80,21.80,20.50,20.50,0,0,0
TW3,20161205,17.78,17.78,17.78,17.77,100,19.00,19.00,19.00,19.00,0,0,0
TW3,20161201,15.52,15.52,15.52,15.53,100,16.60,16.60,16.60,16.60,0,0,0
TW3,20161130,16.28,16.28,16.28,16.27,1400,17.40,17.40,17.40,17.40,0,0,0
TW3,20161129,16.65,16.84,15.25,15.25,2300,17.80,18.00,16.30,16.30,0,0,0
TW3,20161128,15.06,15.06,15.06,15.06,200,16.10,16.10,16.10,16.10,0,0,0
TW3,20161125,14.97,16.65,14.97,16.65,700,16.00,17.80,16.00,17.80,0,0,0
TW3,20161124,15.15,16.37,15.15,16.37,900,16.20,17.50,16.20,17.50,0,0,0
TW3,20161123,17.77,17.77,17.77,17.77,100,19.00,19.00,19.00,19.00,0,0,0
TW3,20161121,19.64,19.64,14.96,16.37,10000,21.00,21.00,16.00,17.50,0,0,0
TW3,20161118,17.58,17.58,17.58,17.58,100,18.80,18.80,18.80,18.80,0,0,0
TW3,20161117,15.34,15.34,15.34,15.34,100,16.40,16.40,16.40,16.40,0,0,0
TW3,20161116,13.56,13.56,13.28,13.28,1000,14.50,14.50,14.20,14.20,0,0,0
TW3,20161115,15.15,17.77,15.15,17.77,7600,16.20,19.00,16.20,19.00,0,0,0
TW3,20161114,17.77,17.77,17.77,17.77,100,19.00,19.00,19.00,19.00,0,0,0
TW3,20161111,20.86,20.86,20.86,20.86,1000,22.30,22.30,22.30,22.30,0,0,0
TW3,20161110,27.12,27.12,20.39,20.39,3000,29.00,29.00,21.80,21.80,0,0,0
TW3,20161109,23.95,23.95,23.95,23.94,6000,25.60,25.60,25.60,25.60,0,0,0
TW3,20161108,20.85,20.85,20.85,20.86,2500,22.30,22.30,22.30,22.30,0,0,0
TW3,20161107,18.15,18.15,18.15,18.14,4800,19.40,19.40,19.40,19.40,0,0,0
TW3,20161104,15.81,15.81,15.81,15.81,11300,16.90,16.90,16.90,16.90,0,0,0
TW3,20161026,13.75,13.75,13.75,13.75,1300,14.70,14.70,14.70,14.70,0,0,0
