<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
V21,20170627,7.90,7.90,7.90,7.90,2100,7.90,7.90,7.90,7.90,0,0,0
V21,20170626,7.90,7.90,7.90,7.90,2600,7.90,7.90,7.90,7.90,0,0,0
V21,20170623,7.90,7.90,7.90,7.90,2000,7.90,7.90,7.90,7.90,0,0,0
V21,20170622,7.90,7.90,7.90,7.90,2200,7.90,7.90,7.90,7.90,0,0,0
V21,20170621,7.90,7.90,7.90,7.90,2200,7.90,7.90,7.90,7.90,0,0,0
V21,20170620,8.00,8.00,7.50,7.50,2200,8.00,8.00,7.50,7.50,0,0,0
V21,20170619,8.00,8.00,8.00,8.00,34100,8.00,8.00,8.00,8.00,0,0,0
V21,20170615,8.10,8.10,8.10,8.10,6500,8.10,8.10,8.10,8.10,0,0,0
V21,20170614,8.10,8.10,8.10,8.10,6200,8.10,8.10,8.10,8.10,0,0,0
V21,20170612,8.10,8.10,8.10,8.10,6229,8.10,8.10,8.10,8.10,0,0,0
V21,20170609,8.10,8.10,8.00,8.00,4400,8.10,8.10,8.00,8.00,0,0,0
V21,20170608,8.20,8.20,8.00,8.00,3200,8.20,8.20,8.00,8.00,0,0,0
V21,20170607,8.20,8.20,8.10,8.10,4200,8.20,8.20,8.10,8.10,0,0,0
V21,20170606,8.10,8.10,8.10,8.10,3800,8.10,8.10,8.10,8.10,0,0,0
V21,20170605,8.10,8.10,7.90,7.90,11000,8.10,8.10,7.90,7.90,0,0,0
V21,20170602,8.20,8.30,8.10,8.20,10800,8.20,8.30,8.10,8.20,0,0,0
V21,20170601,8.10,8.80,8.10,8.20,8100,8.10,8.80,8.10,8.20,0,0,0
V21,20170531,8.30,8.30,7.80,8.00,9432,8.30,8.30,7.80,8.00,0,0,0
V21,20170530,8.20,8.30,8.20,8.30,6500,8.20,8.30,8.20,8.30,0,0,0
V21,20170529,8.20,8.30,8.20,8.30,4200,8.20,8.30,8.20,8.30,0,0,0
V21,20170526,8.40,8.40,7.90,8.00,39090,8.40,8.40,7.90,8.00,0,0,0
V21,20170525,8.60,8.60,8.60,8.60,5500,8.60,8.60,8.60,8.60,0,0,0
V21,20170524,8.30,8.50,8.20,8.20,5849,8.30,8.50,8.20,8.20,0,0,0
V21,20170523,8.80,8.80,8.50,8.80,500,8.80,8.80,8.50,8.80,0,0,0
V21,20170522,8.80,9.00,8.20,8.80,33800,8.80,9.00,8.20,8.80,0,0,0
V21,20170519,8.80,8.80,8.40,8.80,32800,8.80,8.80,8.40,8.80,0,0,0
V21,20170518,8.70,9.00,8.50,8.80,41700,8.70,9.00,8.50,8.80,0,0,0
V21,20170517,8.30,8.50,8.20,8.50,36700,8.30,8.50,8.20,8.50,0,0,0
V21,20170516,8.20,8.30,7.90,8.20,24500,8.20,8.30,7.90,8.20,0,0,0
V21,20170515,8.00,8.00,8.00,8.00,100,8.00,8.00,8.00,8.00,0,0,0
V21,20170511,7.50,7.50,7.50,7.50,100,7.50,7.50,7.50,7.50,0,0,0
V21,20170510,8.30,8.30,8.30,8.30,400,8.30,8.30,8.30,8.30,0,0,0
V21,20170509,10.00,10.00,9.20,9.20,42083,10.00,10.00,9.20,9.20,0,0,0
V21,20170508,10.10,10.30,10.00,10.20,135700,10.10,10.30,10.00,10.20,0,0,0
V21,20170505,10.00,10.20,9.80,10.20,108300,10.00,10.20,9.80,10.20,0,0,0
V21,20170504,10.00,10.80,9.90,10.00,104600,10.00,10.80,9.90,10.00,0,0,0
V21,20170503,10.30,10.30,9.90,10.00,105883,10.30,10.30,9.90,10.00,0,0,0
V21,20170428,10.40,10.40,10.20,10.30,127600,10.40,10.40,10.20,10.30,0,0,0
V21,20170427,10.40,10.40,10.20,10.40,134200,10.40,10.40,10.20,10.40,0,0,0
V21,20170426,10.00,10.50,10.00,10.40,140400,10.00,10.50,10.00,10.40,0,0,0
V21,20170425,8.50,10.30,8.50,10.30,10100,8.50,10.30,8.50,10.30,0,0,0
V21,20170424,9.40,9.50,9.40,9.40,3807,9.40,9.50,9.40,9.40,0,0,0
V21,20170421,11.80,11.80,10.40,10.40,1543,11.80,11.80,10.40,10.40,0,0,0
V21,20170420,11.50,11.50,11.50,11.50,400,11.50,11.50,11.50,11.50,0,0,0
V21,20170419,12.90,12.90,12.50,12.50,200,12.90,12.90,12.50,12.50,0,0,0
V21,20170418,13.10,13.10,12.10,12.50,8094,13.10,13.10,12.10,12.50,0,0,0
V21,20170417,13.30,13.30,13.00,13.10,80200,13.30,13.30,13.00,13.10,0,0,0
V21,20170414,13.80,13.80,13.00,13.50,108700,13.80,13.80,13.00,13.50,0,0,0
V21,20170413,13.00,14.30,13.00,13.80,103200,13.00,14.30,13.00,13.80,0,0,0
V21,20170412,12.30,13.00,12.30,13.00,90100,12.30,13.00,12.30,13.00,0,0,0
V21,20170411,13.10,13.10,11.90,12.00,111900,13.10,13.10,11.90,12.00,0,0,0
V21,20170410,13.60,13.60,12.80,13.00,121600,13.60,13.60,12.80,13.00,0,0,0
V21,20170407,13.80,13.80,12.60,13.60,114100,13.80,13.80,12.60,13.60,0,0,0
V21,20170405,14.40,14.40,13.70,13.70,143200,14.40,14.40,13.70,13.70,0,0,0
V21,20170404,14.80,14.80,14.20,14.50,147349,14.80,14.80,14.20,14.50,0,0,0
V21,20170403,14.50,15.40,14.00,14.70,145100,14.50,15.40,14.00,14.70,0,0,0
V21,20170331,14.80,14.80,14.10,14.70,152700,14.80,14.80,14.10,14.70,0,0,0
V21,20170330,15.00,15.00,14.70,14.80,137400,15.00,15.00,14.70,14.80,0,0,0
V21,20170329,15.10,15.10,14.60,15.00,134400,15.10,15.10,14.60,15.00,0,0,0
V21,20170328,15.00,15.30,14.50,15.10,138835,15.00,15.30,14.50,15.10,0,0,0
V21,20170327,15.20,15.20,14.90,15.10,146200,15.20,15.20,14.90,15.10,0,0,0
V21,20170324,15.40,15.40,15.00,15.30,160700,15.40,15.40,15.00,15.30,0,0,0
V21,20170323,15.40,15.50,15.10,15.40,142740,15.40,15.50,15.10,15.40,0,0,0
V21,20170322,15.80,15.90,15.10,15.30,129339,15.80,15.90,15.10,15.30,0,0,0
V21,20170321,15.60,15.90,15.10,15.90,144084,15.60,15.90,15.10,15.90,0,0,0
V21,20170320,16.00,16.00,15.30,15.60,139500,16.00,16.00,15.30,15.60,0,0,0
V21,20170317,16.30,16.30,15.90,16.00,144100,16.30,16.30,15.90,16.00,0,0,0
V21,20170316,16.50,16.60,15.90,16.30,131300,16.50,16.60,15.90,16.30,0,0,0
V21,20170315,15.30,16.50,15.30,16.50,188200,15.30,16.50,15.30,16.50,0,0,0
V21,20170314,15.10,15.80,14.50,15.10,207906,15.10,15.80,14.50,15.10,0,0,0
V21,20170313,15.20,15.40,15.00,15.10,137000,15.20,15.40,15.00,15.10,0,0,0
V21,20170310,15.10,15.50,14.90,15.20,190076,15.10,15.50,14.90,15.20,0,0,0
V21,20170309,14.90,16.00,14.80,14.80,252874,14.90,16.00,14.80,14.80,0,0,0
