<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VCA,20170627,10.90,10.90,10.90,10.90,200,10.90,10.90,10.90,10.90,0,0,0
VCA,20170626,11.90,11.90,10.90,10.90,600,11.90,11.90,10.90,10.90,0,100,0
VCA,20170623,10.70,12.10,10.60,11.90,11500,10.70,12.10,10.60,11.90,0,3200,0
VCA,20170622,10.70,10.70,10.70,10.70,5100,10.70,10.70,10.70,10.70,0,0,0
VCA,20170620,11.00,11.00,10.90,10.90,7100,11.00,11.00,10.90,10.90,0,100,0
VCA,20170619,11.00,11.00,10.90,10.90,300,11.00,11.00,10.90,10.90,0,100,0
VCA,20170616,10.90,10.90,10.60,10.60,2400,10.90,10.90,10.60,10.60,0,0,0
VCA,20170615,11.10,11.10,10.80,10.80,200,11.10,11.10,10.80,10.80,0,100,0
VCA,20170614,11.10,11.10,10.80,10.80,2100,11.10,11.10,10.80,10.80,0,100,0
VCA,20170613,11.20,11.20,10.30,10.30,6600,11.20,11.20,10.30,10.30,0,100,0
VCA,20170612,11.20,11.20,10.90,10.90,800,11.20,11.20,10.90,10.90,0,100,0
VCA,20170609,11.30,11.30,10.90,10.90,500,11.30,11.30,10.90,10.90,0,100,0
VCA,20170608,11.30,11.30,11.20,11.20,900,11.30,11.30,11.20,11.20,0,100,0
VCA,20170607,11.30,11.30,11.00,11.20,1300,11.30,11.30,11.00,11.20,0,100,0
VCA,20170606,11.40,11.40,10.30,10.30,7100,11.40,11.40,10.30,10.30,0,100,0
VCA,20170605,11.50,11.50,10.80,11.20,5100,11.50,11.50,10.80,11.20,0,1500,0
VCA,20170602,12.00,12.00,10.60,11.40,3400,12.00,12.00,10.60,11.40,0,300,0
VCA,20170601,11.50,11.50,11.50,11.50,220,11.50,11.50,11.50,11.50,0,200,0
VCA,20170531,11.20,12.50,11.10,12.50,6800,11.20,12.50,11.10,12.50,0,6800,0
VCA,20170530,11.80,11.80,11.10,11.10,1400,11.80,11.80,11.10,11.10,0,100,0
VCA,20170529,11.30,11.30,11.10,11.10,200,11.30,11.30,11.10,11.10,0,100,0
VCA,20170526,10.70,11.30,10.70,11.20,5400,10.70,11.30,10.70,11.20,0,5200,0
VCA,20170525,10.60,11.00,10.60,10.90,22200,10.60,11.00,10.60,10.90,0,20000,0
VCA,20170524,11.70,11.70,10.40,10.40,200,11.70,11.70,10.40,10.40,0,100,0
VCA,20170523,11.20,11.20,10.30,10.90,2900,11.20,11.20,10.30,10.90,0,100,0
VCA,20170522,11.30,11.30,10.90,10.90,1300,11.30,11.30,10.90,10.90,0,100,0
VCA,20170519,11.40,11.40,10.20,11.20,11700,11.40,11.40,10.20,11.20,0,500,0
VCA,20170518,11.40,11.50,10.10,11.30,3000,11.40,11.50,10.10,11.30,0,1400,0
VCA,20170517,11.40,11.40,11.30,11.30,6500,11.40,11.40,11.30,11.30,0,100,0
VCA,20170516,10.70,11.50,10.70,11.50,21600,10.70,11.50,10.70,11.50,0,21400,0
