<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VFMVFA,20130308,7.00,7.00,7.00,7.00,10000,7.00,7.00,7.00,7.00,0,0,0
VFMVFA,20130307,7.00,7.00,7.00,7.00,2430,7.00,7.00,7.00,7.00,0,0,0
VFMVFA,20130305,7.00,7.00,7.00,7.00,5300,7.00,7.00,7.00,7.00,0,0,5300
VFMVFA,20130304,6.80,7.00,6.80,7.00,34380,6.80,7.00,6.80,7.00,0,0,0
VFMVFA,20130301,6.70,6.70,6.70,6.70,20,6.70,6.70,6.70,6.70,0,0,0
VFMVFA,20130228,6.70,6.70,6.70,6.70,10,6.70,6.70,6.70,6.70,0,0,0
VFMVFA,20130226,6.70,6.70,6.70,6.70,200,6.70,6.70,6.70,6.70,0,0,0
VFMVFA,20130222,6.70,6.70,6.70,6.70,10000,6.70,6.70,6.70,6.70,0,0,0
VFMVFA,20130220,6.70,6.70,6.70,6.70,10000,6.70,6.70,6.70,6.70,0,0,0
VFMVFA,20130219,6.70,6.70,6.70,6.70,63600,6.70,6.70,6.70,6.70,0,0,0
VFMVFA,20130218,6.70,6.70,6.70,6.70,5400,6.70,6.70,6.70,6.70,0,0,0
VFMVFA,20130206,6.70,6.70,6.70,6.70,5500,6.70,6.70,6.70,6.70,0,0,0
VFMVFA,20130205,6.60,6.70,6.60,6.70,8000,6.60,6.70,6.60,6.70,0,0,0
VFMVFA,20130129,6.90,6.90,6.90,6.90,2000,6.90,6.90,6.90,6.90,0,0,0
VFMVFA,20130125,7.00,7.00,7.00,7.00,71000,7.00,7.00,7.00,7.00,0,0,0
VFMVFA,20130124,6.70,6.70,6.70,6.70,3980,6.70,6.70,6.70,6.70,0,0,0
VFMVFA,20130122,6.50,6.50,6.50,6.50,10,6.50,6.50,6.50,6.50,0,0,0
VFMVFA,20130118,6.50,6.50,6.50,6.50,990,6.50,6.50,6.50,6.50,0,0,0
VFMVFA,20130117,6.60,6.60,6.50,6.50,540,6.60,6.60,6.50,6.50,0,0,0
VFMVFA,20130116,6.50,6.70,6.50,6.70,2010,6.50,6.70,6.50,6.70,0,0,0
VFMVFA,20130114,6.60,6.70,6.60,6.70,200,6.60,6.70,6.60,6.70,0,0,0
