<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIR,20170601,12.00,12.00,12.00,12.00,4,12.00,12.00,12.00,12.00,0,0,0
VIR,20170522,12.00,12.00,12.00,12.00,18,12.00,12.00,12.00,12.00,0,0,0
VIR,20170516,12.00,12.00,12.00,12.00,22,12.00,12.00,12.00,12.00,0,0,0
VIR,20170511,12.00,12.00,12.00,12.00,100,12.00,12.00,12.00,12.00,0,0,0
VIR,20170316,14.00,14.00,14.00,14.00,10000,14.00,14.00,14.00,14.00,0,0,0
VIR,20170314,14.00,14.00,14.00,14.00,2500,14.00,14.00,14.00,14.00,0,0,0
VIR,20170313,14.00,14.00,14.00,14.00,13900,14.00,14.00,14.00,14.00,0,0,0
VIR,20170308,14.00,14.00,14.00,14.00,1000,14.00,14.00,14.00,14.00,0,0,0
VIR,20170307,14.00,15.00,14.00,14.00,2500,14.00,15.00,14.00,14.00,0,0,0
VIR,20170306,14.70,15.00,14.00,14.00,8000,14.70,15.00,14.00,14.00,0,0,0
VIR,20170302,15.00,15.00,14.20,14.70,6000,15.00,15.00,14.20,14.70,0,0,0
VIR,20170301,15.00,15.00,13.50,13.50,2600,15.00,15.00,13.50,13.50,0,0,0
VIR,20170223,13.50,13.50,13.50,13.50,2000,13.50,13.50,13.50,13.50,0,0,0
VIR,20170206,15.00,15.00,15.00,15.00,1000,15.00,15.00,15.00,15.00,0,1000,0
VIR,20161129,14.00,14.00,14.00,14.00,200,14.00,14.00,14.00,14.00,0,0,0
VIR,20161128,14.00,14.00,14.00,14.00,300,14.00,14.00,14.00,14.00,0,0,0
VIR,20161110,14.00,14.00,14.00,14.00,100,14.00,14.00,14.00,14.00,0,0,0
VIR,20161019,11.92,12.67,11.92,12.67,300,12.70,13.50,12.70,13.50,0,0,0
VIR,20161018,12.20,12.20,12.20,12.20,300,13.00,13.00,13.00,13.00,0,0,0
VIR,20161005,12.20,12.20,12.20,12.20,200,13.00,13.00,13.00,13.00,0,0,0
VIR,20160927,12.20,12.20,12.20,12.20,100,13.00,13.00,13.00,13.00,0,0,0
VIR,20160920,11.73,11.73,11.73,11.73,300,12.50,12.50,12.50,12.50,0,0,0
VIR,20160919,11.73,11.73,11.73,11.73,200,12.50,12.50,12.50,12.50,0,0,0
VIR,20160916,11.26,11.26,11.17,11.17,2800,12.00,12.00,11.90,11.90,0,0,0
VIR,20160915,11.26,11.26,11.26,11.26,1300,12.00,12.00,12.00,12.00,0,0,0
VIR,20160914,11.45,11.45,11.26,11.26,1500,12.20,12.20,12.00,12.00,0,0,0
VIR,20160913,11.64,11.64,11.45,11.45,1100,12.40,12.40,12.20,12.20,0,0,0
VIR,20160909,11.64,11.64,11.64,11.64,900,12.40,12.40,12.40,12.40,0,0,0
VIR,20160908,11.26,11.26,11.26,11.26,800,12.00,12.00,12.00,12.00,0,0,0
VIR,20160907,11.26,11.26,11.26,11.26,200,12.00,12.00,12.00,12.00,0,0,0
VIR,20160817,10.32,10.32,10.32,10.32,3100,11.00,11.00,11.00,11.00,0,0,0
VIR,20160707,11.26,11.26,11.26,11.26,300,12.00,12.00,12.00,12.00,0,0,0
VIR,20160701,11.73,11.73,11.73,11.73,5000,12.50,12.50,12.50,12.50,0,0,0
VIR,20160630,11.64,11.73,11.64,11.73,11000,12.40,12.50,12.40,12.50,0,0,0
VIR,20160609,10.23,10.23,10.23,10.23,1000,10.90,10.90,10.90,10.90,0,0,0
VIR,20160531,11.17,11.17,11.17,11.17,100,11.90,11.90,11.90,11.90,0,0,0
VIR,20160525,10.13,10.13,10.13,10.14,100,10.80,10.80,10.80,10.80,0,0,0
