<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VJC,20170627,126.00,126.00,125.00,125.00,389390,126.00,126.00,125.00,125.00,0,0,16880
VJC,20170626,126.40,127.00,125.60,126.00,323890,126.40,127.00,125.60,126.00,0,0,16880
VJC,20170623,124.30,126.00,124.20,126.00,372950,124.30,126.00,124.20,126.00,250000,20710,32000
VJC,20170622,125.10,125.50,123.80,124.00,356330,125.10,125.50,123.80,124.00,0,10860,74070
VJC,20170621,126.70,126.70,125.00,125.10,475110,126.70,126.70,125.00,125.10,0,17010,231120
VJC,20170620,126.50,126.70,126.00,126.50,379170,126.50,126.70,126.00,126.50,250000,2050,86550
VJC,20170619,128.00,128.00,126.50,126.90,272510,128.00,128.00,126.50,126.90,0,12470,93310
VJC,20170616,129.80,129.80,126.60,127.00,313250,129.80,129.80,126.60,127.00,0,90020,54000
VJC,20170615,128.30,128.30,126.50,126.50,283740,128.30,128.30,126.50,126.50,250000,37500,250
VJC,20170614,127.80,127.90,127.00,127.00,435260,127.80,127.90,127.00,127.00,0,92670,20300
VJC,20170613,127.90,127.90,126.60,127.60,281730,127.90,127.90,126.60,127.60,0,240,14230
VJC,20170612,127.70,128.30,126.30,127.00,245880,127.70,128.30,126.30,127.00,0,2030,13140
VJC,20170609,128.70,128.70,126.50,127.00,339470,128.70,128.70,126.50,127.00,0,7330,0
VJC,20170608,129.50,129.70,127.90,127.90,357620,129.50,129.70,127.90,127.90,0,20020,10050
VJC,20170607,130.10,130.50,127.00,127.50,426910,130.10,130.50,127.00,127.50,55000,21480,21900
VJC,20170606,130.00,131.00,129.80,130.10,344530,130.00,131.00,129.80,130.10,0,4160,40160
VJC,20170605,131.00,131.00,129.50,130.00,312740,131.00,131.00,129.50,130.00,0,750,25500
VJC,20170602,131.00,132.90,130.60,131.00,510930,131.00,132.90,130.60,131.00,0,2100,65000
VJC,20170601,127.80,130.00,127.60,130.00,312300,127.80,130.00,127.60,130.00,40000,310,0
VJC,20170531,127.40,127.80,127.20,127.80,291420,127.40,127.80,127.20,127.80,0,4250,30600
VJC,20170530,127.80,127.80,127.00,127.50,232230,127.80,127.80,127.00,127.50,0,10,5780
VJC,20170529,126.50,127.80,126.50,127.80,233250,126.50,127.80,126.50,127.80,0,12900,6510
VJC,20170526,126.10,127.00,126.10,126.80,303420,126.10,127.00,126.10,126.80,0,63320,35600
VJC,20170525,127.00,127.10,125.60,126.00,291450,127.00,127.10,125.60,126.00,0,21520,33670
VJC,20170524,127.80,127.80,126.90,127.00,274860,127.80,127.80,126.90,127.00,0,3650,17200
VJC,20170523,127.00,128.30,127.00,127.80,270840,127.00,128.30,127.00,127.80,0,24400,400
VJC,20170522,126.50,129.00,126.50,128.40,239240,126.50,129.00,126.50,128.40,0,480,10370
VJC,20170519,127.00,127.80,126.40,127.80,347600,127.00,127.80,126.40,127.80,0,0,0
VJC,20170518,128.00,128.00,126.40,127.00,233910,128.00,128.00,126.40,127.00,0,4510,10
VJC,20170517,128.20,128.70,126.40,128.00,361550,128.20,128.70,126.40,128.00,0,3910,20
VJC,20170516,128.50,128.50,127.00,128.00,381790,128.50,128.50,127.00,128.00,0,3000,0
VJC,20170515,129.00,129.90,128.00,128.50,342370,129.00,129.90,128.00,128.50,0,8900,3270
VJC,20170512,130.00,130.80,129.50,130.00,329590,130.00,130.80,129.50,130.00,0,7380,10050
VJC,20170511,130.20,130.80,129.70,130.40,425720,130.20,130.80,129.70,130.40,0,200600,45060
VJC,20170510,128.80,130.50,128.40,130.50,421080,128.80,130.50,128.40,130.50,0,16800,15000
VJC,20170509,129.00,129.50,128.00,128.80,292990,129.00,129.50,128.00,128.80,0,5130,5000
VJC,20170508,128.90,128.90,128.01,128.60,244970,129.90,129.90,129.00,129.60,0,10540,0
VJC,20170505,129.19,129.19,127.50,128.80,234430,130.20,130.20,128.50,129.80,0,230,0
VJC,20170504,126.91,128.99,126.91,128.99,251660,127.90,130.00,127.90,130.00,100000,100560,115000
VJC,20170503,127.70,127.70,126.61,126.91,244220,128.70,128.70,127.60,127.90,0,100,2540
VJC,20170428,128.40,128.40,126.51,126.71,225640,129.40,129.40,127.50,127.70,1518397,1524077,1523397
VJC,20170427,129.99,129.99,127.11,127.11,229050,131.00,131.00,128.10,128.10,100000,207670,178400
VJC,20170426,127.01,128.30,127.01,128.20,204330,128.00,129.30,128.00,129.20,100000,163170,100600
VJC,20170425,128.40,128.40,126.51,127.01,212370,129.40,129.40,127.50,128.00,0,55760,7550
VJC,20170424,130.38,130.78,128.40,128.40,229020,131.40,131.80,129.40,129.40,0,28930,17440
VJC,20170421,130.88,130.88,129.69,130.38,218910,131.90,131.90,130.70,131.40,0,117790,10320
VJC,20170420,130.38,130.78,128.49,130.58,313760,131.40,131.80,129.50,131.60,0,130740,28540
VJC,20170419,128.00,130.48,126.91,130.38,255600,129.00,131.50,127.90,131.40,0,35340,15300
VJC,20170418,129.09,130.78,127.01,128.00,263970,130.10,131.80,128.00,129.00,0,4400,32330
