<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VLC,20170627,16.50,16.50,16.30,16.50,41000,16.50,16.50,16.30,16.50,0,0,0
VLC,20170626,17.00,17.00,16.50,16.50,28800,17.00,17.00,16.50,16.50,0,100,0
VLC,20170623,16.30,16.70,15.90,16.50,68000,16.30,16.70,15.90,16.50,0,1300,0
VLC,20170622,16.00,16.40,15.50,16.00,38200,16.00,16.40,15.50,16.00,0,1100,0
VLC,20170621,16.00,16.00,15.30,15.80,1600,16.00,16.00,15.30,15.80,0,1100,0
VLC,20170620,15.30,16.50,15.30,16.00,48500,15.30,16.50,15.30,16.00,0,9200,0
VLC,20170619,15.50,15.50,15.20,15.20,1400,15.50,15.50,15.20,15.20,0,0,0
VLC,20170616,15.10,15.40,15.10,15.40,8700,15.10,15.40,15.10,15.40,0,1300,700
VLC,20170615,15.50,15.50,15.50,15.50,2100,15.50,15.50,15.50,15.50,0,100,0
VLC,20170614,15.60,15.60,15.00,15.00,1100,15.60,15.60,15.00,15.00,0,100,0
VLC,20170613,15.70,15.70,15.70,15.70,800,15.70,15.70,15.70,15.70,0,0,0
VLC,20170612,15.50,15.90,15.50,15.90,200,15.50,15.90,15.50,15.90,0,200,0
VLC,20170609,16.00,16.00,14.80,15.20,13600,16.00,16.00,14.80,15.20,0,200,0
VLC,20170608,14.78,15.45,14.69,15.45,3300,15.40,16.10,15.30,16.10,0,200,0
VLC,20170607,15.35,15.55,15.35,15.55,60400,16.00,16.20,16.00,16.20,0,0,0
VLC,20170606,15.64,15.64,15.35,15.45,51618,16.30,16.30,16.00,16.10,0,100,0
VLC,20170605,15.74,15.74,14.97,15.35,6100,16.40,16.40,15.60,16.00,0,0,0
VLC,20170602,15.16,15.64,15.16,15.64,3100,15.80,16.30,15.80,16.30,0,100,0
VLC,20170601,15.74,15.74,15.74,15.74,100,16.40,16.40,16.40,16.40,0,100,0
VLC,20170531,15.64,15.74,15.16,15.74,12900,16.30,16.40,15.80,16.40,0,6900,0
VLC,20170530,15.84,15.84,15.16,15.16,10700,16.50,16.50,15.80,15.80,50000,2000,0
VLC,20170529,15.25,15.35,15.25,15.26,10011,15.90,16.00,15.90,15.90,0,0,0
VLC,20170526,15.35,15.35,15.16,15.35,14000,16.00,16.00,15.80,16.00,0,0,0
VLC,20170525,15.64,15.64,15.26,15.45,24300,16.30,16.30,15.90,16.10,50000,0,0
VLC,20170524,15.83,15.83,15.35,15.45,2700,16.50,16.50,16.00,16.10,0,100,0
VLC,20170523,15.83,15.83,15.35,15.35,17493,16.50,16.50,16.00,16.00,0,100,0
VLC,20170522,15.64,15.64,15.35,15.35,19420,16.30,16.30,16.00,16.00,0,0,0
VLC,20170519,15.84,15.84,15.45,15.45,20200,16.50,16.50,16.10,16.10,0,100,0
VLC,20170518,15.54,15.54,15.45,15.55,39000,16.20,16.20,16.10,16.20,0,20000,0
VLC,20170517,15.64,15.64,15.54,15.64,7000,16.30,16.30,16.20,16.30,0,0,0
VLC,20170516,16.12,16.12,15.64,15.64,14000,16.80,16.80,16.30,16.30,0,2000,0
VLC,20170515,16.02,16.02,15.64,15.83,17400,16.70,16.70,16.30,16.50,0,100,0
VLC,20170512,15.55,16.03,15.55,15.83,13200,16.20,16.70,16.20,16.50,0,2300,0
VLC,20170511,16.13,16.13,15.36,16.03,13539,16.80,16.80,16.00,16.70,0,500,0
VLC,20170510,15.64,16.12,15.55,16.03,46500,16.30,16.80,16.20,16.70,0,100,0
VLC,20170509,15.45,15.64,15.35,15.45,47200,16.10,16.30,16.00,16.10,0,24300,0
VLC,20170508,15.73,15.73,15.35,15.64,10300,16.40,16.40,16.00,16.30,0,10100,0
VLC,20170505,15.83,15.83,15.35,15.83,48500,16.50,16.50,16.00,16.50,0,40700,0
VLC,20170504,15.83,15.83,15.45,15.64,10500,16.50,16.50,16.10,16.30,0,100,0
VLC,20170503,15.55,15.55,15.36,15.45,2100,16.20,16.20,16.00,16.10,0,0,0
VLC,20170428,16.32,16.32,15.55,15.55,56100,17.00,17.00,16.20,16.20,0,2100,0
