<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VMA,20170623,9.20,9.20,9.20,9.20,12447,9.20,9.20,9.20,9.20,0,0,0
VMA,20170622,8.00,8.00,8.00,8.00,3182,8.00,8.00,8.00,8.00,0,0,0
VMA,20170621,7.00,7.00,7.00,7.00,17311,7.00,7.00,7.00,7.00,0,0,0
VMA,20170620,6.00,6.90,6.00,6.90,4009,6.00,6.90,6.00,6.90,0,0,0
VMA,20170616,6.00,6.00,6.00,6.00,31564,6.00,6.00,6.00,6.00,0,0,0
VMA,20170615,6.30,6.30,6.30,6.30,2500,6.30,6.30,6.30,6.30,0,0,0
VMA,20170613,6.80,6.80,6.80,6.80,100,6.80,6.80,6.80,6.80,0,0,0
VMA,20170605,8.00,8.00,8.00,8.00,3574,8.00,8.00,8.00,8.00,0,0,0
VMA,20170526,9.30,9.30,9.30,9.30,12201,9.30,9.30,9.30,9.30,0,0,0
VMA,20170523,10.80,10.80,10.80,10.80,13800,10.80,10.80,10.80,10.80,0,0,0
VMA,20170522,12.60,12.60,12.60,12.60,3000,12.60,12.60,12.60,12.60,0,0,0
VMA,20170505,14.80,14.80,14.80,14.80,7750,15.60,15.60,15.60,15.60,0,0,0
VMA,20170504,12.90,12.90,12.90,12.90,1396,13.60,13.60,13.60,13.60,0,0,0
VMA,20170407,15.18,15.18,15.18,15.18,1117,16.00,16.00,16.00,16.00,0,0,0
VMA,20170405,13.28,13.28,13.28,13.28,200,14.00,14.00,14.00,14.00,0,0,0
VMA,20170404,15.18,15.18,15.18,15.18,291000,16.00,16.00,16.00,16.00,0,0,0
VMA,20170329,13.28,13.28,13.28,13.28,937,14.00,14.00,14.00,14.00,0,0,0
VMA,20170327,12.42,13.28,12.42,13.28,1328,13.10,14.00,13.10,14.00,0,0,0
VMA,20170324,14.52,14.52,14.52,14.51,100,15.30,15.30,15.30,15.30,0,0,0
VMA,20170322,17.08,17.08,17.08,17.08,726,18.00,18.00,18.00,18.00,0,0,0
VMA,20170321,17.08,17.08,17.08,17.08,100,18.00,18.00,18.00,18.00,0,0,0
VMA,20170317,16.32,16.32,16.32,16.32,100,17.20,17.20,17.20,17.20,0,0,0
VMA,20170315,14.23,14.23,14.23,14.23,100,15.00,15.00,15.00,15.00,0,0,0
VMA,20170313,13.28,13.28,13.28,13.28,391,14.00,14.00,14.00,14.00,0,0,0
VMA,20170310,13.47,13.47,13.47,13.47,1060,14.20,14.20,14.20,14.20,0,0,0
VMA,20170308,13.47,13.47,13.47,13.47,3574,14.20,14.20,14.20,14.20,0,0,0
VMA,20170206,13.47,13.47,13.47,13.47,2700,14.20,14.20,14.20,14.20,0,0,0
VMA,20170119,13.28,13.28,13.28,13.28,13847,14.00,14.00,14.00,14.00,0,0,0
VMA,20170113,13.28,13.28,13.28,13.28,8599,14.00,14.00,14.00,14.00,0,0,0
VMA,20161230,13.28,13.28,13.28,13.28,124,14.00,14.00,14.00,14.00,0,0,0
VMA,20161229,13.28,13.28,13.28,13.28,2500,14.00,14.00,14.00,14.00,0,0,0
VMA,20161228,13.28,13.28,13.28,13.28,12066,14.00,14.00,14.00,14.00,0,0,0
VMA,20161227,11.57,11.57,11.57,11.57,3239,12.20,12.20,12.20,12.20,0,0,0
VMA,20161226,11.57,11.57,11.57,11.57,100,12.20,12.20,12.20,12.20,0,0,0
VMA,20161223,13.28,13.28,13.28,13.28,9996,14.00,14.00,14.00,14.00,0,0,0
VMA,20161220,13.28,13.28,13.28,13.28,12004,14.00,14.00,14.00,14.00,0,0,0
VMA,20161219,11.57,11.57,11.57,11.57,100,12.20,12.20,12.20,12.20,0,0,0
VMA,20161205,13.28,13.28,13.28,13.28,4969,14.00,14.00,14.00,14.00,0,0,0
VMA,20161201,13.28,13.28,13.28,13.28,24177,14.00,14.00,14.00,14.00,0,0,0
VMA,20161124,13.28,13.28,13.28,13.28,96,14.00,14.00,14.00,14.00,0,0,0
VMA,20161121,13.28,13.28,13.28,13.28,1300,14.00,14.00,14.00,14.00,0,0,0
VMA,20161115,13.28,13.28,13.28,13.28,4245,14.00,14.00,14.00,14.00,0,0,0
VMA,20161111,13.28,13.28,13.28,13.28,6700,14.00,14.00,14.00,14.00,0,0,0
VMA,20161031,13.28,13.28,13.28,13.28,2847,14.00,14.00,14.00,14.00,0,0,0
VMA,20161021,12.33,12.33,12.33,12.33,168,13.00,13.00,13.00,13.00,0,0,0
VMA,20160921,12.34,12.81,12.34,12.81,3003,13.00,13.50,13.00,13.50,0,0,0
VMA,20160907,12.81,12.81,12.81,12.81,2122,13.50,13.50,13.50,13.50,0,0,0
VMA,20160825,12.81,12.81,12.81,12.81,10,13.50,13.50,13.50,13.50,0,0,0
VMA,20160824,12.81,12.81,12.81,12.81,2000,13.50,13.50,13.50,13.50,0,0,0
VMA,20160815,12.81,12.81,12.81,12.81,223,13.50,13.50,13.50,13.50,0,0,0
VMA,20160810,13.29,13.29,13.29,13.28,3419,14.00,14.00,14.00,14.00,0,0,0
VMA,20160808,13.38,13.38,13.38,13.38,1173,14.10,14.10,14.10,14.10,0,0,0
