<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VNE,20170627,10.50,10.50,10.30,10.35,80380,10.50,10.50,10.30,10.35,0,0,0
VNE,20170626,10.65,10.75,10.40,10.40,246520,10.65,10.75,10.40,10.40,0,0,0
VNE,20170623,10.20,10.75,10.20,10.65,889710,10.20,10.75,10.20,10.65,0,0,0
VNE,20170622,10.20,10.25,10.05,10.05,76640,10.20,10.25,10.05,10.05,0,0,3000
VNE,20170621,10.35,10.35,10.10,10.20,200300,10.35,10.35,10.10,10.20,0,0,0
VNE,20170620,10.35,10.35,10.10,10.10,199490,10.35,10.35,10.10,10.10,0,0,0
VNE,20170619,10.35,10.45,10.05,10.35,94290,10.35,10.45,10.05,10.35,1300000,0,0
VNE,20170616,10.30,10.50,10.20,10.35,138140,10.30,10.50,10.20,10.35,0,0,0
VNE,20170615,10.35,10.35,10.20,10.30,148610,10.35,10.35,10.20,10.30,0,0,0
VNE,20170614,10.50,10.50,10.00,10.35,796650,10.50,10.50,10.00,10.35,895750,0,0
VNE,20170613,9.90,10.20,9.90,10.00,733950,9.90,10.20,9.90,10.00,0,0,0
VNE,20170612,10.50,10.50,10.30,10.30,157470,10.50,10.50,10.30,10.30,0,0,0
VNE,20170609,10.60,10.70,10.50,10.50,193290,10.60,10.70,10.50,10.50,0,0,0
VNE,20170608,10.80,10.95,10.30,10.50,388690,10.80,10.95,10.30,10.50,0,0,0
VNE,20170607,10.55,10.60,10.35,10.50,253540,10.55,10.60,10.35,10.50,0,1000,0
VNE,20170606,10.95,11.00,10.50,10.65,193390,10.95,11.00,10.50,10.65,0,50,0
VNE,20170605,10.65,10.90,10.65,10.75,505850,10.65,10.90,10.65,10.75,0,0,0
VNE,20170602,10.40,10.80,10.40,10.60,425930,10.40,10.80,10.40,10.60,0,0,560
VNE,20170601,10.60,10.60,10.30,10.40,218660,10.60,10.60,10.30,10.40,0,0,2490
VNE,20170531,10.85,10.85,10.50,10.60,343590,10.85,10.85,10.50,10.60,0,0,1100
VNE,20170530,10.65,11.00,10.65,10.65,378780,10.65,11.00,10.65,10.65,0,50,0
VNE,20170529,10.10,10.75,10.00,10.65,610060,10.10,10.75,10.00,10.65,0,3000,0
VNE,20170526,10.10,10.15,10.00,10.05,269960,10.10,10.15,10.00,10.05,0,0,0
VNE,20170525,10.10,10.10,9.88,10.00,256810,10.10,10.10,9.88,10.00,0,0,0
VNE,20170524,9.28,9.92,9.28,9.84,639490,9.28,9.92,9.28,9.84,0,4100,420
VNE,20170523,9.20,9.37,9.16,9.28,300930,9.20,9.37,9.16,9.28,0,0,0
VNE,20170522,9.03,9.40,9.03,9.37,227060,9.03,9.40,9.03,9.37,0,0,0
VNE,20170519,8.80,9.40,8.76,9.20,281780,8.80,9.40,8.76,9.20,0,0,0
VNE,20170518,8.72,8.80,8.72,8.80,15360,8.72,8.80,8.72,8.80,0,0,0
VNE,20170517,8.72,8.88,8.72,8.85,39560,8.72,8.88,8.72,8.85,0,0,0
VNE,20170516,8.72,8.90,8.72,8.85,61420,8.72,8.90,8.72,8.85,0,0,720
VNE,20170515,8.74,8.75,8.70,8.74,105520,8.74,8.75,8.70,8.74,0,0,0
VNE,20170512,8.70,8.75,8.69,8.74,39010,8.70,8.75,8.69,8.74,0,0,0
VNE,20170511,8.70,8.80,8.70,8.70,72380,8.70,8.80,8.70,8.70,0,0,29690
VNE,20170510,8.81,8.81,8.68,8.70,61970,8.81,8.81,8.68,8.70,0,0,5410
VNE,20170509,8.93,8.93,8.70,8.81,24370,8.93,8.93,8.70,8.81,650644,0,7500
VNE,20170508,8.77,9.00,8.77,8.90,152710,8.77,9.00,8.77,8.90,0,0,45400
VNE,20170505,8.31,8.77,8.31,8.77,75400,8.31,8.77,8.31,8.77,0,0,22000
VNE,20170504,8.79,8.85,8.11,8.20,307950,8.79,8.85,8.11,8.20,650642,0,0
VNE,20170503,8.72,8.72,8.67,8.72,97320,8.72,8.72,8.67,8.72,0,0,0
VNE,20170428,8.61,8.80,8.61,8.70,53950,8.61,8.80,8.61,8.70,0,0,0
VNE,20170427,8.80,9.00,8.71,8.80,55470,8.80,9.00,8.71,8.80,2792532,0,20570
VNE,20170426,8.53,8.80,8.53,8.80,30100,8.53,8.80,8.53,8.80,0,0,0
VNE,20170425,8.60,8.90,8.60,8.75,12930,8.60,8.90,8.60,8.75,5936519,0,0
VNE,20170424,8.64,8.87,8.63,8.63,19660,8.64,8.87,8.63,8.63,0,0,0
VNE,20170421,8.63,8.89,8.63,8.87,3440,8.63,8.89,8.63,8.87,0,0,0
VNE,20170420,8.71,8.89,8.60,8.80,151740,8.71,8.89,8.60,8.80,0,0,0
VNE,20170419,9.10,9.10,8.71,8.90,27450,9.10,9.10,8.71,8.90,0,0,0
VNE,20170418,8.60,9.00,8.60,8.98,4170,8.60,9.00,8.60,8.98,0,0,0
VNE,20170417,9.10,9.10,8.82,8.98,6140,9.10,9.10,8.82,8.98,0,0,0
VNE,20170414,9.10,9.10,8.80,8.90,69260,9.10,9.10,8.80,8.90,33000,0,0
VNE,20170413,8.80,8.90,8.80,8.90,17820,8.80,8.90,8.80,8.90,0,0,0
VNE,20170412,8.79,8.85,8.79,8.82,120560,8.79,8.85,8.79,8.82,0,0,0
VNE,20170411,8.80,9.10,8.79,8.79,203650,8.80,9.10,8.79,8.79,0,0,0
VNE,20170410,9.25,9.25,8.80,8.80,100420,9.25,9.25,8.80,8.80,50000,0,0
VNE,20170407,9.10,9.27,9.10,9.20,66190,9.10,9.27,9.10,9.20,0,0,0
VNE,20170405,9.20,9.36,9.20,9.25,69100,9.20,9.36,9.20,9.25,0,0,0
VNE,20170404,9.50,9.50,9.30,9.35,210610,9.50,9.50,9.30,9.35,0,0,0
VNE,20170403,9.10,9.40,9.03,9.30,219950,9.10,9.40,9.03,9.30,0,0,0
VNE,20170331,8.89,9.10,8.89,9.10,91390,8.89,9.10,8.89,9.10,64170,0,0
VNE,20170330,8.80,9.04,8.80,9.02,95940,8.80,9.04,8.80,9.02,0,0,0
VNE,20170329,8.80,9.10,8.80,9.02,84280,8.80,9.10,8.80,9.02,219000,0,0
VNE,20170328,9.15,9.15,8.85,9.08,101910,9.15,9.15,8.85,9.08,0,0,0
VNE,20170327,8.93,9.30,8.93,9.15,105310,8.93,9.30,8.93,9.15,0,0,0
VNE,20170324,9.50,9.90,9.40,9.60,169370,9.50,9.90,9.40,9.60,0,0,10000
VNE,20170323,9.95,9.95,9.50,9.94,559640,9.95,9.95,9.50,9.94,0,0,0
VNE,20170322,8.75,9.30,8.70,9.30,208190,8.75,9.30,8.70,9.30,0,49000,0
VNE,20170321,8.41,8.70,8.40,8.70,86910,8.41,8.70,8.40,8.70,0,0,5000
VNE,20170320,8.72,8.72,8.50,8.50,267060,8.72,8.72,8.50,8.50,0,0,25100
VNE,20170317,8.80,9.00,8.70,8.80,143410,8.80,9.00,8.70,8.80,0,0,30000
VNE,20170316,8.84,9.05,8.84,8.88,175790,8.84,9.05,8.84,8.88,0,0,0
