<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VNR,20170627,23.50,23.50,23.50,23.50,200,23.50,23.50,23.50,23.50,0,0,0
VNR,20170623,23.90,23.90,23.90,23.90,3050,23.90,23.90,23.90,23.90,0,0,0
VNR,20170622,23.90,23.90,23.90,23.90,300,23.90,23.90,23.90,23.90,0,0,0
VNR,20170621,24.00,24.00,22.00,23.90,500,24.00,24.00,22.00,23.90,0,200,0
VNR,20170620,23.90,24.00,23.90,24.00,1110,23.90,24.00,23.90,24.00,0,10,0
VNR,20170616,24.20,24.20,24.20,24.20,1100,24.20,24.20,24.20,24.20,0,0,1100
VNR,20170615,24.00,24.00,24.00,24.00,10,24.00,24.00,24.00,24.00,0,0,0
VNR,20170614,24.00,24.30,24.00,24.00,6300,24.00,24.30,24.00,24.00,0,300,0
VNR,20170613,24.40,24.50,24.00,24.20,8200,24.40,24.50,24.00,24.20,0,6600,1500
VNR,20170612,24.00,24.00,24.00,24.00,1000,24.00,24.00,24.00,24.00,0,0,0
VNR,20170609,24.00,24.10,24.00,24.10,10000,24.00,24.10,24.00,24.10,0,300,0
VNR,20170608,22.30,24.00,22.30,24.00,18300,22.30,24.00,22.30,24.00,0,0,0
VNR,20170607,24.00,24.00,24.00,24.00,2000,24.00,24.00,24.00,24.00,0,0,0
VNR,20170602,23.70,24.50,23.70,24.50,2700,23.70,24.50,23.70,24.50,0,1700,0
VNR,20170601,23.70,23.70,23.70,23.70,320,23.70,23.70,23.70,23.70,0,0,0
VNR,20170531,25.00,25.00,24.50,24.50,400,25.00,25.00,24.50,24.50,0,100,0
VNR,20170530,23.60,23.79,23.60,23.60,400,24.80,25.00,24.80,24.80,0,0,200
VNR,20170529,23.79,23.79,23.79,23.79,100,25.00,25.00,25.00,25.00,0,0,0
VNR,20170526,23.13,23.79,23.13,23.79,200,24.30,25.00,24.30,25.00,0,0,100
VNR,20170525,24.08,24.08,24.08,24.08,200,25.30,25.30,25.30,25.30,0,0,0
VNR,20170522,23.98,23.98,23.89,23.89,6500,25.20,25.20,25.10,25.10,0,0,6500
VNR,20170519,24.26,24.26,24.26,24.27,5500,25.50,25.50,25.50,25.50,0,0,0
VNR,20170518,23.89,24.36,23.89,24.36,6100,25.10,25.60,25.10,25.60,0,0,1000
VNR,20170517,24.36,24.46,24.36,24.46,6000,25.60,25.70,25.60,25.70,0,0,0
VNR,20170516,24.27,24.46,24.27,24.46,6700,25.50,25.70,25.50,25.70,0,0,0
VNR,20170515,24.27,24.46,24.27,24.46,25740,25.50,25.70,25.50,25.70,0,0,5500
VNR,20170512,24.45,24.55,24.26,24.46,36700,25.70,25.80,25.50,25.70,0,0,4500
VNR,20170511,24.26,24.55,24.26,24.55,22020,25.50,25.80,25.50,25.80,0,0,3000
VNR,20170510,24.26,24.55,24.26,24.55,28500,25.50,25.80,25.50,25.80,0,0,8000
VNR,20170509,23.32,24.56,23.32,24.55,100630,24.50,25.80,24.50,25.80,0,0,16000
VNR,20170508,23.79,24.74,23.22,23.32,95500,25.00,26.00,24.40,24.50,0,0,47300
VNR,20170505,22.84,23.03,22.84,23.03,9100,24.00,24.20,24.00,24.20,0,0,0
VNR,20170504,22.65,22.65,21.89,21.89,1400,23.80,23.80,23.00,23.00,0,0,0
VNR,20170503,23.79,23.98,23.79,23.79,31000,25.00,25.20,25.00,25.00,0,0,12700
VNR,20170428,23.79,23.98,23.79,23.98,27020,25.00,25.20,25.00,25.20,0,0,8000
VNR,20170427,23.79,23.98,23.60,23.98,10840,25.00,25.20,24.80,25.20,0,0,4040
VNR,20170426,22.84,23.79,22.84,23.79,39200,24.00,25.00,24.00,25.00,0,4800,7900
VNR,20170425,22.46,22.65,22.46,22.55,45800,23.60,23.80,23.60,23.70,0,0,0
VNR,20170424,22.55,22.55,22.36,22.46,9700,23.70,23.70,23.50,23.60,0,0,0
VNR,20170421,22.46,22.46,22.36,22.36,34200,23.60,23.60,23.50,23.50,0,1600,0
VNR,20170420,22.27,22.36,22.27,22.36,6600,23.40,23.50,23.40,23.50,0,0,0
VNR,20170419,22.18,22.18,21.79,22.17,9200,23.30,23.30,22.90,23.30,0,0,4100
VNR,20170418,22.65,22.65,21.88,21.89,10500,23.80,23.80,23.00,23.00,0,0,0
VNR,20170417,22.64,22.64,22.55,22.55,1100,23.80,23.80,23.70,23.70,0,0,0
VNR,20170413,22.65,22.75,22.65,22.74,5200,23.80,23.90,23.80,23.90,0,0,0
VNR,20170412,22.83,22.83,22.64,22.65,1500,24.00,24.00,23.80,23.80,0,0,1300
