<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VPH,20170627,12.60,12.60,12.25,12.30,263040,12.60,12.60,12.25,12.30,0,400,0
VPH,20170626,12.70,12.90,12.45,12.70,216080,12.70,12.90,12.45,12.70,0,400,0
VPH,20170623,13.10,13.30,12.40,12.70,352230,13.10,13.30,12.40,12.70,0,0,0
VPH,20170622,12.05,13.05,12.05,13.00,868340,12.05,13.05,12.05,13.00,0,1000,50
VPH,20170621,12.00,12.25,12.00,12.20,117900,12.00,12.25,12.00,12.20,0,0,0
VPH,20170620,12.50,12.50,12.00,12.30,162390,12.50,12.50,12.00,12.30,0,0,0
VPH,20170619,12.10,12.20,11.90,12.10,56710,12.10,12.20,11.90,12.10,0,0,0
VPH,20170616,11.90,12.15,11.80,12.10,96650,11.90,12.15,11.80,12.10,0,10,0
VPH,20170615,12.40,12.40,12.05,12.05,103990,12.40,12.40,12.05,12.05,0,10,0
VPH,20170614,12.10,12.35,12.05,12.35,262760,12.10,12.35,12.05,12.35,0,0,50
VPH,20170613,12.20,12.20,11.80,12.20,297300,12.20,12.20,11.80,12.20,0,0,360
VPH,20170612,12.30,12.30,11.80,12.10,203430,12.30,12.30,11.80,12.10,0,1500,0
VPH,20170609,11.70,12.30,11.50,11.80,176070,11.70,12.30,11.50,11.80,0,80,0
VPH,20170608,12.00,12.00,11.40,11.90,410970,12.00,12.00,11.40,11.90,0,360,1500
VPH,20170607,12.20,12.50,11.90,11.95,366370,12.20,12.50,11.90,11.95,0,0,0
VPH,20170606,12.40,12.50,12.10,12.40,398020,12.40,12.50,12.10,12.40,0,0,0
VPH,20170605,12.85,12.85,12.30,12.50,773500,12.85,12.85,12.30,12.50,0,23200,0
VPH,20170602,11.40,12.05,11.35,12.05,488460,11.40,12.05,11.35,12.05,0,5500,0
VPH,20170601,11.20,11.30,11.10,11.30,46730,11.20,11.30,11.10,11.30,0,0,0
VPH,20170531,11.00,11.20,10.95,11.20,121470,11.00,11.20,10.95,11.20,0,0,0
VPH,20170530,11.25,11.30,11.00,11.00,294660,11.25,11.30,11.00,11.00,0,0,1500
VPH,20170529,11.40,11.40,11.30,11.35,188900,11.40,11.40,11.30,11.35,0,500,0
VPH,20170526,11.30,11.45,11.30,11.40,225860,11.30,11.45,11.30,11.40,0,0,0
VPH,20170525,11.30,11.35,11.00,11.30,173820,11.30,11.35,11.00,11.30,0,0,0
VPH,20170524,11.55,11.55,11.10,11.10,235970,11.55,11.55,11.10,11.10,0,0,0
VPH,20170523,11.60,11.60,11.30,11.45,285900,11.60,11.60,11.30,11.45,0,0,50
VPH,20170522,11.40,11.75,11.40,11.50,261300,11.40,11.75,11.40,11.50,0,21000,0
VPH,20170519,11.60,11.70,11.40,11.40,390670,11.60,11.70,11.40,11.40,0,0,2000
VPH,20170518,11.65,11.90,11.45,11.80,436670,11.65,11.90,11.45,11.80,0,0,1500
VPH,20170517,12.00,12.00,11.60,11.80,295680,12.00,12.00,11.60,11.80,0,0,1000
VPH,20170516,12.40,12.90,12.00,12.00,724610,12.40,12.90,12.00,12.00,0,1000,83480
VPH,20170515,11.60,12.40,11.55,12.30,579770,11.60,12.40,11.55,12.30,0,17350,0
VPH,20170512,11.50,11.80,11.50,11.60,276070,11.50,11.80,11.50,11.60,0,0,0
VPH,20170511,11.55,11.95,11.45,11.60,336460,11.55,11.95,11.45,11.60,0,0,1500
VPH,20170510,11.85,12.15,11.50,11.55,491800,11.85,12.15,11.50,11.55,0,0,2000
VPH,20170509,12.20,12.40,11.55,11.85,356570,12.20,12.40,11.55,11.85,0,0,0
VPH,20170508,11.90,12.45,11.50,12.20,505420,11.90,12.45,11.50,12.20,0,0,0
VPH,20170505,11.75,11.95,11.40,11.85,779370,11.75,11.95,11.40,11.85,0,4000,0
VPH,20170504,10.50,11.20,10.50,11.20,557710,10.50,11.20,10.50,11.20,0,0,0
VPH,20170503,10.35,10.50,10.20,10.50,336780,10.35,10.50,10.20,10.50,0,0,0
VPH,20170428,10.20,10.50,10.20,10.50,160310,10.20,10.50,10.20,10.50,0,0,0
VPH,20170427,10.45,10.80,10.40,10.45,124220,10.45,10.80,10.40,10.45,0,1500,0
VPH,20170426,10.00,10.50,9.93,10.45,281910,10.00,10.50,9.93,10.45,0,0,0
VPH,20170425,10.25,10.25,9.90,9.90,425380,10.25,10.25,9.90,9.90,0,0,0
VPH,20170424,10.85,10.85,10.30,10.30,172800,10.85,10.85,10.30,10.30,0,0,0
VPH,20170421,10.55,10.95,10.55,10.75,747800,10.55,10.95,10.55,10.75,0,0,0
VPH,20170420,10.70,11.40,10.70,11.30,292480,10.70,11.40,10.70,11.30,0,0,0
VPH,20170419,11.15,11.15,10.70,10.80,228530,11.15,11.15,10.70,10.80,0,0,0
VPH,20170418,10.70,11.15,10.70,11.10,285090,10.70,11.15,10.70,11.10,0,0,6330
VPH,20170417,10.70,11.10,10.60,10.70,168720,10.70,11.10,10.60,10.70,0,0,10
VPH,20170414,10.45,11.10,10.10,10.70,299690,10.45,11.10,10.10,10.70,0,0,1500
VPH,20170413,11.40,11.40,10.65,10.65,247910,11.40,11.40,10.65,10.65,0,0,0
VPH,20170412,11.40,11.60,11.05,11.35,179260,11.40,11.60,11.05,11.35,0,0,0
VPH,20170411,11.50,12.00,11.35,11.35,795380,11.50,12.00,11.35,11.35,0,1500,0
VPH,20170410,10.40,11.25,10.40,11.25,605100,10.40,11.25,10.40,11.25,0,0,1500
VPH,20170407,10.95,10.95,10.55,10.55,216240,10.95,10.95,10.55,10.55,0,0,0
VPH,20170405,11.00,11.00,10.55,10.90,178510,11.00,11.00,10.55,10.90,0,0,0
VPH,20170404,10.90,11.60,10.90,11.00,348810,10.90,11.60,10.90,11.00,0,1500,0
VPH,20170403,11.40,11.40,10.65,10.90,495300,11.40,11.40,10.65,10.90,0,0,0
VPH,20170331,11.40,11.70,10.95,11.40,255920,11.40,11.70,10.95,11.40,0,200,0
VPH,20170330,12.00,12.45,11.45,11.45,386040,12.00,12.45,11.45,11.45,0,100,0
VPH,20170329,11.50,11.75,11.25,11.75,419220,11.50,11.75,11.25,11.75,0,0,1000
VPH,20170328,11.15,11.45,10.85,11.00,1395110,11.15,11.45,10.85,11.00,0,10,0
VPH,20170327,12.00,12.45,11.65,11.65,1015930,12.00,12.45,11.65,11.65,0,300,0
VPH,20170324,13.10,13.10,12.50,12.50,940200,13.10,13.10,12.50,12.50,0,100,0
VPH,20170323,12.70,13.95,12.50,13.40,891880,12.70,13.95,12.50,13.40,0,0,0
VPH,20170322,14.20,14.50,13.15,13.20,702100,14.20,14.50,13.15,13.20,0,1500,0
VPH,20170321,14.80,14.80,14.10,14.10,800130,14.80,14.80,14.10,14.10,56500,1500,0
VPH,20170320,14.40,14.85,14.00,14.80,1420750,14.40,14.85,14.00,14.80,0,2000,59000
VPH,20170317,13.30,13.90,13.00,13.90,1034340,13.30,13.90,13.00,13.90,0,0,50000
VPH,20170316,13.00,13.50,12.85,13.00,610880,13.00,13.50,12.85,13.00,0,0,10000
VPH,20170315,13.40,13.80,13.05,13.05,388750,13.40,13.80,13.05,13.05,0,500,0
VPH,20170314,13.60,13.90,13.25,13.30,1180190,13.60,13.90,13.25,13.30,0,500,71350
VPH,20170313,12.20,13.05,12.20,13.05,933980,12.20,13.05,12.20,13.05,0,0,17500
VPH,20170310,12.20,12.60,12.05,12.20,360640,12.20,12.60,12.05,12.20,0,1000,0
VPH,20170309,12.60,12.80,12.20,12.20,402630,12.60,12.80,12.20,12.20,0,0,0
VPH,20170308,12.80,12.80,12.25,12.60,363420,12.80,12.80,12.25,12.60,0,1000,0
VPH,20170307,13.10,13.40,12.40,12.60,642810,13.10,13.40,12.40,12.60,0,0,38500
VPH,20170306,11.45,12.85,11.45,12.85,824030,11.45,12.85,11.45,12.85,0,0,0
VPH,20170303,12.95,12.95,12.05,12.05,751670,12.95,12.95,12.05,12.05,0,4000,5000
VPH,20170302,13.40,13.80,12.80,12.95,458140,13.40,13.80,12.80,12.95,0,0,33690
VPH,20170301,12.70,13.30,12.00,13.20,1114400,12.70,13.30,12.00,13.20,0,10000,60000
VPH,20170228,12.70,12.70,12.60,12.70,785000,12.70,12.70,12.60,12.70,0,5000,80000
VPH,20170227,11.90,11.90,11.35,11.90,609630,11.90,11.90,11.35,11.90,0,0,110000
VPH,20170224,11.15,11.15,10.90,11.15,1693610,11.15,11.15,10.90,11.15,0,0,97970
VPH,20170223,10.45,10.45,10.45,10.45,358580,10.45,10.45,10.45,10.45,0,0,80000
VPH,20170222,10.10,10.10,9.65,9.80,617220,10.10,10.10,9.65,9.80,0,2000,65000
VPH,20170221,9.50,9.50,9.50,9.50,443400,9.50,9.50,9.50,9.50,0,0,0
VPH,20170220,8.50,8.88,8.50,8.88,686220,8.50,8.88,8.50,8.88,0,0,0
VPH,20170217,8.65,8.65,8.30,8.30,140940,8.65,8.65,8.30,8.30,0,0,0
VPH,20170216,8.50,8.60,8.30,8.50,481380,8.50,8.60,8.30,8.50,0,0,0
VPH,20170215,8.04,8.12,8.04,8.12,146090,8.04,8.12,8.04,8.12,0,0,0
VPH,20170214,7.49,7.59,7.00,7.59,194930,7.49,7.59,7.00,7.59,0,0,0
VPH,20170213,6.85,7.30,6.85,7.10,138410,6.85,7.30,6.85,7.10,0,0,0
VPH,20170210,6.80,6.95,6.80,6.86,93110,6.80,6.95,6.80,6.86,0,0,0
VPH,20170209,6.59,6.82,6.50,6.80,207750,6.59,6.82,6.50,6.80,0,0,0
VPH,20170208,6.60,6.60,6.40,6.58,37950,6.60,6.60,6.40,6.58,0,0,0
VPH,20170207,6.45,6.60,6.21,6.60,96600,6.45,6.60,6.21,6.60,0,0,40250
VPH,20170206,6.65,6.65,6.39,6.60,8200,6.65,6.65,6.39,6.60,0,0,0
VPH,20170203,6.75,6.75,6.70,6.70,20660,6.75,6.75,6.70,6.70,0,0,0
VPH,20170202,6.75,6.75,6.70,6.75,9320,6.75,6.75,6.70,6.75,0,0,0
VPH,20170125,6.69,6.90,6.30,6.75,36590,6.69,6.90,6.30,6.75,0,10000,0
VPH,20170124,6.60,6.80,6.50,6.70,32790,6.60,6.80,6.50,6.70,0,17480,0
VPH,20170123,6.15,6.50,6.15,6.50,22520,6.15,6.50,6.15,6.50,0,480,0
VPH,20170120,6.15,6.19,6.00,6.15,46400,6.15,6.19,6.00,6.15,0,0,0
VPH,20170119,6.00,6.15,6.00,6.15,72130,6.00,6.15,6.00,6.15,0,0,0
VPH,20170118,5.98,6.10,5.96,6.09,32460,5.98,6.10,5.96,6.09,0,0,0
