<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VPS,20170622,19.00,19.90,19.00,19.90,1080,19.00,19.90,19.00,19.90,0,0,0
VPS,20170621,19.10,19.10,19.10,19.10,10,19.10,19.10,19.10,19.10,0,0,0
VPS,20170620,19.60,19.60,18.10,18.10,1250,19.60,19.60,18.10,18.10,0,0,0
VPS,20170619,18.70,20.10,18.70,19.00,180,18.70,20.10,18.70,19.00,0,0,0
VPS,20170615,20.00,20.00,20.00,20.00,300,20.00,20.00,20.00,20.00,0,0,0
VPS,20170614,18.55,19.85,18.55,19.85,60,18.55,19.85,18.55,19.85,0,0,0
VPS,20170613,19.00,19.70,19.00,19.70,60,19.00,19.70,19.00,19.70,0,0,0
VPS,20170609,19.10,19.90,19.10,19.90,220,19.10,19.90,19.10,19.90,0,0,0
VPS,20170608,19.10,19.95,19.10,19.95,400,19.10,19.95,19.10,19.95,0,0,0
VPS,20170607,19.95,19.95,19.95,19.95,20,19.95,19.95,19.95,19.95,0,20,0
VPS,20170605,19.95,19.95,19.95,19.95,10,19.95,19.95,19.95,19.95,0,0,0
VPS,20170602,20.00,20.00,19.00,19.50,1190,20.00,20.00,19.00,19.50,0,90,0
VPS,20170531,19.50,20.20,19.50,20.20,1460,19.50,20.20,19.50,20.20,0,0,0
VPS,20170530,19.30,19.30,18.82,19.30,1160,20.00,20.00,19.50,20.00,0,0,0
VPS,20170526,19.79,19.79,18.82,19.78,260,20.50,20.50,19.50,20.50,0,0,0
VPS,20170525,18.82,20.22,18.82,20.22,2730,19.50,20.95,19.50,20.95,0,0,0
VPS,20170524,19.30,20.21,18.86,20.22,1320,20.00,20.95,19.55,20.95,0,0,0
VPS,20170523,20.26,20.26,20.26,20.26,30,21.00,21.00,21.00,21.00,0,0,0
VPS,20170522,20.27,20.27,20.27,20.26,10,21.00,21.00,21.00,21.00,0,0,0
