<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VST,20170623,1.00,1.00,1.00,1.00,6800,1.00,1.00,1.00,1.00,0,0,0
VST,20170616,0.80,0.90,0.80,0.90,8537,0.80,0.90,0.80,0.90,0,0,0
VST,20170609,0.80,0.90,0.80,0.90,11850,0.80,0.90,0.80,0.90,0,0,7
VST,20170602,0.70,0.80,0.70,0.80,17500,0.70,0.80,0.70,0.80,0,0,0
VST,20170526,0.70,0.80,0.60,0.60,19400,0.70,0.80,0.60,0.60,0,0,0
VST,20170519,0.80,0.80,0.70,0.70,20000,0.80,0.80,0.70,0.70,0,0,0
VST,20170512,0.80,0.80,0.80,0.80,1000,0.80,0.80,0.80,0.80,0,0,0
VST,20170505,0.90,1.00,0.90,0.90,38000,0.90,1.00,0.90,0.90,0,0,0
VST,20170428,1.00,1.00,1.00,1.00,11100,1.00,1.00,1.00,1.00,0,0,0
VST,20170414,1.10,1.10,1.10,1.10,4000,1.10,1.10,1.10,1.10,0,0,0
VST,20170407,1.30,1.30,1.10,1.10,2100,1.30,1.30,1.10,1.10,0,0,0
VST,20170331,1.20,1.20,1.20,1.20,200,1.20,1.20,1.20,1.20,0,0,0
VST,20170324,1.30,1.30,1.30,1.30,7,1.30,1.30,1.30,1.30,0,0,0
VST,20170317,1.30,1.30,1.30,1.30,400,1.30,1.30,1.30,1.30,0,0,0
VST,20170217,1.20,1.20,1.20,1.20,3,1.20,1.20,1.20,1.20,0,0,0
VST,20170203,1.20,1.20,1.20,1.20,130,1.20,1.20,1.20,1.20,0,0,0
VST,20170113,1.10,1.10,1.10,1.10,2100,1.10,1.10,1.10,1.10,5605,0,0
VST,20170106,1.10,1.20,1.10,1.20,8102,1.10,1.20,1.10,1.20,0,0,0
VST,20161230,1.20,1.20,1.20,1.20,200,1.20,1.20,1.20,1.20,0,0,0
VST,20161223,1.20,1.20,1.20,1.20,4500,1.20,1.20,1.20,1.20,0,0,0
VST,20161216,1.10,1.10,1.10,1.10,1400,1.10,1.10,1.10,1.10,0,0,0
VST,20161209,1.00,1.20,1.00,1.20,33000,1.00,1.20,1.00,1.20,0,0,0
VST,20161125,1.10,1.20,1.10,1.10,44809,1.10,1.20,1.10,1.10,0,0,0
VST,20161118,1.30,1.30,1.10,1.30,7800,1.30,1.30,1.10,1.30,0,0,0
VST,20161111,1.20,1.20,1.20,1.20,105,1.20,1.20,1.20,1.20,0,0,0
VST,20161104,1.10,1.10,1.10,1.10,2900,1.10,1.10,1.10,1.10,0,0,0
VST,20161028,1.10,1.30,1.10,1.30,5300,1.10,1.30,1.10,1.30,0,0,0
VST,20161021,1.20,1.20,1.20,1.20,37300,1.20,1.20,1.20,1.20,0,0,0
VST,20161014,1.30,1.30,1.30,1.30,107,1.30,1.30,1.30,1.30,0,0,0
VST,20161007,1.20,1.20,1.20,1.20,20,1.20,1.20,1.20,1.20,0,0,0
VST,20160930,1.20,1.20,1.20,1.20,10,1.20,1.20,1.20,1.20,0,0,0
VST,20160923,1.30,1.30,1.20,1.20,600,1.30,1.30,1.20,1.20,0,0,0
VST,20160916,1.20,1.20,1.20,1.20,100,1.20,1.20,1.20,1.20,0,0,0
VST,20160909,1.10,1.20,1.10,1.20,3000,1.10,1.20,1.10,1.20,0,0,0
VST,20160826,1.20,1.20,1.00,1.00,200,1.20,1.20,1.00,1.00,0,0,0
VST,20160812,1.10,1.10,1.10,1.10,37100,1.10,1.10,1.10,1.10,0,0,0
VST,20160805,1.20,1.20,1.10,1.10,63000,1.20,1.20,1.10,1.10,0,0,0
VST,20160729,1.20,1.20,1.20,1.20,25000,1.20,1.20,1.20,1.20,0,0,0
VST,20160722,1.10,1.20,1.10,1.10,20000,1.10,1.20,1.10,1.10,0,0,0
VST,20160715,1.00,1.10,1.00,1.10,7400,1.00,1.10,1.00,1.10,339400,0,0
VST,20160708,1.10,1.10,1.10,1.10,9500,1.10,1.10,1.10,1.10,0,0,0
VST,20160701,1.00,1.00,1.00,1.00,9600,1.00,1.00,1.00,1.00,0,0,0
VST,20160624,0.90,1.00,0.90,0.90,4000,0.90,1.00,0.90,0.90,0,0,0
VST,20160617,1.00,1.10,1.00,1.10,4107,1.00,1.10,1.00,1.10,0,0,0
VST,20160610,1.00,1.00,1.00,1.00,16600,1.00,1.00,1.00,1.00,0,0,0
VST,20160603,1.10,1.10,1.10,1.10,9005,1.10,1.10,1.10,1.10,0,0,0
VST,20160527,1.40,1.40,1.20,1.20,121410,1.40,1.40,1.20,1.20,0,0,0
VST,20160525,1.40,1.40,1.40,1.40,1400,1.40,1.40,1.40,1.40,0,0,0
VST,20160524,1.40,1.40,1.40,1.40,5,1.40,1.40,1.40,1.40,0,0,0
VST,20160523,1.40,1.40,1.40,1.40,4730,1.40,1.40,1.40,1.40,0,0,0
VST,20160520,1.50,1.60,1.50,1.50,39300,1.50,1.60,1.50,1.50,0,0,0
VST,20160518,1.50,1.50,1.50,1.50,64900,1.50,1.50,1.50,1.50,0,0,0
VST,20160516,1.50,1.50,1.50,1.50,16505,1.50,1.50,1.50,1.50,350000,0,0
VST,20160513,1.60,1.60,1.50,1.50,22400,1.60,1.60,1.50,1.50,0,0,0
VST,20160512,1.50,1.50,1.50,1.50,20450,1.50,1.50,1.50,1.50,0,0,0
VST,20160511,1.40,1.50,1.40,1.40,4760,1.40,1.50,1.40,1.40,129535,0,0
VST,20160510,1.60,1.60,1.60,1.60,100,1.60,1.60,1.60,1.60,0,0,0
VST,20160509,1.60,1.60,1.60,1.60,5,1.60,1.60,1.60,1.60,0,0,0
VST,20160504,1.60,1.60,1.60,1.60,21000,1.60,1.60,1.60,1.60,0,0,0
VST,20160429,1.60,1.60,1.60,1.60,1800,1.60,1.60,1.60,1.60,0,0,0
VST,20160428,1.60,1.60,1.60,1.60,10824,1.60,1.60,1.60,1.60,0,0,0
VST,20160427,1.60,1.60,1.60,1.60,22105,1.60,1.60,1.60,1.60,0,0,0
VST,20160426,1.60,1.60,1.60,1.60,400,1.60,1.60,1.60,1.60,0,0,0
VST,20160425,1.60,1.60,1.60,1.60,3000,1.60,1.60,1.60,1.60,0,0,0
VST,20160422,1.60,1.60,1.60,1.60,3200,1.60,1.60,1.60,1.60,0,0,0
VST,20160421,1.60,1.60,1.60,1.60,12100,1.60,1.60,1.60,1.60,0,0,0
VST,20160419,1.60,1.60,1.60,1.60,60100,1.60,1.60,1.60,1.60,0,0,0
VST,20160415,1.60,1.60,1.60,1.60,5000,1.60,1.60,1.60,1.60,0,0,0
VST,20160414,1.60,1.60,1.60,1.60,1007,1.60,1.60,1.60,1.60,0,0,0
VST,20160413,1.60,1.60,1.60,1.60,37000,1.60,1.60,1.60,1.60,0,0,0
VST,20160412,1.60,1.60,1.60,1.60,52506,1.60,1.60,1.60,1.60,0,0,0
VST,20160411,1.70,1.70,1.60,1.60,54000,1.70,1.70,1.60,1.60,0,0,0
VST,20160408,1.60,1.60,1.60,1.60,20,1.60,1.60,1.60,1.60,0,0,0
VST,20160407,1.60,1.60,1.60,1.60,8017,1.60,1.60,1.60,1.60,0,0,0
VST,20160406,1.70,1.70,1.60,1.60,6060,1.70,1.70,1.60,1.60,0,0,0
VST,20160405,1.60,1.70,1.60,1.60,66607,1.60,1.70,1.60,1.60,0,0,0
VST,20160404,1.60,1.60,1.60,1.60,28350,1.60,1.60,1.60,1.60,0,0,0
VST,20160331,1.60,1.60,1.60,1.60,4600,1.60,1.60,1.60,1.60,7,0,0
VST,20160329,1.70,1.70,1.70,1.70,24000,1.70,1.70,1.70,1.70,0,0,0
VST,20160328,1.70,1.70,1.70,1.70,7100,1.70,1.70,1.70,1.70,0,0,0
VST,20160325,1.60,1.60,1.60,1.60,4600,1.60,1.60,1.60,1.60,0,0,0
VST,20160324,1.60,1.60,1.60,1.60,20,1.60,1.60,1.60,1.60,0,0,0
VST,20160323,1.60,1.60,1.60,1.60,5430,1.60,1.60,1.60,1.60,0,0,0
VST,20160321,1.60,1.60,1.60,1.60,1000,1.60,1.60,1.60,1.60,0,0,0
VST,20160317,1.60,1.70,1.60,1.70,25110,1.60,1.70,1.60,1.70,0,0,0
VST,20160316,1.60,1.60,1.60,1.60,22,1.60,1.60,1.60,1.60,0,0,0
VST,20160315,1.60,1.70,1.60,1.70,1700,1.60,1.70,1.60,1.70,0,0,0
VST,20160314,1.70,1.80,1.70,1.80,19900,1.70,1.80,1.70,1.80,0,0,0
VST,20160311,1.60,1.70,1.60,1.70,25200,1.60,1.70,1.60,1.70,0,0,0
VST,20160310,1.70,1.80,1.70,1.70,22100,1.70,1.80,1.70,1.70,0,0,0
VST,20160309,1.70,1.70,1.70,1.70,20400,1.70,1.70,1.70,1.70,0,0,0
VST,20160308,1.70,1.70,1.70,1.70,45600,1.70,1.70,1.70,1.70,0,0,0
VST,20160307,1.70,1.70,1.70,1.70,27600,1.70,1.70,1.70,1.70,0,0,0
VST,20160304,1.70,1.70,1.70,1.70,19105,1.70,1.70,1.70,1.70,0,0,0
VST,20160303,1.70,1.70,1.70,1.70,1900,1.70,1.70,1.70,1.70,0,0,0
VST,20160302,1.70,1.70,1.70,1.70,200,1.70,1.70,1.70,1.70,0,0,0
VST,20160301,1.70,1.80,1.70,1.80,34900,1.70,1.80,1.70,1.80,0,0,0
VST,20160229,1.60,1.70,1.60,1.70,21800,1.60,1.70,1.60,1.70,0,0,0
VST,20160226,1.70,1.70,1.70,1.70,1200,1.70,1.70,1.70,1.70,0,0,0
VST,20160225,1.70,1.70,1.70,1.70,40400,1.70,1.70,1.70,1.70,0,0,0
VST,20160224,1.70,1.70,1.70,1.70,6400,1.70,1.70,1.70,1.70,0,0,0
VST,20160223,1.70,1.70,1.70,1.70,15000,1.70,1.70,1.70,1.70,0,0,0
VST,20160222,1.70,1.70,1.60,1.60,10200,1.70,1.70,1.60,1.60,0,0,0
VST,20160219,1.80,1.80,1.60,1.60,2000,1.80,1.80,1.60,1.60,0,0,0
VST,20160218,1.70,1.70,1.70,1.70,1143,1.70,1.70,1.70,1.70,0,0,0
VST,20160217,1.50,1.50,1.50,1.50,106617,1.50,1.50,1.50,1.50,0,0,0
VST,20160215,1.60,1.60,1.60,1.60,6000,1.60,1.60,1.60,1.60,0,0,0
VST,20160205,1.70,1.70,1.70,1.70,1020,1.70,1.70,1.70,1.70,0,0,0
VST,20160204,1.60,1.60,1.60,1.60,230,1.60,1.60,1.60,1.60,0,0,230
