<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VT8,20170622,4.80,4.80,4.80,4.80,70,4.80,4.80,4.80,4.80,0,0,0
VT8,20170620,4.80,4.80,4.80,4.80,2200,4.80,4.80,4.80,4.80,0,0,0
VT8,20170414,8.00,8.00,8.00,8.00,2500,8.00,8.00,8.00,8.00,0,0,0
VT8,20161108,7.80,7.80,7.80,7.80,300,7.80,7.80,7.80,7.80,0,0,0
VT8,20160818,5.60,5.60,5.60,5.60,300,5.60,5.60,5.60,5.60,0,0,0
VT8,20160523,4.90,4.90,4.90,4.90,200,4.90,4.90,4.90,4.90,0,0,0
VT8,20160520,4.30,4.30,4.30,4.30,100,4.30,4.30,4.30,4.30,0,0,0
VT8,20160517,4.50,4.50,4.50,4.50,100,4.50,4.50,4.50,4.50,0,0,0
VT8,20160516,5.10,5.10,5.10,5.10,100,5.10,5.10,5.10,5.10,0,0,0
VT8,20160513,6.00,6.00,6.00,6.00,100,6.00,6.00,6.00,6.00,0,0,0
VT8,20160512,7.00,7.00,7.00,7.00,100,7.00,7.00,7.00,7.00,0,0,0
VT8,20160511,8.20,8.20,8.20,8.20,100,8.20,8.20,8.20,8.20,0,0,0
VT8,20160506,9.20,9.20,9.20,9.20,100,9.20,9.20,9.20,9.20,0,0,0
VT8,20160505,10.60,10.60,10.60,10.60,416,10.60,10.60,10.60,10.60,0,0,0
VT8,20160429,12.20,12.20,12.20,12.20,500,12.20,12.20,12.20,12.20,0,0,0
VT8,20160426,13.50,13.50,13.50,13.50,395,13.50,13.50,13.50,13.50,0,0,0
VT8,20160420,13.50,13.50,13.50,13.50,200,13.50,13.50,13.50,13.50,0,0,0
VT8,20160419,15.50,15.50,15.50,15.50,100,15.50,15.50,15.50,15.50,0,0,0
VT8,20160301,13.50,13.50,13.50,13.50,200,13.50,13.50,13.50,13.50,0,0,0
VT8,20151231,22.63,22.63,22.63,22.63,400,25.00,25.00,25.00,25.00,0,0,0
VT8,20151221,25.80,25.80,25.80,25.80,100,28.50,28.50,28.50,28.50,0,0,0
VT8,20151208,23.63,23.63,23.63,23.63,100,26.10,26.10,26.10,26.10,0,0,0
VT8,20151126,20.56,20.56,20.56,20.55,100,22.70,22.70,22.70,22.70,0,0,0
VT8,20151030,17.93,17.93,17.93,17.93,1000,19.80,19.80,19.80,19.80,0,0,0
VT8,20151029,17.93,17.93,17.93,17.93,8000,19.80,19.80,19.80,19.80,0,0,0
VT8,20151028,17.93,17.93,17.93,17.93,8000,19.80,19.80,19.80,19.80,0,0,0
VT8,20151027,17.93,17.93,17.93,17.93,6000,19.80,19.80,19.80,19.80,0,0,0
VT8,20151019,20.37,20.37,20.37,20.37,3000,22.50,22.50,22.50,22.50,0,0,0
VT8,20151014,20.37,20.37,20.37,20.37,300,22.50,22.50,22.50,22.50,0,0,0
VT8,20151013,20.82,20.82,20.82,20.82,300,23.00,23.00,23.00,23.00,0,0,0
VT8,20151012,21.28,21.28,21.28,21.27,300,23.50,23.50,23.50,23.50,0,0,0
