<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VTO,20170627,7.48,7.48,7.32,7.34,76050,7.48,7.48,7.32,7.34,0,0,200000
VTO,20170626,7.50,7.50,7.33,7.34,273380,7.50,7.50,7.33,7.34,0,0,200000
VTO,20170623,7.50,7.50,7.34,7.34,50530,7.50,7.50,7.34,7.34,100000,0,115010
VTO,20170622,7.40,7.42,7.34,7.36,105390,7.40,7.42,7.34,7.36,100000,0,150020
VTO,20170621,7.47,7.50,7.30,7.40,459390,7.47,7.50,7.30,7.40,0,0,70000
VTO,20170620,7.51,7.54,7.44,7.47,49130,7.51,7.54,7.44,7.47,0,0,30
VTO,20170619,7.41,7.60,7.41,7.49,56210,7.41,7.60,7.41,7.49,0,20,0
VTO,20170616,7.48,7.65,7.45,7.45,115740,7.48,7.65,7.45,7.45,0,0,11000
VTO,20170615,7.45,7.68,7.45,7.50,167180,7.45,7.68,7.45,7.50,0,65000,0
VTO,20170614,7.51,7.60,7.45,7.45,120490,7.51,7.60,7.45,7.45,0,0,0
VTO,20170613,7.70,7.70,7.50,7.51,364200,7.70,7.70,7.50,7.51,0,15020,200000
VTO,20170612,7.62,7.87,7.62,7.68,185260,7.62,7.87,7.62,7.68,0,23890,0
VTO,20170609,7.50,7.65,7.50,7.62,457260,7.50,7.65,7.50,7.62,0,13090,0
VTO,20170608,7.35,7.65,7.28,7.45,408450,7.35,7.65,7.28,7.45,0,0,0
VTO,20170607,7.40,7.40,7.26,7.34,75010,7.40,7.40,7.26,7.34,0,0,0
VTO,20170606,7.40,7.40,7.34,7.40,43950,7.40,7.40,7.34,7.40,0,0,0
VTO,20170605,7.40,7.45,7.35,7.40,118620,7.40,7.45,7.35,7.40,0,0,0
VTO,20170602,7.45,7.45,7.30,7.35,119630,7.45,7.45,7.30,7.35,0,0,0
VTO,20170601,7.51,7.54,7.43,7.44,47030,7.51,7.54,7.43,7.44,0,0,0
VTO,20170531,7.70,7.70,7.53,7.55,102190,7.70,7.70,7.53,7.55,0,0,0
VTO,20170530,7.61,7.63,7.51,7.57,153510,8.41,8.43,8.30,8.37,0,0,38720
VTO,20170529,7.61,7.63,7.56,7.61,119500,8.41,8.43,8.35,8.41,0,0,0
VTO,20170526,7.65,7.65,7.60,7.61,137370,8.45,8.45,8.40,8.41,0,0,0
VTO,20170525,7.60,7.68,7.51,7.61,207800,8.40,8.49,8.30,8.41,0,0,0
VTO,20170524,7.43,7.51,7.42,7.43,100850,8.21,8.30,8.20,8.21,0,0,0
VTO,20170523,7.55,7.59,7.49,7.50,107640,8.35,8.40,8.29,8.29,0,0,0
VTO,20170522,7.68,7.68,7.54,7.54,180750,8.49,8.49,8.34,8.34,0,3000,0
VTO,20170519,7.67,7.82,7.53,7.68,545980,8.49,8.65,8.33,8.49,0,0,0
VTO,20170518,7.36,7.37,7.27,7.33,109440,8.14,8.15,8.04,8.11,0,0,0
VTO,20170517,7.17,7.37,7.14,7.36,183600,7.93,8.15,7.90,8.14,0,0,0
VTO,20170516,7.17,7.22,7.12,7.17,185800,7.93,7.99,7.88,7.93,0,0,0
VTO,20170515,7.16,7.19,7.10,7.17,142860,7.92,7.95,7.85,7.93,0,0,0
VTO,20170512,7.20,7.22,7.14,7.16,145790,7.96,7.98,7.89,7.92,0,0,0
VTO,20170511,7.14,7.21,7.14,7.22,110310,7.90,7.98,7.90,7.98,0,0,500
VTO,20170510,7.08,7.19,7.08,7.14,95560,7.83,7.95,7.83,7.90,0,0,1000
VTO,20170509,7.08,7.10,7.07,7.08,135390,7.83,7.85,7.82,7.83,0,0,660
VTO,20170508,7.12,7.12,7.07,7.08,47320,7.87,7.87,7.82,7.83,0,0,340
VTO,20170505,7.09,7.10,7.06,7.09,136960,7.84,7.85,7.81,7.84,0,0,0
VTO,20170504,7.19,7.19,7.09,7.09,192000,7.94,7.94,7.84,7.84,0,0,0
VTO,20170503,7.10,7.15,7.10,7.14,39430,7.85,7.90,7.85,7.89,0,0,500
VTO,20170428,7.13,7.13,7.06,7.10,66340,7.88,7.88,7.80,7.85,0,0,0
VTO,20170427,7.13,7.19,7.11,7.13,116150,7.88,7.95,7.86,7.88,0,0,15000
VTO,20170426,7.13,7.13,7.06,7.13,52050,7.88,7.88,7.80,7.88,0,0,0
VTO,20170425,7.13,7.22,7.11,7.13,39630,7.88,7.98,7.86,7.88,0,0,0
VTO,20170424,7.17,7.18,7.12,7.13,29390,7.93,7.94,7.88,7.88,0,0,0
VTO,20170421,7.14,7.19,7.14,7.17,69050,7.90,7.95,7.90,7.93,0,0,0
VTO,20170420,7.24,7.26,7.19,7.19,76210,8.00,8.02,7.95,7.95,0,0,50000
VTO,20170419,7.23,7.27,7.21,7.24,53510,7.99,8.04,7.97,8.00,0,0,1000
