<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
WCS,20170627,179.30,179.30,179.30,179.30,900,179.30,179.30,179.30,179.30,0,900,0
WCS,20170626,175.00,179.30,175.00,179.30,1100,175.00,179.30,175.00,179.30,0,500,0
WCS,20170623,180.00,180.00,170.00,175.00,1300,180.00,180.00,170.00,175.00,0,500,0
WCS,20170622,180.00,181.00,180.00,181.00,700,180.00,181.00,180.00,181.00,0,600,0
WCS,20170621,181.00,181.00,181.00,181.00,300,181.00,181.00,181.00,181.00,0,300,0
WCS,20170620,181.00,181.00,181.00,181.00,600,181.00,181.00,181.00,181.00,0,600,100
WCS,20170619,181.50,181.50,180.00,180.00,2000,181.50,181.50,180.00,180.00,0,800,0
WCS,20170616,181.30,181.30,181.30,181.30,100,181.30,181.30,181.30,181.30,0,100,0
WCS,20170615,181.40,181.40,181.40,181.40,100,181.40,181.40,181.40,181.40,0,100,0
WCS,20170614,181.00,181.00,180.00,181.00,1900,181.00,181.00,180.00,181.00,0,800,0
WCS,20170613,181.00,181.00,181.00,181.00,912,181.00,181.00,181.00,181.00,0,800,0
WCS,20170612,181.00,181.00,181.00,181.00,1600,181.00,181.00,181.00,181.00,0,1500,0
WCS,20170609,181.50,181.50,181.00,181.00,210,181.50,181.50,181.00,181.00,0,100,100
WCS,20170608,178.01,179.00,178.01,179.00,3300,180.00,181.00,180.00,181.00,0,3300,0
WCS,20170607,179.00,179.40,178.01,178.01,18300,181.00,181.40,180.00,180.00,0,17100,300
WCS,20170606,179.09,179.09,179.00,179.00,3500,181.10,181.10,181.00,181.00,0,3000,0
WCS,20170605,178.60,178.60,178.60,178.60,100,180.60,180.60,180.60,180.60,0,100,100
WCS,20170602,185.91,187.89,185.91,187.90,900,188.00,190.00,188.00,190.00,0,900,0
WCS,20170531,179.19,182.85,179.19,180.97,824,181.20,184.90,181.20,183.00,0,812,12
WCS,20170529,180.97,180.97,179.98,179.98,300,183.00,183.00,182.00,182.00,0,300,0
WCS,20170526,182.95,182.95,180.97,180.97,200,185.00,185.00,183.00,183.00,0,100,0
WCS,20170524,182.95,183.44,182.95,182.95,1000,185.00,185.50,185.00,185.00,0,1000,0
WCS,20170523,178.50,178.50,178.50,178.50,100,180.50,180.50,180.50,180.50,0,100,0
WCS,20170522,178.50,178.50,178.50,178.50,216,180.50,180.50,180.50,180.50,0,200,0
WCS,20170519,178.50,178.70,178.50,178.50,700,180.50,180.70,180.50,180.50,0,700,0
WCS,20170518,178.01,178.90,178.01,178.90,1202,180.00,180.90,180.00,180.90,0,200,0
WCS,20170517,178.01,178.01,178.01,178.01,200,180.00,180.00,180.00,180.00,0,200,0
WCS,20170516,173.06,178.00,173.06,178.01,4400,175.00,180.00,175.00,180.00,0,2100,100
WCS,20170512,168.61,173.06,168.61,173.06,600,170.50,175.00,170.50,175.00,0,0,400
WCS,20170511,177.02,177.02,177.02,177.02,419,179.00,179.00,179.00,179.00,0,400,0
WCS,20170510,178.01,178.01,177.02,177.02,1700,180.00,180.00,179.00,179.00,0,1200,0
WCS,20170509,178.01,178.01,177.02,178.01,1900,180.00,180.00,179.00,180.00,0,1700,1600
WCS,20170508,178.01,178.01,178.01,178.01,700,180.00,180.00,180.00,180.00,0,600,0
WCS,20170504,179.99,179.99,178.01,178.01,1700,182.00,182.00,180.00,180.00,0,1100,100
WCS,20170503,178.01,178.01,178.01,178.01,100,180.00,180.00,180.00,180.00,0,0,0
WCS,20170428,178.01,178.01,177.02,178.01,1300,180.00,180.00,179.00,180.00,0,900,1100
WCS,20170427,180.97,180.97,177.01,177.02,1200,183.00,183.00,179.00,179.00,0,800,1200
WCS,20170426,180.97,180.97,180.97,180.97,300,183.00,183.00,183.00,183.00,0,0,300
