<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KHA,20020819,4.11,4.11,4.11,4.11,21300,21.50,21.50,21.50,21.50,0,0,0
KHA,20020820,4.00,4.00,4.00,3.99,13000,20.90,20.90,20.90,20.90,0,0,0
KHA,20020821,3.89,3.89,3.89,3.90,53500,20.40,20.40,20.40,20.40,0,0,0
KHA,20020822,4.01,4.01,4.01,4.01,25600,21.00,21.00,21.00,21.00,0,0,0
KHA,20020823,4.11,4.11,4.11,4.11,29700,21.50,21.50,21.50,21.50,0,0,0
KHA,20020826,4.11,4.11,4.11,4.11,7900,21.50,21.50,21.50,21.50,0,0,0
KHA,20020827,4.11,4.11,4.11,4.11,17500,21.50,21.50,21.50,21.50,0,0,0
KHA,20020828,4.11,4.11,4.11,4.11,12000,21.50,21.50,21.50,21.50,0,0,0
KHA,20020829,4.13,4.13,4.13,4.13,11800,21.60,21.60,21.60,21.60,0,0,0
KHA,20020830,4.19,4.19,4.19,4.18,5500,21.90,21.90,21.90,21.90,0,0,0
KHA,20020903,4.20,4.20,4.20,4.20,2500,22.00,22.00,22.00,22.00,0,0,0
KHA,20020904,4.26,4.26,4.26,4.26,3500,22.30,22.30,22.30,22.30,0,0,0
KHA,20020905,4.26,4.26,4.26,4.26,1600,22.30,22.30,22.30,22.30,0,0,0
KHA,20020906,4.26,4.26,4.26,4.26,2000,22.30,22.30,22.30,22.30,0,0,0
KHA,20020909,4.30,4.30,4.30,4.30,3400,22.50,22.50,22.50,22.50,0,0,0
KHA,20020910,4.38,4.38,4.38,4.38,3000,22.90,22.90,22.90,22.90,0,0,0
KHA,20020911,4.40,4.40,4.40,4.39,7800,23.00,23.00,23.00,23.00,0,0,0
KHA,20020912,4.39,4.39,4.39,4.39,3500,23.00,23.00,23.00,23.00,0,0,0
KHA,20020913,4.39,4.39,4.39,4.39,3000,23.00,23.00,23.00,23.00,0,0,0
KHA,20020916,4.39,4.39,4.39,4.39,6600,23.00,23.00,23.00,23.00,0,0,0
KHA,20020917,4.39,4.39,4.39,4.39,9200,23.00,23.00,23.00,23.00,0,0,0
KHA,20020918,4.39,4.39,4.39,4.39,3500,23.00,23.00,23.00,23.00,0,0,0
KHA,20020919,4.39,4.39,4.39,4.39,11300,23.00,23.00,23.00,23.00,0,0,0
KHA,20020920,4.39,4.39,4.39,4.39,10500,23.00,23.00,23.00,23.00,0,0,0
KHA,20020923,4.39,4.39,4.39,4.39,1000,23.00,23.00,23.00,23.00,0,0,0
KHA,20020924,4.39,4.39,4.39,4.39,9500,23.00,23.00,23.00,23.00,0,0,0
KHA,20020925,4.39,4.39,4.39,4.39,5400,23.00,23.00,23.00,23.00,0,0,0
KHA,20020926,4.41,4.41,4.41,4.41,2000,23.10,23.10,23.10,23.10,0,0,0
KHA,20020927,4.47,4.47,4.47,4.47,6000,23.40,23.40,23.40,23.40,0,0,0
KHA,20020930,4.49,4.49,4.49,4.49,2100,23.50,23.50,23.50,23.50,0,0,0
KHA,20021001,4.49,4.49,4.49,4.49,8300,23.50,23.50,23.50,23.50,0,0,0
KHA,20021002,4.49,4.49,4.49,4.49,4900,23.50,23.50,23.50,23.50,0,0,0
KHA,20021003,4.49,4.49,4.49,4.49,7700,23.50,23.50,23.50,23.50,0,0,0
KHA,20021004,4.49,4.49,4.49,4.49,5500,23.50,23.50,23.50,23.50,0,0,0
KHA,20021007,4.59,4.59,4.59,4.59,2100,24.00,24.00,24.00,24.00,0,0,0
KHA,20021008,4.63,4.63,4.63,4.62,400,24.20,24.20,24.20,24.20,0,0,0
KHA,20021009,4.62,4.62,4.62,4.62,300,24.20,24.20,24.20,24.20,0,0,0
KHA,20021010,4.64,4.64,4.64,4.64,1300,24.30,24.30,24.30,24.30,0,0,0
KHA,20021011,4.64,4.64,4.64,4.64,2200,24.30,24.30,24.30,24.30,0,0,0
KHA,20021014,4.64,4.64,4.64,4.64,3100,24.30,24.30,24.30,24.30,0,0,0
KHA,20021015,4.64,4.64,4.64,4.64,3500,24.30,24.30,24.30,24.30,0,0,0
KHA,20021016,4.64,4.64,4.64,4.64,6400,24.30,24.30,24.30,24.30,0,0,0
KHA,20021017,4.53,4.53,4.53,4.53,1900,23.70,23.70,23.70,23.70,0,0,0
KHA,20021018,4.53,4.53,4.53,4.53,19300,23.70,23.70,23.70,23.70,0,0,0
KHA,20021021,4.53,4.53,4.53,4.53,400,23.70,23.70,23.70,23.70,0,0,0
KHA,20021022,4.51,4.51,4.51,4.51,6700,23.60,23.60,23.60,23.60,0,0,0
KHA,20021023,4.40,4.40,4.40,4.39,9500,23.00,23.00,23.00,23.00,0,0,0
KHA,20021024,4.39,4.39,4.39,4.39,14800,23.00,23.00,23.00,23.00,0,0,0
KHA,20021025,4.39,4.39,4.39,4.39,9000,23.00,23.00,23.00,23.00,0,0,0
KHA,20021028,4.39,4.39,4.39,4.39,2200,23.00,23.00,23.00,23.00,0,0,0
KHA,20021029,4.39,4.39,4.39,4.39,7000,23.00,23.00,23.00,23.00,0,0,0
KHA,20021030,4.39,4.39,4.39,4.39,9500,23.00,23.00,23.00,23.00,0,0,0
KHA,20021031,4.37,4.37,4.37,4.38,7700,22.90,22.90,22.90,22.90,0,0,0
KHA,20021101,4.40,4.40,4.40,4.39,9700,23.00,23.00,23.00,23.00,0,0,0
KHA,20021104,4.39,4.39,4.39,4.39,10000,23.00,23.00,23.00,23.00,0,0,0
KHA,20021105,4.39,4.39,4.39,4.39,8300,23.00,23.00,23.00,23.00,0,0,0
KHA,20021106,4.37,4.37,4.37,4.38,7000,22.90,22.90,22.90,22.90,0,0,0
KHA,20021107,4.34,4.34,4.34,4.34,3200,22.70,22.70,22.70,22.70,0,0,0
KHA,20021108,4.34,4.34,4.34,4.34,6700,22.70,22.70,22.70,22.70,0,0,0
KHA,20021111,4.38,4.38,4.38,4.38,200,22.90,22.90,22.90,22.90,0,0,0
KHA,20021112,4.40,4.40,4.40,4.39,3600,23.00,23.00,23.00,23.00,0,0,0
KHA,20021113,4.39,4.39,4.39,4.39,500,23.00,23.00,23.00,23.00,0,0,0
KHA,20021114,4.43,4.43,4.43,4.43,6000,23.20,23.20,23.20,23.20,0,0,0
KHA,20021115,4.47,4.47,4.47,4.47,7800,23.40,23.40,23.40,23.40,0,0,0
KHA,20021118,4.47,4.47,4.47,4.47,1700,23.40,23.40,23.40,23.40,0,0,0
KHA,20021119,4.47,4.47,4.47,4.47,7300,23.40,23.40,23.40,23.40,0,0,0
KHA,20021120,4.47,4.47,4.47,4.47,2100,23.40,23.40,23.40,23.40,0,0,0
KHA,20021121,4.47,4.47,4.47,4.47,3600,23.40,23.40,23.40,23.40,0,0,0
KHA,20021122,4.49,4.49,4.49,4.49,3300,23.50,23.50,23.50,23.50,0,0,0
KHA,20021125,4.49,4.49,4.49,4.49,4700,23.50,23.50,23.50,23.50,0,0,0
KHA,20021126,4.49,4.49,4.49,4.49,9400,23.50,23.50,23.50,23.50,0,0,0
KHA,20021127,4.47,4.47,4.47,4.47,4000,23.40,23.40,23.40,23.40,0,0,0
KHA,20021128,4.47,4.47,4.47,4.47,3500,23.40,23.40,23.40,23.40,0,0,0
KHA,20021129,4.51,4.51,4.51,4.51,2500,23.60,23.60,23.60,23.60,0,0,0
KHA,20021202,4.53,4.53,4.53,4.53,5800,23.70,23.70,23.70,23.70,0,0,0
KHA,20021203,4.66,4.66,4.66,4.66,10900,24.40,24.40,24.40,24.40,0,0,0
KHA,20021204,4.77,4.77,4.77,4.78,15500,25.00,25.00,25.00,25.00,0,0,0
KHA,20021205,4.78,4.78,4.78,4.78,9400,25.00,25.00,25.00,25.00,0,0,0
KHA,20021206,4.65,4.65,4.65,4.64,17200,24.30,24.30,24.30,24.30,0,0,0
KHA,20021209,4.68,4.68,4.68,4.68,200,24.50,24.50,24.50,24.50,0,0,0
KHA,20021210,4.78,4.78,4.78,4.78,3200,25.00,25.00,25.00,25.00,0,0,0
KHA,20021211,4.78,4.78,4.78,4.78,900,25.00,25.00,25.00,25.00,0,0,0
KHA,20021212,4.72,4.72,4.72,4.72,3000,24.70,24.70,24.70,24.70,0,0,0
KHA,20021213,4.72,4.72,4.72,4.72,4300,24.70,24.70,24.70,24.70,0,0,0
KHA,20021216,4.70,4.70,4.70,4.70,7100,24.60,24.60,24.60,24.60,0,0,0
KHA,20021217,4.68,4.68,4.68,4.68,5600,24.50,24.50,24.50,24.50,0,0,0
KHA,20021218,4.68,4.68,4.68,4.68,2000,24.50,24.50,24.50,24.50,0,0,0
KHA,20021219,4.70,4.70,4.70,4.70,3000,24.60,24.60,24.60,24.60,0,0,0
KHA,20021220,4.70,4.70,4.70,4.70,600,24.60,24.60,24.60,24.60,0,0,0
KHA,20021223,4.59,4.59,4.59,4.59,14200,24.00,24.00,24.00,24.00,0,0,0
KHA,20021224,4.59,4.59,4.59,4.59,5300,24.00,24.00,24.00,24.00,0,0,0
KHA,20021225,4.57,4.57,4.57,4.57,2100,23.90,23.90,23.90,23.90,0,0,0
KHA,20021226,4.55,4.55,4.55,4.55,7800,23.80,23.80,23.80,23.80,0,0,0
KHA,20021227,4.55,4.55,4.55,4.55,200,23.80,23.80,23.80,23.80,0,0,0
KHA,20021230,4.44,4.44,4.44,4.43,1800,23.20,23.20,23.20,23.20,0,0,0
KHA,20021231,4.45,4.45,4.45,4.45,1300,23.30,23.30,23.30,23.30,0,0,0
KHA,20030102,4.41,4.41,4.41,4.41,1300,23.10,23.10,23.10,23.10,0,0,0
KHA,20030103,4.43,4.43,4.43,4.43,800,23.20,23.20,23.20,23.20,0,0,0
KHA,20030106,4.41,4.41,4.41,4.41,300,23.10,23.10,23.10,23.10,0,0,0
KHA,20030107,4.39,4.39,4.39,4.39,3100,23.00,23.00,23.00,23.00,0,0,0
KHA,20030108,4.39,4.39,4.39,4.39,100,23.00,23.00,23.00,23.00,0,0,0
KHA,20030109,4.39,4.39,4.39,4.39,300,23.00,23.00,23.00,23.00,0,0,0
KHA,20030110,4.39,4.39,4.39,4.39,500,23.00,23.00,23.00,23.00,0,0,0
KHA,20030113,4.39,4.39,4.39,4.39,1600,23.00,23.00,23.00,23.00,0,0,0
KHA,20030114,4.39,4.39,4.39,4.39,1600,23.00,23.00,23.00,23.00,0,0,0
KHA,20030115,4.18,4.18,4.18,4.18,900,21.90,21.90,21.90,21.90,0,0,0
KHA,20030116,4.37,4.37,4.37,4.38,12600,22.90,22.90,22.90,22.90,0,0,0
KHA,20030117,4.38,4.38,4.38,4.38,3000,22.90,22.90,22.90,22.90,0,0,0
KHA,20030120,4.40,4.40,4.40,4.39,300,23.00,23.00,23.00,23.00,0,0,0
KHA,20030121,4.39,4.39,4.39,4.39,900,23.00,23.00,23.00,23.00,0,0,0
KHA,20030122,4.39,4.39,4.39,4.39,600,23.00,23.00,23.00,23.00,0,0,0
KHA,20030123,4.39,4.39,4.39,4.39,200,23.00,23.00,23.00,23.00,0,0,0
KHA,20030124,4.39,4.39,4.39,4.39,100,23.00,23.00,23.00,23.00,0,0,0
