<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KMR,20080630,29.09,29.09,29.09,29.09,220,48.00,48.00,48.00,48.00,0,0,0
KMR,20080701,28.24,28.24,28.24,28.24,70,46.60,46.60,46.60,46.60,0,0,0
KMR,20080702,27.45,27.45,27.45,27.46,20,45.30,45.30,45.30,45.30,0,0,0
KMR,20080703,26.67,26.67,26.67,26.67,10,44.00,44.00,44.00,44.00,0,0,0
KMR,20080704,25.88,25.88,25.88,25.88,10,42.70,42.70,42.70,42.70,0,0,0
KMR,20080707,25.15,25.15,25.15,25.15,10,41.50,41.50,41.50,41.50,0,0,0
KMR,20080710,24.42,24.42,24.42,24.43,10,40.30,40.30,40.30,40.30,0,0,0
KMR,20080714,23.70,23.70,23.70,23.70,10,39.10,39.10,39.10,39.10,0,0,0
KMR,20080715,23.03,23.03,23.03,23.03,70,38.00,38.00,38.00,38.00,0,0,0
KMR,20080716,22.36,22.36,22.36,22.36,60,36.90,36.90,36.90,36.90,0,0,0
KMR,20080717,21.69,21.69,21.69,21.70,80,35.80,35.80,35.80,35.80,0,0,0
KMR,20080718,21.09,21.09,21.09,21.09,10,34.80,34.80,34.80,34.80,0,0,0
KMR,20080721,20.61,20.61,20.61,20.61,100,34.00,34.00,34.00,34.00,0,0,0
KMR,20080723,20.00,20.00,20.00,20.00,10,33.00,33.00,33.00,33.00,0,0,0
KMR,20080724,19.45,19.45,19.45,19.46,10,32.10,32.10,32.10,32.10,0,0,0
KMR,20080725,18.91,18.91,18.91,18.91,920,31.20,31.20,31.20,31.20,0,0,0
KMR,20080728,18.36,18.36,18.36,18.36,20,30.30,30.30,30.30,30.30,0,0,0
KMR,20080729,17.81,17.81,17.81,17.82,10,29.40,29.40,29.40,29.40,0,0,0
KMR,20080731,17.34,17.34,17.34,17.33,10,28.60,28.60,28.60,28.60,0,0,0
KMR,20080801,16.85,16.85,16.85,16.85,20,27.80,27.80,27.80,27.80,0,0,0
KMR,20080804,16.37,16.37,16.37,16.36,20,27.00,27.00,27.00,27.00,0,0,0
KMR,20080806,15.88,15.88,15.88,15.88,10,26.20,26.20,26.20,26.20,0,0,0
KMR,20080807,15.46,15.46,15.46,15.46,19620,25.50,25.50,25.50,25.50,0,0,0
KMR,20080808,15.04,15.04,15.04,15.03,15010,24.80,24.80,24.80,24.80,0,0,0
KMR,20080811,14.61,14.61,14.61,14.61,13950,24.10,24.10,24.10,24.10,0,0,0
KMR,20080812,14.19,14.19,14.19,14.18,310,23.40,23.40,23.40,23.40,0,0,0
KMR,20080813,13.76,13.76,13.76,13.76,14020,22.70,22.70,22.70,22.70,0,0,0
KMR,20080814,13.40,13.40,13.40,13.39,1180,22.10,22.10,22.10,22.10,0,0,0
KMR,20080815,13.03,13.03,13.03,13.03,34440,21.50,21.50,21.50,21.50,0,0,0
KMR,20080818,12.42,12.42,12.42,12.42,790,20.50,20.50,20.50,20.50,0,0,0
KMR,20080819,11.81,11.81,11.81,11.82,1920,19.50,19.50,19.50,19.50,0,50,0
KMR,20080820,11.27,11.27,11.27,11.27,12410,18.60,18.60,18.60,18.60,0,0,0
KMR,20080821,10.72,10.72,10.72,10.73,410,17.70,17.70,17.70,17.70,0,0,0
KMR,20080822,10.25,10.25,10.25,10.24,3880,16.90,16.90,16.90,16.90,0,0,0
KMR,20080825,9.76,10.72,9.76,10.73,1185260,16.10,17.70,16.10,17.70,520000,0,0
KMR,20080826,11.21,11.21,11.21,11.21,210300,18.50,18.50,18.50,18.50,20000,0,0
KMR,20080827,11.76,11.76,11.76,11.76,73710,19.40,19.40,19.40,19.40,0,0,0
KMR,20080828,12.31,12.31,11.21,12.30,265520,20.30,20.30,18.50,20.30,0,1540,0
KMR,20080829,11.69,11.69,11.69,11.70,97850,19.30,19.30,19.30,19.30,0,100,0
KMR,20080903,11.15,11.70,11.15,11.15,631710,18.40,19.30,18.40,18.40,0,300,0
KMR,20080904,10.60,10.67,10.60,10.61,211600,17.50,17.60,17.50,17.50,0,100,0
