<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PVC,20071115,49.07,62.07,45.76,55.57,380300,150.10,189.90,140.00,170.00,46900,0,0
PVC,20071116,55.60,55.67,55.57,55.66,173300,170.10,170.30,170.00,170.30,0,100,0
PVC,20071119,61.22,61.22,61.22,61.22,51800,187.30,187.30,187.30,187.30,0,0,0
PVC,20071120,67.33,67.33,55.86,55.86,139800,206.00,206.00,170.90,170.90,0,200,0
PVC,20071121,55.57,55.57,54.45,54.46,44500,170.00,170.00,166.60,166.60,0,100,0
PVC,20071122,49.13,54.92,49.13,51.97,157100,150.30,168.00,150.30,159.00,0,0,0
PVC,20071123,51.35,51.35,49.88,50.21,149900,157.10,157.10,152.60,153.60,0,2200,0
PVC,20071126,48.38,50.01,45.44,48.70,258000,148.00,153.00,139.00,149.00,0,0,0
PVC,20071127,47.72,50.33,47.23,48.54,49200,146.00,154.00,144.50,148.50,0,0,0
PVC,20071128,49.03,49.03,47.89,48.54,33400,150.00,150.00,146.50,148.50,0,0,1000
PVC,20071129,48.15,49.03,47.89,48.05,57200,147.30,150.00,146.50,147.00,0,0,0
PVC,20071130,48.08,48.34,47.07,47.40,41200,147.10,147.90,144.00,145.00,10000,0,0
PVC,20071203,47.56,47.73,46.75,46.94,59100,145.50,146.00,143.00,143.60,0,1000,0
PVC,20071204,47.20,47.20,45.44,45.76,85300,144.40,144.40,139.00,140.00,0,0,0
PVC,20071205,46.41,46.74,44.13,45.11,50700,142.00,143.00,135.00,138.00,0,1000,0
PVC,20071206,45.11,45.11,42.49,43.15,78900,138.00,138.00,130.00,132.00,0,0,0
PVC,20071207,42.50,46.42,41.19,43.80,77100,130.00,142.00,126.00,134.00,0,500,0
PVC,20071210,43.21,44.45,41.87,42.17,81300,132.20,136.00,128.10,129.00,0,0,0
PVC,20071211,41.88,42.17,41.03,41.02,37900,128.10,129.00,125.50,125.50,0,0,200
PVC,20071212,40.86,42.49,39.61,41.02,104700,125.00,130.00,121.20,125.50,0,0,0
PVC,20071213,40.89,40.89,39.55,39.88,11800,125.10,125.10,121.00,122.00,0,0,0
PVC,20071214,39.26,39.62,37.59,38.57,35000,120.10,121.20,115.00,118.00,0,0,0
PVC,20071217,38.57,38.57,35.33,35.46,44200,118.00,118.00,108.10,108.50,0,0,0
PVC,20071218,33.99,36.73,33.34,36.28,61700,104.00,112.40,102.00,111.00,0,13200,0
PVC,20071219,35.36,38.18,33.67,38.18,31400,108.20,116.80,103.00,116.80,0,1400,0
PVC,20071220,38.90,40.21,35.99,37.92,45600,119.00,123.00,110.10,116.00,0,0,0
PVC,20071221,36.61,40.21,36.61,39.22,77000,112.00,123.00,112.00,120.00,0,0,0
PVC,20071224,40.89,41.51,39.22,39.55,44500,125.10,127.00,120.00,121.00,0,0,0
PVC,20071225,39.55,39.55,38.57,38.96,41200,121.00,121.00,118.00,119.20,0,0,0
PVC,20071226,38.40,40.37,38.40,39.55,38600,117.50,123.50,117.50,121.00,0,0,0
PVC,20071227,39.88,39.88,39.26,39.55,36600,122.00,122.00,120.10,121.00,0,0,0
PVC,20071228,39.55,43.41,39.26,43.02,51700,121.00,132.80,120.10,131.60,0,17700,0
PVC,20080102,43.48,43.48,40.86,41.51,58300,133.00,133.00,125.00,127.00,0,0,0
PVC,20080103,41.84,41.84,40.20,40.69,19000,128.00,128.00,123.00,124.50,0,300,0
PVC,20080104,40.85,40.85,39.61,39.88,22300,125.00,125.00,121.20,122.00,0,0,0
PVC,20080107,40.14,40.14,36.28,38.54,18600,122.80,122.80,111.00,117.90,0,0,0
PVC,20080108,38.25,40.83,37.59,38.24,27900,117.00,124.90,115.00,117.00,0,0,0
PVC,20080109,38.89,38.89,36.61,37.10,32600,119.00,119.00,112.00,113.50,5000,0,0
