<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TLC,20061228,78.63,78.63,78.63,78.63,93400,85.00,85.00,85.00,85.00,93200,0,0
TLC,20061229,70.77,70.77,70.77,70.77,800,76.50,76.50,76.50,76.50,0,0,0
TLC,20070102,65.68,65.68,63.74,63.74,3300,71.00,71.00,68.90,68.90,0,0,0
TLC,20070103,58.10,58.10,58.10,58.09,700,62.80,62.80,62.80,62.80,0,0,0
TLC,20070104,52.35,57.35,52.35,57.35,28800,56.60,62.00,56.60,62.00,0,0,0
TLC,20070105,58.74,59.29,58.74,58.93,8700,63.50,64.10,63.50,63.70,0,0,0
TLC,20070108,64.76,64.76,64.76,64.75,44000,70.00,70.00,70.00,70.00,0,0,0
TLC,20070109,70.76,71.22,65.21,70.77,76400,76.50,77.00,70.50,76.50,5000,0,0
TLC,20070110,74.01,74.01,67.07,69.84,19200,80.00,80.00,72.50,75.50,5000,0,0
TLC,20070111,70.30,72.15,64.75,64.85,33900,76.00,78.00,70.00,70.10,0,0,0
TLC,20070112,68.46,69.38,67.53,69.38,45200,74.00,75.00,73.00,75.00,0,0,0
TLC,20070115,74.01,74.01,69.38,72.62,60300,80.00,80.00,75.00,78.50,0,0,0
TLC,20070116,74.01,78.17,71.23,72.15,64200,80.00,84.50,77.00,78.00,0,0,0
TLC,20070117,72.15,73.08,65.67,70.30,47900,78.00,79.00,71.00,76.00,0,0,0
TLC,20070118,70.30,70.30,69.38,69.84,35800,76.00,76.00,75.00,75.50,0,0,0
TLC,20070119,71.23,71.23,69.38,70.49,21800,77.00,77.00,75.00,76.20,0,0,0
TLC,20070122,71.23,71.23,66.60,67.53,44100,77.00,77.00,72.00,73.00,0,0,0
TLC,20070123,67.53,68.46,64.75,65.68,31400,73.00,74.00,70.00,71.00,0,0,0
TLC,20070124,66.61,70.31,66.14,67.53,33400,72.00,76.00,71.50,73.00,0,0,0
TLC,20070125,67.53,67.53,65.68,67.53,24700,73.00,73.00,71.00,73.00,0,0,0
TLC,20070126,65.68,66.14,61.05,64.75,17200,71.00,71.50,66.00,70.00,0,0,0
TLC,20070129,64.75,67.53,64.75,67.53,8000,70.00,73.00,70.00,73.00,0,0,0
TLC,20070130,68.46,71.23,66.60,71.23,34500,74.00,77.00,72.00,77.00,0,0,0
TLC,20070131,76.41,76.41,71.23,74.00,118500,82.60,82.60,77.00,80.00,0,0,0
TLC,20070201,81.58,81.58,74.00,74.47,75200,88.20,88.20,80.00,80.50,0,0,0
TLC,20070202,74.01,79.47,71.23,71.69,35700,80.00,85.90,77.00,77.50,0,0,0
TLC,20070205,78.63,78.63,69.38,71.23,55400,85.00,85.00,75.00,77.00,0,0,0
TLC,20070206,71.98,73.85,71.04,73.38,35400,77.00,79.00,76.00,78.50,0,0,0
TLC,20070207,75.25,75.25,70.11,74.31,50600,80.50,80.50,75.00,79.50,0,0,0
TLC,20070208,76.65,76.65,71.97,71.98,42200,82.00,82.00,77.00,77.00,0,0,0
TLC,20070209,71.98,72.45,70.11,70.20,17500,77.00,77.50,75.00,75.10,0,0,0
TLC,20070212,75.72,76.65,69.17,71.51,29800,81.00,82.00,74.00,76.50,0,0,0
TLC,20070213,76.56,76.65,72.07,73.38,37700,81.90,82.00,77.10,78.50,0,0,0
TLC,20070214,75.25,75.25,73.38,74.97,48600,80.50,80.50,78.50,80.20,0,0,0
TLC,20070215,76.65,79.46,76.09,77.58,28700,82.00,85.00,81.40,83.00,0,0,0
TLC,20070226,77.58,84.59,77.58,84.31,67200,83.00,90.50,83.00,90.20,0,0,0
TLC,20070227,87.86,91.13,87.86,88.80,86800,94.00,97.50,94.00,95.00,0,0,0
TLC,20070228,97.96,97.96,80.20,86.93,29700,104.80,104.80,85.80,93.00,0,0,0
TLC,20070301,88.80,89.73,80.39,84.13,35700,95.00,96.00,86.00,90.00,0,0,0
TLC,20070302,83.66,83.66,80.39,82.26,13500,89.50,89.50,86.00,88.00,0,0,0
TLC,20070305,81.33,81.33,79.46,80.39,33100,87.00,87.00,85.00,86.00,0,0,0
TLC,20070306,83.19,85.81,82.26,82.73,56600,89.00,91.80,88.00,88.50,0,0,0
TLC,20070307,86.94,86.94,80.39,80.86,48000,93.00,93.00,86.00,86.50,0,0,0
TLC,20070308,84.13,84.13,80.86,83.66,27800,90.00,90.00,86.50,89.50,0,0,0
TLC,20070309,84.13,84.13,82.26,82.73,60300,90.00,90.00,88.00,88.50,0,0,0
TLC,20070312,91.98,91.98,82.73,83.19,78200,98.40,98.40,88.50,89.00,0,0,0
TLC,20070313,88.80,88.80,85.53,86.93,85200,95.00,95.00,91.50,93.00,0,0,0
TLC,20070314,88.80,88.80,86.93,87.87,81400,95.00,95.00,93.00,94.00,0,0,0
TLC,20070315,87.68,87.87,82.73,84.31,67300,93.80,94.00,88.50,90.20,0,0,0
TLC,20070316,85.99,91.60,84.22,90.67,70500,92.00,98.00,90.10,97.00,0,0,0
TLC,20070319,90.67,92.07,82.26,91.61,129200,97.00,98.50,88.00,98.00,0,0,0
TLC,20070320,93.48,93.48,86.94,87.40,42200,100.00,100.00,93.00,93.50,0,0,0
TLC,20070321,86.00,88.80,84.13,86.46,44100,92.00,95.00,90.00,92.50,0,0,0
TLC,20070322,85.06,85.06,79.45,83.01,27700,91.00,91.00,85.00,88.80,0,0,0
TLC,20070323,81.33,81.33,77.59,78.61,37600,87.00,87.00,83.00,84.10,0,0,0
TLC,20070326,78.98,79.45,71.51,71.51,17800,84.50,85.00,76.50,76.50,0,0,0
TLC,20070327,71.04,71.98,66.56,66.55,15900,76.00,77.00,71.20,71.20,0,0,0
TLC,20070328,65.43,74.49,61.69,74.50,14600,70.00,79.70,66.00,79.70,0,0,0
TLC,20070329,73.38,73.38,73.38,73.38,12300,78.50,78.50,78.50,78.50,0,0,0
TLC,20070330,80.39,80.39,72.91,73.85,51600,86.00,86.00,78.00,79.00,0,0,0
TLC,20070402,72.92,72.92,69.74,69.73,13500,78.00,78.00,74.60,74.60,0,0,0
TLC,20070403,65.43,70.01,63.00,67.77,14700,70.00,74.90,67.40,72.50,0,0,0
TLC,20070404,67.02,72.72,67.02,69.64,14300,71.70,77.80,71.70,74.50,0,0,0
TLC,20070405,71.04,71.04,66.37,68.05,10000,76.00,76.00,71.00,72.80,0,0,0
TLC,20070406,68.05,68.05,66.83,67.30,17000,72.80,72.80,71.50,72.00,0,0,0
TLC,20070409,69.17,69.17,62.16,67.30,11600,74.00,74.00,66.50,72.00,0,0,0
TLC,20070410,67.77,67.77,65.43,66.37,15800,72.50,72.50,70.00,71.00,0,0,0
TLC,20070411,67.30,67.30,66.37,66.37,19300,72.00,72.00,71.00,71.00,0,0,0
TLC,20070412,66.37,66.37,63.66,64.03,10600,71.00,71.00,68.10,68.50,0,0,0
TLC,20070413,62.63,63.47,62.16,62.63,10100,67.00,67.90,66.50,67.00,0,0,0
TLC,20070416,61.70,61.70,57.49,57.95,16600,66.00,66.00,61.50,62.00,0,0,0
TLC,20070417,56.08,57.02,54.21,57.02,29000,60.00,61.00,58.00,61.00,0,0,0
TLC,20070418,58.89,61.41,56.09,61.41,20500,63.00,65.70,60.00,65.70,0,0,0
TLC,20070419,60.48,64.40,58.89,58.89,28800,64.70,68.90,63.00,63.00,0,0,0
