<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TNG,20071122,12.71,13.92,12.15,12.52,29400,68.00,74.50,65.00,67.00,28400,0,0
TNG,20071123,12.33,12.33,11.94,11.94,800,66.00,66.00,63.90,63.90,0,0,0
TNG,20071126,10.93,10.93,10.93,10.93,1500,58.50,58.50,58.50,58.50,0,0,0
TNG,20071127,9.85,10.74,9.85,10.09,69000,52.70,57.50,52.70,54.00,0,0,0
TNG,20071128,9.73,9.90,9.38,9.71,28100,52.10,53.00,50.20,52.00,7000,0,0
TNG,20071129,9.71,10.08,9.43,9.60,45700,52.00,54.00,50.50,51.40,0,0,0
TNG,20071130,9.71,9.71,9.15,9.15,46900,52.00,52.00,49.00,49.00,0,0,0
TNG,20071203,9.52,10.31,9.34,10.31,229300,51.00,55.20,50.00,55.20,0,1000,0
TNG,20071204,11.09,11.09,10.27,11.10,227000,59.40,59.40,55.00,59.40,0,2000,0
TNG,20071205,12.18,12.18,10.56,11.96,192600,65.20,65.20,56.50,64.00,0,0,0
TNG,20071206,11.59,12.15,11.59,12.05,82600,62.00,65.00,62.00,64.50,0,100,0
TNG,20071207,11.94,12.14,11.12,11.58,158500,63.90,65.00,59.50,62.00,0,0,0
TNG,20071210,11.77,11.77,10.74,10.93,81600,63.00,63.00,57.50,58.50,73600,1000,2000
TNG,20071211,10.86,10.86,10.28,10.48,50200,58.10,58.10,55.00,56.10,0,300,0
TNG,20071212,10.65,11.21,10.46,10.46,69200,57.00,60.00,56.00,56.00,0,0,0
TNG,20071213,11.04,11.04,10.55,10.69,19400,59.10,59.10,56.50,57.20,0,100,0
TNG,20071214,10.67,10.82,10.35,10.65,22600,57.10,57.90,55.40,57.00,0,0,0
TNG,20071217,10.65,10.65,9.90,9.94,31900,57.00,57.00,53.00,53.20,0,0,0
TNG,20071218,10.00,10.44,9.72,10.27,42800,53.50,55.90,52.00,55.00,0,0,0
TNG,20071219,10.46,11.00,10.46,10.82,42900,56.00,58.90,56.00,57.90,128200,0,0
TNG,20071220,10.65,10.75,9.92,10.35,26200,57.00,57.50,53.10,55.40,0,500,0
TNG,20071221,10.46,10.74,10.28,10.42,30200,56.00,57.50,55.00,55.80,0,0,0
TNG,20071224,10.46,10.55,10.31,10.37,26900,56.00,56.50,55.20,55.50,0,0,0
TNG,20071225,10.28,10.35,10.13,10.29,15300,55.00,55.40,54.20,55.10,27700,0,0
TNG,20071226,10.08,10.46,10.08,10.27,22000,54.00,56.00,54.00,55.00,0,0,0
TNG,20071227,10.53,10.53,10.36,10.37,10800,56.40,56.40,55.50,55.50,0,0,0
TNG,20071228,10.37,10.43,10.18,10.27,22200,55.50,55.80,54.50,55.00,0,200,0
TNG,20080102,10.33,10.33,9.90,9.90,18900,55.30,55.30,53.00,53.00,0,0,0
TNG,20080103,11.00,11.00,9.71,9.81,13900,58.90,58.90,52.00,52.50,0,0,0
TNG,20080104,9.53,9.74,9.45,9.53,13500,51.00,52.10,50.60,51.00,0,0,0
TNG,20080107,9.25,9.25,9.06,9.15,25800,49.50,49.50,48.50,49.00,0,0,0
TNG,20080108,8.59,9.34,8.40,8.59,57800,46.00,50.00,45.00,46.00,0,0,0
TNG,20080109,8.78,8.78,8.31,8.41,58600,47.00,47.00,44.50,45.00,0,200,0
TNG,20080110,8.52,8.52,7.68,7.90,50900,45.60,45.60,41.10,42.30,0,0,0
TNG,20080111,8.22,8.39,7.79,7.85,39600,44.00,44.90,41.70,42.00,0,500,0
TNG,20080114,7.59,7.59,7.16,7.19,42300,40.60,40.60,38.30,38.50,0,0,0
TNG,20080115,7.00,7.00,6.57,6.61,63500,37.50,37.50,35.20,35.40,0,0,0
TNG,20080116,6.82,7.24,6.82,7.25,24100,36.50,38.80,36.50,38.80,0,0,0
TNG,20080117,7.94,7.94,6.91,7.66,90500,42.50,42.50,37.00,41.00,0,100,0
TNG,20080118,7.47,7.94,7.19,7.75,49600,40.00,42.50,38.50,41.50,0,0,0
TNG,20080121,7.56,8.03,7.28,7.75,29500,40.50,43.00,39.00,41.50,6800,100,0
TNG,20080122,7.30,7.64,7.19,7.55,39400,39.10,40.90,38.50,40.40,0,0,0
TNG,20080123,7.38,7.48,6.91,7.29,39200,39.50,40.00,37.00,39.00,0,0,0
TNG,20080124,7.46,7.50,6.93,7.10,27800,39.90,40.10,37.10,38.00,0,0,0
TNG,20080125,7.10,7.32,7.10,7.23,26100,38.00,39.20,38.00,38.70,0,0,0
TNG,20080128,7.29,7.29,7.01,7.01,6300,39.00,39.00,37.50,37.50,0,0,0
TNG,20080129,7.27,7.31,7.08,7.30,42400,38.90,39.10,37.90,39.10,0,0,0
TNG,20080130,7.47,7.93,7.47,7.94,59900,40.00,42.50,40.00,42.50,0,0,0
TNG,20080131,8.22,8.41,7.57,8.03,68800,44.00,45.00,40.50,43.00,0,0,0
TNG,20080201,8.22,8.40,8.03,8.37,41900,44.00,45.00,43.00,44.80,0,100,0
TNG,20080212,7.85,8.03,7.47,8.00,36500,42.00,43.00,40.00,42.80,0,0,0
TNG,20080213,8.04,8.04,7.51,7.60,20100,43.00,43.00,40.20,40.70,0,0,0
TNG,20080214,7.75,7.97,7.66,7.66,17600,41.50,42.70,41.00,41.00,0,0,0
TNG,20080215,7.53,7.66,7.29,7.45,19600,40.30,41.00,39.00,39.90,0,0,0
TNG,20080218,7.28,7.28,6.67,7.02,24100,39.00,39.00,35.70,37.60,0,0,0
TNG,20080219,6.81,7.36,6.53,7.04,32900,36.50,39.40,35.00,37.70,0,0,0
TNG,20080220,7.10,7.19,6.42,6.43,33800,38.00,38.50,34.40,34.40,0,0,0
TNG,20080221,6.17,6.17,6.00,6.00,25600,33.00,33.00,32.10,32.10,0,0,0
TNG,20080222,5.61,6.45,5.42,5.90,38800,30.00,34.50,29.00,31.60,0,0,0
TNG,20080225,5.41,6.25,5.41,6.26,22500,29.00,33.50,29.00,33.50,0,0,0
TNG,20080226,6.35,6.56,5.61,5.62,33100,34.00,35.10,30.00,30.10,0,0,0
TNG,20080227,5.79,6.16,5.60,5.60,33900,31.00,33.00,30.00,30.00,0,0,0
TNG,20080228,5.82,5.88,5.58,5.70,10800,31.20,31.50,29.90,30.50,0,0,0
TNG,20080229,5.51,5.61,5.42,5.42,23600,29.50,30.00,29.00,29.00,0,0,0
TNG,20080303,5.44,5.51,4.90,5.04,37100,29.10,29.50,26.20,27.00,100000,0,0
TNG,20080304,4.67,4.69,4.57,4.58,19300,25.00,25.10,24.50,24.50,0,0,0
TNG,20080305,4.21,4.58,4.15,4.22,64400,22.50,24.50,22.20,22.60,0,0,0
TNG,20080306,4.61,4.61,4.61,4.61,1300,24.70,24.70,24.70,24.70,0,0,0
TNG,20080307,5.06,5.06,5.06,5.06,6700,27.10,27.10,27.10,27.10,0,0,0
TNG,20080310,5.56,5.56,5.08,5.34,86600,29.80,29.80,27.20,28.60,0,0,0
TNG,20080311,5.58,5.58,5.04,5.14,41800,29.90,29.90,27.00,27.50,0,0,0
TNG,20080312,5.18,5.66,5.18,5.66,51800,27.70,30.30,27.70,30.30,0,0,0
TNG,20080313,5.98,5.98,5.42,5.79,49600,32.00,32.00,29.00,31.00,0,1000,0
TNG,20080314,5.42,5.70,5.42,5.64,27800,29.00,30.50,29.00,30.20,0,0,0
TNG,20080317,5.60,5.60,5.14,5.23,30900,30.00,30.00,27.50,28.00,0,0,0
TNG,20080318,5.23,5.23,4.71,4.74,38700,26.40,26.40,23.80,23.90,0,0,0
TNG,20080319,5.16,5.20,4.56,4.85,22800,26.00,26.20,23.00,24.50,0,0,0
TNG,20080320,4.75,5.21,4.55,4.89,20300,24.00,26.30,23.00,24.70,0,0,0
TNG,20080321,4.79,4.79,4.36,4.48,9100,24.20,24.20,22.00,22.60,0,0,0
TNG,20080324,4.12,4.38,4.10,4.10,21000,20.80,22.10,20.70,20.70,0,100,0
TNG,20080325,3.70,4.10,3.70,3.71,32900,18.70,20.70,18.70,18.70,0,0,0
TNG,20080326,3.37,4.07,3.37,3.88,27700,17.00,20.50,17.00,19.60,0,0,0
TNG,20080327,3.90,3.96,3.90,3.96,7500,19.70,20.00,19.70,20.00,0,0,0
TNG,20080328,4.00,4.00,4.00,4.00,1000,20.20,20.20,20.20,20.20,0,0,0
TNG,20080331,4.08,4.08,4.08,4.08,3200,20.60,20.60,20.60,20.60,0,0,0
TNG,20080401,4.16,4.16,4.16,4.16,300,21.00,21.00,21.00,21.00,0,0,0
TNG,20080402,4.24,4.24,4.24,4.24,100,21.40,21.40,21.40,21.40,0,0,0
TNG,20080403,4.32,4.32,4.32,4.32,100,21.80,21.80,21.80,21.80,0,0,0
TNG,20080404,4.40,4.40,4.40,4.40,200,22.20,22.20,22.20,22.20,0,0,0
TNG,20080407,4.52,4.52,4.52,4.52,8500,22.80,22.80,22.80,22.80,0,0,0
TNG,20080408,4.64,4.64,4.40,4.42,94500,23.40,23.40,22.20,22.30,0,0,0
TNG,20080409,4.36,4.36,4.36,4.36,2500,22.00,22.00,22.00,22.00,0,100,0
TNG,20080410,4.24,4.24,4.24,4.24,100,21.40,21.40,21.40,21.40,0,0,0
TNG,20080411,4.12,4.12,4.12,4.12,2500,20.80,20.80,20.80,20.80,0,0,0
TNG,20080416,4.00,4.00,4.00,4.00,400,20.20,20.20,20.20,20.20,0,0,0
TNG,20080417,3.88,4.12,3.88,4.10,58300,19.60,20.80,19.60,20.70,0,0,0
TNG,20080418,4.06,4.06,3.88,3.88,34800,20.50,20.50,19.60,19.60,0,100,0
TNG,20080421,3.86,3.86,3.82,3.82,8700,19.50,19.50,19.30,19.30,0,0,0
