<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
^BFX,20041011,2752.19,2761.63,2751.97,2759.16,5107000,2752.19,2761.63,2751.97,2759.16,0,0,0
^BFX,20041012,2754.13,2756.64,2720.31,2730.99,5117200,2754.13,2756.64,2720.31,2730.99,0,0,0
^BFX,20041013,2739.43,2759.91,2739.43,2752.51,6934200,2739.43,2759.91,2739.43,2752.51,0,0,0
^BFX,20041014,2742.51,2754.89,2736.88,2747.63,6883200,2742.51,2754.89,2736.88,2747.63,0,0,0
^BFX,20041015,2741.66,2746.60,2731.14,2743.56,5425000,2741.66,2746.60,2731.14,2743.56,0,0,0
^BFX,20041018,2743.13,2753.85,2735.36,2752.82,4643400,2743.13,2753.85,2735.36,2752.82,0,0,0
^BFX,20041019,2758.63,2777.96,2758.63,2768.28,6252000,2758.63,2777.96,2758.63,2768.28,0,0,0
^BFX,20041020,2760.72,2760.72,2747.00,2755.79,6939200,2760.72,2760.72,2747.00,2755.79,0,0,0
^BFX,20041021,2760.13,2765.05,2744.92,2764.12,5412400,2760.13,2765.05,2744.92,2764.12,0,0,0
^BFX,20041022,2760.34,2772.17,2758.23,2765.87,4885400,2760.34,2772.17,2758.23,2765.87,0,0,0
^BFX,20041025,2741.34,2741.37,2727.62,2730.58,5059600,2741.34,2741.37,2727.62,2730.58,0,0,0
^BFX,20041026,2732.68,2737.74,2725.02,2732.29,5430000,2732.68,2737.74,2725.02,2732.29,0,0,0
^BFX,20041027,2740.24,2758.92,2736.20,2758.92,4923200,2740.24,2758.92,2736.20,2758.92,0,0,0
^BFX,20041028,2764.27,2785.91,2763.04,2785.85,7757400,2764.27,2785.91,2763.04,2785.85,0,0,0
^BFX,20041029,2780.39,2792.62,2779.52,2785.45,6119600,2780.39,2792.62,2779.52,2785.45,0,0,0
^BFX,20041101,2783.30,2809.98,2780.86,2808.60,4039600,2783.30,2809.98,2780.86,2808.60,0,0,0
^BFX,20041102,2809.85,2828.11,2809.85,2828.11,6632400,2809.85,2828.11,2809.85,2828.11,0,0,0
^BFX,20041103,2833.70,2843.78,2831.12,2840.46,8118600,2833.70,2843.78,2831.12,2840.46,0,0,0
^BFX,20041104,2846.24,2846.24,2813.08,2827.60,6663000,2846.24,2846.24,2813.08,2827.60,0,0,0
^BFX,20041105,2841.92,2852.96,2836.12,2838.99,7635400,2841.92,2852.96,2836.12,2838.99,0,0,0
^BFX,20041108,2846.35,2846.35,2820.88,2829.92,5305400,2846.35,2846.35,2820.88,2829.92,0,0,0
^BFX,20041109,2823.57,2833.70,2818.84,2833.70,6258400,2823.57,2833.70,2818.84,2833.70,0,0,0
^BFX,20041110,2839.90,2853.27,2838.49,2849.76,8083800,2839.90,2853.27,2838.49,2849.76,0,0,0
^BFX,20041111,2852.61,2872.31,2847.23,2870.68,4730600,2852.61,2872.31,2847.23,2870.68,0,0,0
^BFX,20041112,2874.06,2874.06,2861.06,2862.31,6270200,2874.06,2874.06,2861.06,2862.31,0,0,0
^BFX,20041115,2864.62,2868.39,2851.35,2851.35,6089800,2864.62,2868.39,2851.35,2851.35,0,0,0
^BFX,20041116,2853.66,2854.19,2825.92,2830.50,6720800,2853.66,2854.19,2825.92,2830.50,0,0,0
^BFX,20041117,2828.48,2841.07,2816.63,2841.07,8095600,2828.48,2841.07,2816.63,2841.07,0,0,0
^BFX,20041118,2832.05,2848.67,2828.85,2840.99,10889600,2832.05,2848.67,2828.85,2840.99,0,0,0
^BFX,20041119,2839.41,2879.95,2839.41,2862.40,17849600,2839.41,2879.95,2839.41,2862.40,0,0,0
^BFX,20041122,2858.61,2866.61,2853.48,2861.53,9535600,2858.61,2866.61,2853.48,2861.53,0,0,0
^BFX,20041123,2868.95,2881.54,2858.85,2858.96,9944000,2868.95,2881.54,2858.85,2858.96,0,0,0
^BFX,20041124,2875.98,2883.15,2866.34,2872.25,8578800,2875.98,2883.15,2866.34,2872.25,0,0,0
^BFX,20041125,2873.34,2883.45,2865.77,2875.47,6768600,2873.34,2883.45,2865.77,2875.47,0,0,0
^BFX,20041126,2870.60,2881.56,2863.09,2881.38,4802400,2870.60,2881.56,2863.09,2881.38,0,0,0
^BFX,20041129,2870.49,2890.26,2866.86,2866.86,5498600,2870.49,2890.26,2866.86,2866.86,0,0,0
^BFX,20041130,2869.03,2869.23,2845.36,2850.95,7789200,2869.03,2869.23,2845.36,2850.95,0,0,0
^BFX,20041201,2852.50,2885.98,2848.42,2885.98,7765000,2852.50,2885.98,2848.42,2885.98,0,0,0
^BFX,20041202,2888.29,2908.47,2887.31,2905.45,6968000,2888.29,2908.47,2887.31,2905.45,0,0,0
^BFX,20041203,2904.82,2910.08,2886.87,2895.06,5615400,2904.82,2910.08,2886.87,2895.06,0,0,0
^BFX,20041206,2883.76,2897.56,2874.01,2894.61,4762200,2883.76,2897.56,2874.01,2894.61,0,0,0
^BFX,20041207,2892.45,2918.15,2891.65,2911.20,6273800,2892.45,2918.15,2891.65,2911.20,0,0,0
^BFX,20041208,2899.28,2914.80,2896.60,2906.39,7335000,2899.28,2914.80,2896.60,2906.39,0,0,0
^BFX,20041209,2901.50,2909.07,2886.76,2897.95,5475600,2901.50,2909.07,2886.76,2897.95,0,0,0
^BFX,20041210,2902.63,2906.34,2890.89,2901.00,7537000,2902.63,2906.34,2890.89,2901.00,0,0,0
^BFX,20041213,2899.50,2921.98,2897.33,2921.98,5825600,2899.50,2921.98,2897.33,2921.98,0,0,0
^BFX,20041214,2925.62,2927.79,2920.33,2926.39,5367400,2925.62,2927.79,2920.33,2926.39,0,0,0
^BFX,20041215,2925.90,2931.67,2922.68,2927.36,7335600,2925.90,2931.67,2922.68,2927.36,0,0,0
^BFX,20041216,2928.36,2937.72,2924.35,2933.60,7499800,2928.36,2937.72,2924.35,2933.60,0,0,0
^BFX,20041217,2937.26,2937.44,2913.94,2915.31,9539200,2937.26,2937.44,2913.94,2915.31,0,0,0
^BFX,20041220,2912.04,2928.41,2912.04,2922.30,7157400,2912.04,2928.41,2912.04,2922.30,0,0,0
^BFX,20041221,2920.35,2931.48,2907.43,2931.48,5970200,2920.35,2931.48,2907.43,2931.48,0,0,0
^BFX,20041222,2934.09,2956.35,2931.91,2950.10,6329800,2934.09,2956.35,2931.91,2950.10,0,0,0
^BFX,20041223,2953.61,2956.90,2936.77,2944.85,8887000,2953.61,2956.90,2936.77,2944.85,0,0,0
^BFX,20041224,2942.03,2949.71,2937.85,2940.38,1756200,2942.03,2949.71,2937.85,2940.38,0,0,0
^BFX,20041227,2936.36,2946.32,2934.79,2943.77,3031800,2936.36,2946.32,2934.79,2943.77,0,0,0
^BFX,20041228,2939.38,2943.98,2930.44,2938.30,3197000,2939.38,2943.98,2930.44,2938.30,0,0,0
^BFX,20041229,2937.63,2941.98,2928.73,2933.34,2993600,2937.63,2941.98,2928.73,2933.34,0,0,0
^BFX,20041230,2934.53,2936.04,2928.06,2933.72,2077600,2934.53,2936.04,2928.06,2933.72,0,0,0
^BFX,20041231,2937.03,2937.17,2928.45,2932.62,1308600,2937.03,2937.17,2928.45,2932.62,0,0,0
^BFX,20050103,2936.46,2971.75,2934.70,2969.36,4662800,2936.46,2971.75,2934.70,2969.36,0,0,0
