<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
^CAOSU,20120103,356.49,357.53,345.98,346.49,310320,356.49,357.53,345.98,346.49,0,0,0
^CAOSU,20120104,339.14,346.03,338.63,345.59,306350,339.14,346.03,338.63,345.59,0,0,0
^CAOSU,20120105,341.11,344.23,334.24,339.83,249370,341.11,344.23,334.24,339.83,0,0,0
^CAOSU,20120106,343.32,348.59,337.13,344.58,284360,343.32,348.59,337.13,344.58,0,0,0
^CAOSU,20120109,345.86,347.60,343.45,344.96,335910,345.86,347.60,343.45,344.96,0,0,0
^CAOSU,20120110,337.30,345.01,336.95,342.39,380890,337.30,345.01,336.95,342.39,0,0,0
^CAOSU,20120111,342.80,348.04,338.40,344.73,398830,342.80,348.04,338.40,344.73,0,0,0
^CAOSU,20120112,342.41,344.41,335.90,342.66,162830,342.41,344.41,335.90,342.66,0,0,0
^CAOSU,20120113,347.35,352.37,342.51,347.31,252750,347.35,352.37,342.51,347.31,0,0,0
^CAOSU,20120116,351.99,356.54,348.45,352.91,299940,351.99,356.54,348.45,352.91,0,0,0
^CAOSU,20120117,351.08,351.77,349.32,349.92,377930,351.08,351.77,349.32,349.92,0,0,0
^CAOSU,20120118,347.84,353.20,346.08,351.90,170730,347.84,353.20,346.08,351.90,0,0,0
^CAOSU,20120119,353.92,356.83,353.65,356.49,397720,353.92,356.83,353.65,356.49,0,0,0
^CAOSU,20120120,357.73,362.34,350.11,360.62,311040,357.73,362.34,350.11,360.62,0,0,0
^CAOSU,20120130,361.89,372.35,361.02,371.99,327140,361.89,372.35,361.02,371.99,0,0,0
^CAOSU,20120131,375.99,377.91,369.77,374.31,682960,375.99,377.91,369.77,374.31,0,0,0
^CAOSU,20120201,377.63,380.24,368.91,374.67,857870,377.63,380.24,368.91,374.67,0,0,0
^CAOSU,20120202,376.32,382.87,374.18,382.86,1098260,376.32,382.87,374.18,382.86,0,0,0
^CAOSU,20120203,388.65,389.65,378.18,379.35,1393300,388.65,389.65,378.18,379.35,0,0,0
^CAOSU,20120206,373.10,378.49,365.97,369.34,618490,373.10,378.49,365.97,369.34,0,0,0
^CAOSU,20120207,369.05,373.19,366.85,369.42,898450,369.05,373.19,366.85,369.42,0,0,0
^CAOSU,20120208,380.83,383.26,374.52,377.69,890310,380.83,383.26,374.52,377.69,0,0,0
^CAOSU,20120209,378.52,380.82,373.57,376.33,893330,378.52,380.82,373.57,376.33,0,0,0
^CAOSU,20120210,374.43,381.57,371.39,373.28,677290,374.43,381.57,371.39,373.28,0,0,0
^CAOSU,20120213,377.82,378.06,371.10,373.50,447610,377.82,378.06,371.10,373.50,0,0,0
^CAOSU,20120214,379.17,382.93,370.85,374.73,741570,379.17,382.93,370.85,374.73,0,0,0
^CAOSU,20120215,369.96,372.84,367.73,370.74,1014910,369.96,372.84,367.73,370.74,0,0,0
^CAOSU,20120216,364.82,375.04,361.10,364.89,568630,364.82,375.04,361.10,364.89,0,0,0
^CAOSU,20120217,367.37,371.18,366.55,370.71,824950,367.37,371.18,366.55,370.71,0,0,0
^CAOSU,20120220,373.40,378.97,372.91,378.07,969070,373.40,378.97,372.91,378.07,0,0,0
^CAOSU,20120221,386.22,387.53,377.89,381.30,1578670,386.22,387.53,377.89,381.30,0,0,0
^CAOSU,20120222,383.15,387.25,376.94,386.31,1252030,383.15,387.25,376.94,386.31,0,0,0
^CAOSU,20120223,386.49,390.37,383.39,387.91,1147420,386.49,390.37,383.39,387.91,0,0,0
^CAOSU,20120224,389.18,393.74,381.58,384.22,2052050,389.18,393.74,381.58,384.22,0,0,0
^CAOSU,20120227,387.96,394.21,383.44,389.60,1447820,387.96,394.21,383.44,389.60,0,0,0
^CAOSU,20120228,392.52,394.34,372.90,377.44,1229850,392.52,394.34,372.90,377.44,0,0,0
^CAOSU,20120229,376.89,384.11,370.52,383.02,1090470,376.89,384.11,370.52,383.02,0,0,0
^CAOSU,20120301,381.38,387.12,375.20,377.65,1511190,381.38,387.12,375.20,377.65,0,0,0
^CAOSU,20120302,381.53,385.58,373.66,382.50,1632860,381.53,385.58,373.66,382.50,0,0,0
^CAOSU,20120305,390.54,399.23,389.87,399.32,1386120,390.54,399.23,389.87,399.32,0,0,0
^CAOSU,20120306,412.66,412.83,383.94,388.60,3550260,412.66,412.83,383.94,388.60,0,0,0
^CAOSU,20120307,388.58,397.56,382.36,392.76,2095820,388.58,397.56,382.36,392.76,0,0,0
^CAOSU,20120308,389.93,398.81,382.79,389.63,1393670,389.93,398.81,382.79,389.63,0,0,0
^CAOSU,20120309,386.90,399.87,383.99,397.65,1342000,386.90,399.87,383.99,397.65,0,0,0
^CAOSU,20120312,390.59,403.92,389.85,390.59,918650,390.59,403.92,389.85,390.59,0,0,0
^CAOSU,20120313,392.42,397.46,391.57,394.17,1483550,392.42,397.46,391.57,394.17,0,0,0
^CAOSU,20120314,394.36,401.05,392.43,394.87,1835420,394.36,401.05,392.43,394.87,0,0,0
^CAOSU,20120315,394.69,403.53,387.03,402.07,1374140,394.69,403.53,387.03,402.07,0,0,0
^CAOSU,20120316,403.38,409.10,400.28,403.39,1607920,403.38,409.10,400.28,403.39,0,0,0
^CAOSU,20120319,392.50,403.21,391.80,393.10,951670,392.50,403.21,391.80,393.10,0,0,0
^CAOSU,20120320,396.15,402.51,389.58,401.82,1189270,396.15,402.51,389.58,401.82,0,0,0
