<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
^DAUKHI,20120103,347.35,353.35,341.95,348.16,3277920,347.35,353.35,341.95,348.16,0,0,0
^DAUKHI,20120104,343.83,346.98,335.91,337.35,4294940,343.83,346.98,335.91,337.35,0,0,0
^DAUKHI,20120105,335.49,337.73,328.21,332.27,4572910,335.49,337.73,328.21,332.27,0,0,0
^DAUKHI,20120106,331.96,333.58,323.53,327.13,3673870,331.96,333.58,323.53,327.13,0,0,0
^DAUKHI,20120109,323.36,329.90,319.34,323.65,3733750,323.36,329.90,319.34,323.65,0,0,0
^DAUKHI,20120110,322.35,333.90,320.17,332.81,4992710,322.35,333.90,320.17,332.81,0,0,0
^DAUKHI,20120111,334.99,340.36,328.30,331.11,4483050,334.99,340.36,328.30,331.11,0,0,0
^DAUKHI,20120112,330.40,334.24,325.52,329.66,2560580,330.40,334.24,325.52,329.66,0,0,0
^DAUKHI,20120113,330.43,336.01,327.33,335.13,3281070,330.43,336.01,327.33,335.13,0,0,0
^DAUKHI,20120116,334.70,341.62,332.18,337.06,4402430,334.70,341.62,332.18,337.06,0,0,0
^DAUKHI,20120117,333.83,340.60,330.23,335.20,3632350,333.83,340.60,330.23,335.20,0,0,0
^DAUKHI,20120118,337.36,341.05,333.68,336.95,2074270,337.36,341.05,333.68,336.95,0,0,0
^DAUKHI,20120119,337.65,349.10,335.49,348.83,4579200,337.65,349.10,335.49,348.83,0,0,0
^DAUKHI,20120120,352.71,356.60,345.62,351.52,5199390,352.71,356.60,345.62,351.52,0,0,0
^DAUKHI,20120130,355.20,365.01,349.39,362.10,3474660,355.20,365.01,349.39,362.10,0,0,0
^DAUKHI,20120131,372.72,377.49,366.16,372.68,9809270,372.72,377.49,366.16,372.68,0,0,0
^DAUKHI,20120201,375.18,381.82,366.48,378.32,8533020,375.18,381.82,366.48,378.32,0,0,0
^DAUKHI,20120202,388.38,392.67,381.00,391.54,6356660,388.38,392.67,381.00,391.54,0,0,0
^DAUKHI,20120203,402.28,403.08,386.27,392.67,13827980,402.28,403.08,386.27,392.67,0,0,0
^DAUKHI,20120206,390.86,397.70,377.67,389.65,8450650,390.86,397.70,377.67,389.65,0,0,0
^DAUKHI,20120207,391.10,399.34,382.15,394.01,9111390,391.10,399.34,382.15,394.01,0,0,0
^DAUKHI,20120208,393.74,405.23,390.07,403.92,10244550,393.74,405.23,390.07,403.92,0,0,0
^DAUKHI,20120209,403.65,409.86,396.27,402.22,10647790,403.65,409.86,396.27,402.22,0,0,0
^DAUKHI,20120210,398.58,401.48,388.60,390.44,9184840,398.58,401.48,388.60,390.44,0,0,0
^DAUKHI,20120213,384.36,388.53,377.89,379.73,8072950,384.36,388.53,377.89,379.73,0,0,0
^DAUKHI,20120214,375.64,387.87,375.24,386.47,7248930,375.64,387.87,375.24,386.47,0,0,0
^DAUKHI,20120215,386.07,390.27,375.46,379.63,8652110,386.07,390.27,375.46,379.63,0,0,0
^DAUKHI,20120216,377.36,386.88,374.27,380.32,6122480,377.36,386.88,374.27,380.32,0,0,0
^DAUKHI,20120217,384.65,392.07,380.89,388.97,8632770,384.65,392.07,380.89,388.97,0,0,0
