<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
^GIAODUC,20120103,350.53,354.62,342.03,345.81,103350,350.53,354.62,342.03,345.81,0,0,0
^GIAODUC,20120104,348.23,351.83,345.92,349.61,137950,348.23,351.83,345.92,349.61,0,0,0
^GIAODUC,20120105,346.01,347.29,340.96,342.15,58400,346.01,347.29,340.96,342.15,0,0,0
^GIAODUC,20120106,343.24,344.40,339.98,341.80,78300,343.24,344.40,339.98,341.80,0,0,0
^GIAODUC,20120109,342.13,347.43,339.69,347.14,61050,342.13,347.43,339.69,347.14,0,0,0
^GIAODUC,20120110,347.07,356.43,342.56,353.60,142650,347.07,356.43,342.56,353.60,0,0,0
^GIAODUC,20120111,357.69,359.85,352.70,357.08,87960,357.69,359.85,352.70,357.08,0,0,0
^GIAODUC,20120112,359.28,359.87,356.49,359.17,67910,359.28,359.87,356.49,359.17,0,0,0
^GIAODUC,20120113,359.92,365.47,356.91,363.40,79800,359.92,365.47,356.91,363.40,0,0,0
^GIAODUC,20120116,356.60,360.81,354.99,358.27,122250,356.60,360.81,354.99,358.27,0,0,0
^GIAODUC,20120117,361.91,363.46,357.17,358.77,92310,361.91,363.46,357.17,358.77,0,0,0
^GIAODUC,20120118,362.10,364.95,359.38,362.14,78220,362.10,364.95,359.38,362.14,0,0,0
^GIAODUC,20120119,364.34,367.08,361.72,365.13,132800,364.34,367.08,361.72,365.13,0,0,0
^GIAODUC,20120120,373.84,377.86,368.31,374.71,145430,373.84,377.86,368.31,374.71,0,0,0
^GIAODUC,20120130,380.69,384.48,373.27,374.01,35040,380.69,384.48,373.27,374.01,0,0,0
^GIAODUC,20120131,383.49,384.70,376.81,378.23,114190,383.49,384.70,376.81,378.23,0,0,0
^GIAODUC,20120201,373.77,379.88,368.31,372.44,99740,373.77,379.88,368.31,372.44,0,0,0
^GIAODUC,20120202,379.55,384.03,371.40,378.13,166710,379.55,384.03,371.40,378.13,0,0,0
^GIAODUC,20120203,384.04,385.82,369.97,371.75,182380,384.04,385.82,369.97,371.75,0,0,0
^GIAODUC,20120206,373.79,381.43,370.83,375.89,96980,373.79,381.43,370.83,375.89,0,0,0
^GIAODUC,20120207,376.97,380.90,371.05,375.71,99600,376.97,380.90,371.05,375.71,0,0,0
^GIAODUC,20120208,377.62,384.96,375.99,382.37,182690,377.62,384.96,375.99,382.37,0,0,0
^GIAODUC,20120209,379.25,382.94,376.42,377.92,153750,379.25,382.94,376.42,377.92,0,0,0
^GIAODUC,20120210,373.90,378.62,367.44,372.82,144330,373.90,378.62,367.44,372.82,0,0,0
^GIAODUC,20120213,371.64,374.77,362.27,364.83,62110,371.64,374.77,362.27,364.83,0,0,0
^GIAODUC,20120214,366.37,370.92,364.43,369.79,87800,366.37,370.92,364.43,369.79,0,0,0
^GIAODUC,20120215,368.63,371.80,366.67,369.52,308720,368.63,371.80,366.67,369.52,0,0,0
^GIAODUC,20120216,374.22,375.48,368.58,373.23,168800,374.22,375.48,368.58,373.23,0,0,0
^GIAODUC,20120217,378.65,381.19,371.36,375.02,124670,378.65,381.19,371.36,375.02,0,0,0
^GIAODUC,20120220,377.07,385.63,373.70,383.44,445140,377.07,385.63,373.70,383.44,0,0,0
^GIAODUC,20120221,386.62,387.82,377.86,381.32,253450,386.62,387.82,377.86,381.32,0,0,0
^GIAODUC,20120222,383.43,392.41,380.68,390.12,313950,383.43,392.41,380.68,390.12,0,0,0
^GIAODUC,20120223,391.14,394.19,384.10,392.96,507220,391.14,394.19,384.10,392.96,0,0,0
^GIAODUC,20120224,393.90,398.82,387.20,391.52,422030,393.90,398.82,387.20,391.52,0,0,0
^GIAODUC,20120227,395.00,401.19,391.02,398.54,358770,395.00,401.19,391.02,398.54,0,0,0
^GIAODUC,20120228,395.04,396.31,381.66,384.08,334170,395.04,396.31,381.66,384.08,0,0,0
^GIAODUC,20120229,389.80,394.70,384.25,392.80,337250,389.80,394.70,384.25,392.80,0,0,0
^GIAODUC,20120301,392.69,395.88,385.45,389.51,348220,392.69,395.88,385.45,389.51,0,0,0
^GIAODUC,20120302,390.76,399.26,386.07,396.75,404020,390.76,399.26,386.07,396.75,0,0,0
^GIAODUC,20120305,408.81,417.25,404.89,416.99,547710,408.81,417.25,404.89,416.99,0,0,0
^GIAODUC,20120306,425.03,431.00,404.77,410.69,543830,425.03,431.00,404.77,410.69,0,0,0
^GIAODUC,20120307,407.80,415.76,401.88,412.18,354780,407.80,415.76,401.88,412.18,0,0,0
^GIAODUC,20120308,409.45,415.61,397.61,403.06,369820,409.45,415.61,397.61,403.06,0,0,0
^GIAODUC,20120309,404.56,405.76,394.87,398.76,387270,404.56,405.76,394.87,398.76,0,0,0
^GIAODUC,20120312,401.84,404.30,391.78,396.39,210940,401.84,404.30,391.78,396.39,0,0,0
^GIAODUC,20120313,401.86,405.72,399.05,400.54,159240,401.86,405.72,399.05,400.54,0,0,0
^GIAODUC,20120314,407.81,411.86,398.82,406.41,317230,407.81,411.86,398.82,406.41,0,0,0
^GIAODUC,20120315,406.49,414.26,402.56,411.18,248400,406.49,414.26,402.56,411.18,0,0,0
^GIAODUC,20120316,417.95,422.52,407.56,412.67,315210,417.95,422.52,407.56,412.67,0,0,0
^GIAODUC,20120319,419.42,423.02,410.41,415.44,128220,419.42,423.02,410.41,415.44,0,0,0
^GIAODUC,20120320,415.35,421.96,408.65,418.50,338970,415.35,421.96,408.65,418.50,0,0,0
^GIAODUC,20120321,423.02,427.92,415.89,420.73,316430,423.02,427.92,415.89,420.73,0,0,0
^GIAODUC,20120322,420.55,424.37,417.06,421.91,202450,420.55,424.37,417.06,421.91,0,0,0
^GIAODUC,20120323,423.78,434.58,420.29,432.02,386400,423.78,434.58,420.29,432.02,0,0,0
^GIAODUC,20120326,434.12,443.70,430.31,442.18,760340,434.12,443.70,430.31,442.18,0,0,0
