<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
^KLSE,19980428,635.12,635.12,616.85,620.79,39453400,635.12,635.12,616.85,620.79,0,0,0
^KLSE,19980429,621.29,627.76,617.91,622.83,43126000,621.29,627.76,617.91,622.83,0,0,0
^KLSE,19980430,621.92,625.97,617.28,625.97,51307200,621.92,625.97,617.28,625.97,0,0,0
^KLSE,19980504,625.24,628.47,620.24,627.43,47927600,625.24,628.47,620.24,627.43,0,0,0
^KLSE,19980505,627.56,627.56,607.73,608.40,52155600,627.56,627.56,607.73,608.40,0,0,0
^KLSE,19980506,603.19,603.19,583.53,584.62,59907600,603.19,603.19,583.53,584.62,0,0,0
^KLSE,19980507,576.58,588.89,562.91,586.83,87209200,576.58,588.89,562.91,586.83,0,0,0
^KLSE,19980508,585.47,586.72,577.23,580.05,45676400,585.47,586.72,577.23,580.05,0,0,0
^KLSE,19980512,579.45,580.44,567.81,569.17,40828800,579.45,580.44,567.81,569.17,0,0,0
^KLSE,19980513,569.07,569.07,548.33,548.33,60468600,569.07,569.07,548.33,548.33,0,0,0
^KLSE,19980514,548.77,560.94,545.32,560.50,52853400,548.77,560.94,545.32,560.50,0,0,0
^KLSE,19980515,562.95,573.17,560.14,566.85,50646600,562.95,573.17,560.14,566.85,0,0,0
^KLSE,19980518,566.35,566.35,549.99,549.99,44826400,566.35,566.35,549.99,549.99,0,0,0
^KLSE,19980519,549.93,562.56,544.34,554.42,47969000,549.93,562.56,544.34,554.42,0,0,0
^KLSE,19980520,557.01,569.82,555.53,569.19,43789600,557.01,569.82,555.53,569.19,0,0,0
^KLSE,19980521,575.75,596.09,575.75,593.62,104995800,575.75,596.09,575.75,593.62,0,0,0
^KLSE,19980522,594.32,595.60,577.23,577.23,52358000,594.32,595.60,577.23,577.23,0,0,0
^KLSE,19980525,576.98,578.30,570.02,570.55,28803800,576.98,578.30,570.02,570.55,0,0,0
^KLSE,19980526,570.75,572.25,560.34,561.28,36514400,570.75,572.25,560.34,561.28,0,0,0
^KLSE,19980527,560.05,560.05,551.11,552.28,44729600,560.05,560.05,551.11,552.28,0,0,0
^KLSE,19980528,553.95,554.77,544.61,544.74,58265400,553.95,554.77,544.61,544.74,0,0,0
^KLSE,19980529,546.31,549.94,538.24,538.24,65720400,546.31,549.94,538.24,538.24,0,0,0
^KLSE,19980601,537.60,538.58,518.00,518.00,52273400,537.60,538.58,518.00,518.00,0,0,0
^KLSE,19980602,518.44,535.24,517.79,520.61,53435800,518.44,535.24,517.79,520.61,0,0,0
^KLSE,19980603,520.68,534.28,520.68,526.36,62574000,520.68,534.28,520.68,526.36,0,0,0
^KLSE,19980604,526.63,534.57,518.61,518.61,51007600,526.63,534.57,518.61,518.61,0,0,0
^KLSE,19980605,518.44,519.30,505.05,505.05,57526400,518.44,519.30,505.05,505.05,0,0,0
^KLSE,19980608,505.71,505.71,497.44,497.79,51417600,505.71,505.71,497.44,497.79,0,0,0
^KLSE,19980609,498.12,506.55,496.17,505.64,40505000,498.12,506.55,496.17,505.64,0,0,0
^KLSE,19980610,505.40,507.22,486.99,489.86,56795400,505.40,507.22,486.99,489.86,0,0,0
^KLSE,19980611,489.16,489.16,477.16,483.00,74989200,489.16,489.16,477.16,483.00,0,0,0
^KLSE,19980612,479.40,479.40,468.76,472.37,63178000,479.40,479.40,468.76,472.37,0,0,0
^KLSE,19980615,471.50,471.50,449.89,452.24,58446400,471.50,471.50,449.89,452.24,0,0,0
^KLSE,19980616,447.55,454.69,435.30,435.84,71103200,447.55,454.69,435.30,435.84,0,0,0
^KLSE,19980617,440.24,450.88,436.44,450.88,73408200,440.24,450.88,436.44,450.88,0,0,0
^KLSE,19980618,469.31,487.12,469.31,471.82,115639800,469.31,487.12,469.31,471.82,0,0,0
^KLSE,19980619,470.45,472.33,461.27,467.61,61053000,470.45,472.33,461.27,467.61,0,0,0
^KLSE,19980622,465.68,465.68,453.86,457.61,37745800,465.68,465.68,453.86,457.61,0,0,0
^KLSE,19980623,457.48,464.08,454.19,457.25,42399600,457.48,464.08,454.19,457.25,0,0,0
^KLSE,19980624,457.99,457.99,449.00,455.37,46498000,457.99,457.99,449.00,455.37,0,0,0
^KLSE,19980625,455.06,455.16,446.30,448.42,43953200,455.06,455.16,446.30,448.42,0,0,0
^KLSE,19980626,447.91,449.93,441.34,445.67,65073000,447.91,449.93,441.34,445.67,0,0,0
^KLSE,19980629,446.51,454.77,446.51,450.77,61097200,446.51,454.77,446.51,450.77,0,0,0
^KLSE,19980630,450.60,457.26,447.62,455.64,63513200,450.60,457.26,447.62,455.64,0,0,0
^KLSE,19980701,454.73,472.16,448.35,471.23,70387000,454.73,472.16,448.35,471.23,0,0,0
^KLSE,19980702,477.72,485.94,475.09,478.20,82561600,477.72,485.94,475.09,478.20,0,0,0
^KLSE,19980703,476.79,476.79,462.88,473.78,37610200,476.79,476.79,462.88,473.78,0,0,0
^KLSE,19980707,473.14,473.14,465.94,467.55,50666000,473.14,473.14,465.94,467.55,0,0,0
^KLSE,19980708,467.04,467.05,454.20,455.28,48593200,467.04,467.05,454.20,455.28,0,0,0
^KLSE,19980709,455.19,456.57,446.81,447.89,49899600,455.19,456.57,446.81,447.89,0,0,0
^KLSE,19980710,446.16,446.16,425.91,428.62,101047200,446.16,446.16,425.91,428.62,0,0,0
^KLSE,19980713,424.59,428.90,415.74,421.31,72833000,424.59,428.90,415.74,421.31,0,0,0
^KLSE,19980714,422.69,428.53,419.54,420.33,47862600,422.69,428.53,419.54,420.33,0,0,0
^KLSE,19980715,423.17,435.12,422.72,433.54,58000200,423.17,435.12,422.72,433.54,0,0,0
^KLSE,19980716,434.34,436.63,428.04,429.99,44765200,434.34,436.63,428.04,429.99,0,0,0
^KLSE,19980717,431.62,447.55,431.58,445.31,95554800,431.62,447.55,431.58,445.31,0,0,0
^KLSE,19980720,445.92,454.99,441.75,445.28,68870400,445.92,454.99,441.75,445.28,0,0,0
^KLSE,19980721,445.61,446.74,434.11,437.82,66960000,445.61,446.74,434.11,437.82,0,0,0
^KLSE,19980722,436.35,436.35,421.91,421.91,54000200,436.35,436.35,421.91,421.91,0,0,0
^KLSE,19980723,419.55,419.55,411.23,415.40,96635800,419.55,419.55,411.23,415.40,0,0,0
^KLSE,19980724,413.56,420.39,411.28,418.40,62304800,413.56,420.39,411.28,418.40,0,0,0
^KLSE,19980727,417.93,418.61,406.37,408.04,42563800,417.93,418.61,406.37,408.04,0,0,0
^KLSE,19980728,407.58,407.92,398.88,403.98,65815800,407.58,407.92,398.88,403.98,0,0,0
^KLSE,19980729,403.83,406.25,385.97,385.97,75761400,403.83,406.25,385.97,385.97,0,0,0
^KLSE,19980730,387.06,393.13,386.07,389.53,57760800,387.06,393.13,386.07,389.53,0,0,0
^KLSE,19980731,391.26,403.13,389.91,402.65,62320000,391.26,403.13,389.91,402.65,0,0,0
^KLSE,19980803,403.41,403.41,385.53,386.27,69581200,403.41,403.41,385.53,386.27,0,0,0
^KLSE,19980804,385.77,389.22,383.92,386.44,39301000,385.77,389.22,383.92,386.44,0,0,0
^KLSE,19980805,382.38,383.38,377.73,380.29,46413000,382.38,383.38,377.73,380.29,0,0,0
^KLSE,19980806,380.89,385.54,373.11,374.78,55229000,380.89,385.54,373.11,374.78,0,0,0
^KLSE,19980807,374.85,374.97,358.72,364.05,48490000,374.85,374.97,358.72,364.05,0,0,0
^KLSE,19980810,363.18,363.18,351.47,353.28,33457800,363.18,363.18,351.47,353.28,0,0,0
^KLSE,19980811,352.87,352.87,333.55,334.70,61232400,352.87,352.87,333.55,334.70,0,0,0
^KLSE,19980812,332.39,343.99,329.12,342.19,68822600,332.39,343.99,329.12,342.19,0,0,0
^KLSE,19980813,342.45,342.45,322.28,326.73,68515000,342.45,342.45,322.28,326.73,0,0,0
^KLSE,19980814,325.56,330.46,315.53,327.98,67474400,325.56,330.46,315.53,327.98,0,0,0
^KLSE,19980817,328.03,329.23,316.05,316.24,51686200,328.03,329.23,316.05,316.24,0,0,0
^KLSE,19980818,317.84,323.16,312.90,315.66,72836800,317.84,323.16,312.90,315.66,0,0,0
^KLSE,19980819,319.08,348.85,319.08,343.47,18504500,319.08,348.85,319.08,343.47,0,0,0
