<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
^MIDCAP,20120103,348.33,356.03,343.71,349.50,5285790,348.33,356.03,343.71,349.50,0,0,0
^MIDCAP,20120104,347.90,352.07,342.61,345.83,7222700,347.90,352.07,342.61,345.83,0,0,0
^MIDCAP,20120105,345.06,348.73,335.89,341.02,7954460,345.06,348.73,335.89,341.02,0,0,0
^MIDCAP,20120106,339.98,345.53,332.61,339.88,9304260,339.98,345.53,332.61,339.88,0,0,0
^MIDCAP,20120109,338.65,344.50,332.21,340.00,7905460,338.65,344.50,332.21,340.00,0,0,0
^MIDCAP,20120110,339.75,349.05,335.35,345.86,11472990,339.75,349.05,335.35,345.86,0,0,0
^MIDCAP,20120111,347.34,352.13,340.00,343.66,8731900,347.34,352.13,340.00,343.66,0,0,0
^MIDCAP,20120112,341.75,347.21,337.16,343.62,6052930,341.75,347.21,337.16,343.62,0,0,0
^MIDCAP,20120113,343.73,350.03,341.56,347.85,8600640,343.73,350.03,341.56,347.85,0,0,0
^MIDCAP,20120116,348.44,356.26,345.62,352.43,11192660,348.44,356.26,345.62,352.43,0,0,0
^MIDCAP,20120117,349.41,354.34,343.83,347.39,7540280,349.41,354.34,343.83,347.39,0,0,0
^MIDCAP,20120118,348.07,353.57,345.37,351.71,5067330,348.07,353.57,345.37,351.71,0,0,0
^MIDCAP,20120119,352.57,361.08,349.26,359.24,8828920,352.57,361.08,349.26,359.24,0,0,0
^MIDCAP,20120120,362.46,365.44,354.14,358.16,7452610,362.46,365.44,354.14,358.16,0,0,0
^MIDCAP,20120130,360.89,370.64,355.95,367.52,7610340,360.89,370.64,355.95,367.52,0,0,0
^MIDCAP,20120131,372.06,381.75,367.53,374.36,17736920,372.06,381.75,367.53,374.36,0,0,0
^MIDCAP,20120201,375.91,380.83,365.67,375.92,15204290,375.91,380.83,365.67,375.92,0,0,0
^MIDCAP,20120202,382.69,392.31,376.29,390.66,14822220,382.69,392.31,376.29,390.66,0,0,0
^MIDCAP,20120203,398.99,402.41,383.15,386.67,28478890,398.99,402.41,383.15,386.67,0,0,0
^MIDCAP,20120206,388.84,392.26,374.15,382.88,15493130,388.84,392.26,374.15,382.88,0,0,0
^MIDCAP,20120207,383.64,391.15,376.71,384.67,16970610,383.64,391.15,376.71,384.67,0,0,0
^MIDCAP,20120208,387.86,398.65,383.59,396.75,18654050,387.86,398.65,383.59,396.75,0,0,0
^MIDCAP,20120209,398.50,404.13,389.99,396.49,28237490,398.50,404.13,389.99,396.49,0,0,0
^MIDCAP,20120210,397.03,401.50,383.87,387.69,25648740,397.03,401.50,383.87,387.69,0,0,0
^MIDCAP,20120213,384.96,388.75,374.37,378.33,16308290,384.96,388.75,374.37,378.33,0,0,0
^MIDCAP,20120214,376.79,387.91,373.69,385.29,15610790,376.79,387.91,373.69,385.29,0,0,0
^MIDCAP,20120215,384.09,386.42,372.30,376.69,18290950,384.09,386.42,372.30,376.69,0,0,0
^MIDCAP,20120216,373.85,382.28,368.90,378.11,15765960,373.85,382.28,368.90,378.11,0,0,0
^MIDCAP,20120217,382.10,390.42,377.97,387.74,18440460,382.10,390.42,377.97,387.74,0,0,0
^MIDCAP,20120220,394.99,402.51,390.62,400.70,33416680,394.99,402.51,390.62,400.70,0,0,0
^MIDCAP,20120221,410.95,413.67,394.30,398.76,41188660,410.95,413.67,394.30,398.76,0,0,0
^MIDCAP,20120222,398.54,414.27,393.02,411.13,39659370,398.54,414.27,393.02,411.13,0,0,0
^MIDCAP,20120223,414.56,423.64,407.95,421.85,41194180,414.56,423.64,407.95,421.85,0,0,0
^MIDCAP,20120224,429.12,436.96,420.32,427.45,50920140,429.12,436.96,420.32,427.45,0,0,0
^MIDCAP,20120227,431.99,445.19,427.38,442.00,41600260,431.99,445.19,427.38,442.00,0,0,0
^MIDCAP,20120228,445.54,448.95,423.53,429.18,76635930,445.54,448.95,423.53,429.18,0,0,0
^MIDCAP,20120229,425.60,440.84,419.39,437.29,48646970,425.60,440.84,419.39,437.29,0,0,0
^MIDCAP,20120301,436.24,444.89,425.23,438.89,35762900,436.24,444.89,425.23,438.89,0,0,0
^MIDCAP,20120302,442.78,453.53,437.53,450.20,30680210,442.78,453.53,437.53,450.20,0,0,0
^MIDCAP,20120305,465.92,472.79,462.60,472.47,16940630,465.92,472.79,462.60,472.47,0,0,0
^MIDCAP,20120306,491.40,493.50,462.11,469.65,103136140,491.40,493.50,462.11,469.65,0,0,0
^MIDCAP,20120307,475.19,487.21,455.02,481.69,73496290,475.19,487.21,455.02,481.69,0,0,0
^MIDCAP,20120308,478.22,488.46,457.49,463.66,52641130,478.22,488.46,457.49,463.66,0,0,0
^MIDCAP,20120309,463.77,475.07,449.73,459.23,33139950,463.77,475.07,449.73,459.23,0,0,0
^MIDCAP,20120312,451.99,461.31,440.92,443.72,26025680,451.99,461.31,440.92,443.72,0,0,0
^MIDCAP,20120313,442.09,456.14,434.57,448.36,50227520,442.09,456.14,434.57,448.36,0,0,0
^MIDCAP,20120314,444.67,458.32,434.05,438.75,43092900,444.67,458.32,434.05,438.75,0,0,0
^MIDCAP,20120315,438.48,464.48,431.58,460.73,72957040,438.48,464.48,431.58,460.73,0,0,0
^MIDCAP,20120316,463.85,476.62,458.93,466.11,74782920,463.85,476.62,458.93,466.11,0,0,0
^MIDCAP,20120319,463.34,478.26,455.47,469.12,38847390,463.34,478.26,455.47,469.12,0,0,0
^MIDCAP,20120320,471.11,482.45,464.62,478.31,47582840,471.11,482.45,464.62,478.31,0,0,0
^MIDCAP,20120321,482.69,496.97,477.85,488.83,64181500,482.69,496.97,477.85,488.83,0,0,0
^MIDCAP,20120322,492.16,500.39,482.70,493.66,53709910,492.16,500.39,482.70,493.66,0,0,0
^MIDCAP,20120323,496.00,508.27,490.09,503.84,61461600,496.00,508.27,490.09,503.84,0,0,0
^MIDCAP,20120326,507.71,518.68,496.67,505.48,57473380,507.71,518.68,496.67,505.48,0,0,0
^MIDCAP,20120327,505.12,511.68,484.71,488.16,64193200,505.12,511.68,484.71,488.16,0,0,0
^MIDCAP,20120328,479.80,498.06,469.67,490.59,50476450,479.80,498.06,469.67,490.59,0,0,0
^MIDCAP,20120329,492.50,501.09,471.14,477.69,49852380,492.50,501.09,471.14,477.69,0,0,0
^MIDCAP,20120330,474.98,483.78,462.36,470.46,37438280,474.98,483.78,462.36,470.46,0,0,0
^MIDCAP,20120403,470.19,490.54,466.04,487.70,36455800,470.19,490.54,466.04,487.70,0,0,0
^MIDCAP,20120404,486.78,497.54,474.30,478.70,37300490,486.78,497.54,474.30,478.70,0,0,0
^MIDCAP,20120405,473.76,492.73,468.90,487.69,41383060,473.76,492.73,468.90,487.69,0,0,0
^MIDCAP,20120406,491.86,500.10,483.02,489.96,44575010,491.86,500.10,483.02,489.96,0,0,0
^MIDCAP,20120409,494.11,504.03,489.50,499.40,38160200,494.11,504.03,489.50,499.40,0,0,0
^MIDCAP,20120410,503.42,511.28,491.68,497.23,45910300,503.42,511.28,491.68,497.23,0,0,0
^MIDCAP,20120411,506.71,516.20,499.65,512.70,47054300,506.71,516.20,499.65,512.70,0,0,0
^MIDCAP,20120412,519.67,529.54,512.28,521.12,63381420,519.67,529.54,512.28,521.12,0,0,0
^MIDCAP,20120413,528.02,537.11,513.71,522.37,68525830,528.02,537.11,513.71,522.37,0,0,0
^MIDCAP,20120416,521.23,541.87,515.92,538.36,48192230,521.23,541.87,515.92,538.36,0,0,0
^MIDCAP,20120417,544.57,553.99,535.05,544.97,50529650,544.57,553.99,535.05,544.97,0,0,0
^MIDCAP,20120418,543.62,556.30,535.37,541.80,56957500,543.62,556.30,535.37,541.80,0,0,0
^MIDCAP,20120419,535.55,544.97,517.35,522.27,54497050,535.55,544.97,517.35,522.27,0,0,0
^MIDCAP,20120420,519.28,532.33,510.95,520.89,38873110,519.28,532.33,510.95,520.89,0,0,0
