<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
^TA100,20110620,1085.21,1092.36,1080.67,1091.26,290811400,1085.21,1092.36,1080.67,1091.26,0,0,0
^TA100,20110621,1100.16,1111.38,1099.13,1106.32,214024200,1100.16,1111.38,1099.13,1106.32,0,0,0
^TA100,20110622,1112.44,1115.00,1106.17,1113.67,207849800,1112.44,1115.00,1106.17,1113.67,0,0,0
^TA100,20110623,1107.54,1107.93,1095.85,1095.85,290649200,1107.54,1107.93,1095.85,1095.85,0,0,0
^TA100,20110627,1087.42,1095.41,1086.69,1095.41,241775600,1087.42,1095.41,1086.69,1095.41,0,0,0
^TA100,20110628,1098.72,1111.59,1097.32,1111.59,176741600,1098.72,1111.59,1097.32,1111.59,0,0,0
^TA100,20110629,1117.12,1128.03,1117.12,1119.91,203360400,1117.12,1128.03,1117.12,1119.91,0,0,0
^TA100,20110630,1124.31,1124.65,1113.36,1113.38,170076800,1124.31,1124.65,1113.36,1113.38,0,0,0
^TA100,20110704,1140.79,1143.08,1138.16,1139.57,230076400,1140.79,1143.08,1138.16,1139.57,0,0,0
^TA100,20110705,1140.79,1142.78,1136.29,1138.60,310284800,1140.79,1142.78,1136.29,1138.60,0,0,0
^TA100,20110706,1140.58,1140.58,1126.73,1130.40,164948600,1140.58,1140.58,1126.73,1130.40,0,0,0
^TA100,20110707,1137.80,1148.66,1136.38,1148.66,177998800,1137.80,1148.66,1136.38,1148.66,0,0,0
^TA100,20110711,1147.33,1147.33,1136.00,1136.28,168367600,1147.33,1147.33,1136.00,1136.28,0,0,0
^TA100,20110712,1127.03,1140.83,1121.39,1139.01,256279600,1127.03,1140.83,1121.39,1139.01,0,0,0
^TA100,20110713,1140.65,1142.28,1135.97,1138.06,102567200,1140.65,1142.28,1135.97,1138.06,0,0,0
