<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
^THUYSAN,20120103,355.26,361.25,348.80,353.18,276190,355.26,361.25,348.80,353.18,0,0,0
^THUYSAN,20120104,355.52,358.69,349.00,356.17,207430,355.52,358.69,349.00,356.17,0,0,0
^THUYSAN,20120105,358.53,360.26,347.71,357.15,187620,358.53,360.26,347.71,357.15,0,0,0
^THUYSAN,20120106,356.41,359.40,352.10,356.19,155240,356.41,359.40,352.10,356.19,0,0,0
^THUYSAN,20120109,357.39,363.08,352.21,360.66,152390,357.39,363.08,352.21,360.66,0,0,0
^THUYSAN,20120110,367.72,369.26,360.50,366.65,197880,367.72,369.26,360.50,366.65,0,0,0
^THUYSAN,20120111,368.55,371.87,363.40,366.49,294470,368.55,371.87,363.40,366.49,0,0,0
^THUYSAN,20120112,365.97,370.22,362.53,366.36,106970,365.97,370.22,362.53,366.36,0,0,0
^THUYSAN,20120113,365.83,371.28,360.65,364.66,213020,365.83,371.28,360.65,364.66,0,0,0
^THUYSAN,20120116,370.45,374.86,364.41,371.82,201190,370.45,374.86,364.41,371.82,0,0,0
^THUYSAN,20120117,371.17,375.69,363.24,370.04,142780,371.17,375.69,363.24,370.04,0,0,0
^THUYSAN,20120118,367.62,375.07,362.76,370.99,235820,367.62,375.07,362.76,370.99,0,0,0
^THUYSAN,20120119,375.73,382.27,371.97,378.60,160780,375.73,382.27,371.97,378.60,0,0,0
^THUYSAN,20120120,380.18,383.62,373.66,379.57,270500,380.18,383.62,373.66,379.57,0,0,0
^THUYSAN,20120130,385.47,393.07,382.90,392.28,210710,385.47,393.07,382.90,392.28,0,0,0
^THUYSAN,20120131,391.40,395.20,383.24,385.65,498520,391.40,395.20,383.24,385.65,0,0,0
^THUYSAN,20120201,386.54,391.88,382.18,389.26,366880,386.54,391.88,382.18,389.26,0,0,0
^THUYSAN,20120202,389.43,399.29,388.14,396.80,481850,389.43,399.29,388.14,396.80,0,0,0
^THUYSAN,20120203,400.65,402.24,391.17,395.21,752650,400.65,402.24,391.17,395.21,0,0,0
^THUYSAN,20120206,394.10,396.23,386.78,390.41,395010,394.10,396.23,386.78,390.41,0,0,0
^THUYSAN,20120207,392.27,397.67,385.28,391.87,557750,392.27,397.67,385.28,391.87,0,0,0
^THUYSAN,20120208,392.01,398.97,389.05,396.62,538620,392.01,398.97,389.05,396.62,0,0,0
