<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
AGD,20100107,18.74,18.74,18.74,18.74,120100,30.00,30.00,30.00,30.00,0,10000,0
AGD,20100108,19.68,19.68,19.61,19.67,192490,31.50,31.50,31.40,31.50,0,10000,0
AGD,20100111,19.98,19.98,19.67,19.67,25700,32.00,32.00,31.50,31.50,0,0,0
AGD,20100112,19.67,19.67,18.73,18.74,13450,31.50,31.50,30.00,30.00,0,0,0
AGD,20100113,17.80,18.43,17.80,18.11,59970,28.50,29.50,28.50,29.00,0,0,0
AGD,20100114,18.11,18.67,17.80,18.43,21200,29.00,29.90,28.50,29.50,0,0,0
AGD,20100115,17.68,18.43,17.56,18.43,26880,28.30,29.50,28.10,29.50,0,0,0
AGD,20100118,17.62,17.81,17.56,17.55,17110,28.20,28.50,28.10,28.10,0,0,0
AGD,20100119,16.68,18.11,16.68,18.11,22180,26.70,29.00,26.70,29.00,0,0,0
AGD,20100120,18.11,18.11,17.49,17.49,5500,29.00,29.00,28.00,28.00,0,0,0
AGD,20100121,16.62,16.62,16.62,16.61,23450,26.60,26.60,26.60,26.60,0,0,0
AGD,20100122,15.80,17.17,15.80,16.86,14030,25.30,27.50,25.30,27.00,0,0,0
AGD,20100125,17.48,17.48,16.86,16.86,2560,28.00,28.00,27.00,27.00,0,0,0
AGD,20100126,17.61,17.61,17.48,17.49,2050,28.20,28.20,28.00,28.00,0,0,0
AGD,20100127,18.11,18.11,17.37,17.36,550,29.00,29.00,27.80,27.80,0,0,0
AGD,20100128,16.86,17.42,16.55,16.86,23160,27.00,27.90,26.50,27.00,0,0,0
AGD,20100129,16.30,17.36,16.30,16.93,2810,26.10,27.80,26.10,27.10,0,0,0
AGD,20100201,16.37,16.99,16.31,16.93,7720,26.20,27.20,26.10,27.10,0,0,0
AGD,20100202,17.43,17.43,16.24,16.24,29810,27.90,27.90,26.00,26.00,0,0,0
AGD,20100203,16.24,16.80,16.24,16.24,34020,26.00,26.90,26.00,26.00,0,0,0
AGD,20100204,16.36,17.05,15.93,17.05,22560,26.20,27.30,25.50,27.30,0,0,0
AGD,20100205,16.93,17.05,16.93,17.05,2540,27.10,27.30,27.10,27.30,0,0,0
AGD,20100208,16.80,16.86,16.80,16.86,4530,26.90,27.00,26.90,27.00,0,0,0
AGD,20100209,16.55,17.17,16.24,16.80,6980,26.50,27.50,26.00,26.90,0,0,0
AGD,20100210,16.74,16.86,16.74,16.80,2660,26.80,27.00,26.80,26.90,0,0,0
AGD,20100211,17.55,17.55,16.86,16.86,2500,28.10,28.10,27.00,27.00,0,0,0
AGD,20100212,17.48,17.67,16.86,17.61,5210,28.00,28.30,27.00,28.20,0,0,0
AGD,20100222,16.74,16.74,16.74,16.74,50,26.80,26.80,26.80,26.80,0,0,0
AGD,20100223,16.74,17.18,16.74,17.18,3310,26.80,27.50,26.80,27.50,0,0,0
AGD,20100224,16.37,17.18,16.37,17.18,48820,26.20,27.50,26.20,27.50,0,0,0
AGD,20100225,16.87,17.49,16.87,17.49,4130,27.00,28.00,27.00,28.00,0,0,0
AGD,20100226,17.49,17.49,17.49,17.49,8000,28.00,28.00,28.00,28.00,0,0,0
AGD,20100301,17.80,17.80,17.80,17.80,20,28.50,28.50,28.50,28.50,0,0,0
AGD,20100302,18.36,18.36,17.49,17.49,410,29.40,29.40,28.00,28.00,0,0,0
AGD,20100303,16.87,17.49,16.62,17.49,5270,27.00,28.00,26.60,28.00,0,0,0
AGD,20100304,17.49,18.05,17.43,17.49,9450,28.00,28.90,27.90,28.00,0,0,0
AGD,20100305,17.80,18.11,17.49,18.11,50440,28.50,29.00,28.00,29.00,0,0,0
AGD,20100308,17.49,18.36,17.49,18.24,30300,28.00,29.40,28.00,29.20,0,0,0
