<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
AGM,20121214,11.20,16.52,11.20,14.14,3270,16.00,23.60,16.00,20.20,0,0,0
AGM,20121217,14.35,14.70,14.35,14.35,820,20.50,21.00,20.50,20.50,0,0,0
AGM,20121218,15.05,15.05,14.00,14.35,1130,21.50,21.50,20.00,20.50,0,0,0
AGM,20121219,14.35,14.35,14.35,14.35,100,20.50,20.50,20.50,20.50,0,0,0
AGM,20121220,14.35,14.35,14.00,14.00,1080,20.50,20.50,20.00,20.00,0,0,0
AGM,20121221,14.00,14.00,14.00,14.00,770,20.00,20.00,20.00,20.00,0,0,0
AGM,20121224,13.44,14.35,13.44,14.35,1730,19.20,20.50,19.20,20.50,0,0,0
AGM,20121225,14.70,15.05,14.70,15.05,20,21.00,21.50,21.00,21.50,0,0,0
AGM,20121226,15.05,15.40,14.35,15.40,2900,21.50,22.00,20.50,22.00,0,0,0
AGM,20121227,15.40,16.10,14.63,16.10,25020,22.00,23.00,20.90,23.00,0,0,0
AGM,20121228,15.33,15.40,15.33,15.40,1060,21.90,22.00,21.90,22.00,0,0,0
AGM,20130102,14.63,15.40,14.63,15.40,2540,20.90,22.00,20.90,22.00,0,0,0
AGM,20130103,14.63,15.40,14.63,14.63,1660,20.90,22.00,20.90,20.90,0,0,0
AGM,20130104,14.00,14.70,13.93,14.70,2430,20.00,21.00,19.90,21.00,0,0,0
AGM,20130107,14.00,14.70,14.00,14.70,1570,20.00,21.00,20.00,21.00,0,0,0
AGM,20130108,14.00,14.35,14.00,14.35,8680,20.00,20.50,20.00,20.50,0,0,0
AGM,20130109,13.65,14.35,13.65,14.35,590,19.50,20.50,19.50,20.50,0,0,0
AGM,20130110,13.65,14.35,13.65,14.35,380,19.50,20.50,19.50,20.50,0,0,0
AGM,20130111,13.72,13.79,13.65,13.79,1120,19.60,19.70,19.50,19.70,0,0,0
AGM,20130114,13.51,14.00,13.51,14.00,1100,19.30,20.00,19.30,20.00,0,0,0
AGM,20130116,13.02,14.00,13.02,14.00,550,18.60,20.00,18.60,20.00,0,0,0
AGM,20130117,13.09,14.00,13.09,14.00,2100,18.70,20.00,18.70,20.00,0,0,0
AGM,20130122,13.02,14.00,13.02,14.00,770,18.60,20.00,18.60,20.00,0,0,0
AGM,20130123,13.30,14.00,13.02,13.02,880,19.00,20.00,18.60,18.60,0,0,0
AGM,20130124,13.93,13.93,13.93,13.93,10,19.90,19.90,19.90,19.90,0,0,0
AGM,20130125,13.93,14.00,13.93,14.00,2090,19.90,20.00,19.90,20.00,0,0,0
AGM,20130129,13.30,13.93,13.30,13.93,590,19.00,19.90,19.00,19.90,0,0,0
AGM,20130130,13.93,13.93,13.93,13.93,10,19.90,19.90,19.90,19.90,0,0,0
AGM,20130131,13.93,13.93,13.93,13.93,300,19.90,19.90,19.90,19.90,0,0,0
AGM,20130201,13.93,13.93,13.93,13.93,400,19.90,19.90,19.90,19.90,0,0,0
AGM,20130204,13.93,13.93,13.93,13.93,30,19.90,19.90,19.90,19.90,0,0,0
AGM,20130205,13.93,13.93,13.93,13.93,30,19.90,19.90,19.90,19.90,0,0,0
AGM,20130206,13.02,13.93,13.02,13.93,1060,18.60,19.90,18.60,19.90,0,0,0
AGM,20130208,13.93,13.93,13.93,13.93,1380,19.90,19.90,19.90,19.90,0,0,0
AGM,20130218,13.30,14.00,13.30,14.00,130,19.00,20.00,19.00,20.00,0,0,0
AGM,20130219,13.93,13.93,13.30,13.93,700,19.90,19.90,19.00,19.90,0,0,0
AGM,20130220,13.30,13.93,13.30,13.93,20,19.00,19.90,19.00,19.90,0,0,0
AGM,20130221,13.30,13.30,13.30,13.30,350,19.00,19.00,19.00,19.00,0,0,0
AGM,20130222,13.30,13.93,13.30,13.93,360,19.00,19.90,19.00,19.90,0,0,0
AGM,20130227,13.30,13.30,13.30,13.30,30,19.00,19.00,19.00,19.00,0,0,0
AGM,20130228,12.95,13.30,12.95,13.30,480,18.50,19.00,18.50,19.00,0,0,0
AGM,20130304,13.02,13.02,12.39,12.39,210,18.60,18.60,17.70,17.70,0,0,0
AGM,20130305,13.23,13.23,13.23,13.23,10,18.90,18.90,18.90,18.90,0,0,0
AGM,20130306,12.60,12.60,12.60,12.60,900,18.00,18.00,18.00,18.00,0,0,0
AGM,20130307,12.95,12.95,12.95,12.95,10,18.50,18.50,18.50,18.50,0,0,0
AGM,20130312,12.11,12.11,12.11,12.11,10,17.30,17.30,17.30,17.30,0,0,0
AGM,20130313,12.95,12.95,12.95,12.95,70,18.50,18.50,18.50,18.50,0,0,0
AGM,20130314,12.11,13.79,12.11,13.79,2280,17.30,19.70,17.30,19.70,0,0,0
AGM,20130315,12.95,13.86,12.88,13.86,520,18.50,19.80,18.40,19.80,0,0,0
AGM,20130318,12.95,13.65,12.95,13.65,230,18.50,19.50,18.50,19.50,0,0,0
AGM,20130319,12.74,12.74,12.74,12.74,240,18.20,18.20,18.20,18.20,0,0,0
AGM,20130320,13.30,13.30,13.30,13.30,20,19.00,19.00,19.00,19.00,0,0,0
AGM,20130321,13.02,13.02,12.39,13.02,260,18.60,18.60,17.70,18.60,0,0,0
AGM,20130322,13.16,13.16,13.16,13.16,10,18.80,18.80,18.80,18.80,0,0,0
AGM,20130328,13.30,13.30,13.30,13.30,10,19.00,19.00,19.00,19.00,0,0,0
AGM,20130404,12.60,13.02,12.60,13.02,60,18.00,18.60,18.00,18.60,0,0,0
AGM,20130405,13.30,13.30,13.30,13.30,10,19.00,19.00,19.00,19.00,0,0,0
AGM,20130408,12.60,12.95,12.60,12.95,60,18.00,18.50,18.00,18.50,0,0,0
AGM,20130412,13.16,13.16,13.16,13.16,10,18.80,18.80,18.80,18.80,0,0,0
AGM,20130416,12.25,13.16,12.25,13.16,1010,17.50,18.80,17.50,18.80,0,0,0
AGM,20130503,12.25,12.95,12.25,12.95,20,17.50,18.50,17.50,18.50,0,0,0
AGM,20130506,13.30,13.30,13.30,13.30,20,19.00,19.00,19.00,19.00,0,0,0
AGM,20130509,13.30,13.30,12.53,12.60,860,19.00,19.00,17.90,18.00,0,0,0
AGM,20130510,12.25,12.60,12.25,12.60,20,17.50,18.00,17.50,18.00,0,0,0
AGM,20130513,12.60,12.88,12.60,12.60,760,18.00,18.40,18.00,18.00,0,0,0
AGM,20130514,12.88,12.88,12.60,12.88,520,18.40,18.40,18.00,18.40,0,0,0
AGM,20130515,13.16,13.16,13.16,13.16,10,18.80,18.80,18.80,18.80,0,0,0
AGM,20130516,12.60,12.81,12.60,12.81,20,18.00,18.30,18.00,18.30,0,0,0
AGM,20130517,12.60,12.60,12.60,12.60,100,18.00,18.00,18.00,18.00,0,0,0
AGM,20130520,12.95,12.95,12.95,12.95,10,18.50,18.50,18.50,18.50,0,0,0
AGM,20130521,13.33,13.33,12.19,12.95,300,17.50,17.50,16.00,17.00,0,0,0
AGM,20130522,12.19,12.57,12.19,12.57,860,16.00,16.50,16.00,16.50,0,0,0
AGM,20130523,12.95,12.95,12.95,12.95,10,17.00,17.00,17.00,17.00,0,0,0
