<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BCE,20100628,8.98,9.73,8.98,8.98,267360,24.00,26.00,24.00,24.00,0,0,90480
BCE,20100629,8.57,8.98,8.57,8.79,218580,22.90,24.00,22.90,23.50,0,0,2090
BCE,20100630,8.42,9.16,8.42,8.68,50850,22.50,24.50,22.50,23.20,0,0,15060
BCE,20100701,8.79,8.79,8.61,8.68,42290,23.50,23.50,23.00,23.20,0,0,9710
BCE,20100702,9.05,9.05,8.61,8.64,75300,24.20,24.20,23.00,23.10,0,0,0
BCE,20100705,8.64,8.64,8.42,8.41,146120,23.10,23.10,22.50,22.50,0,0,0
BCE,20100706,8.15,8.41,8.15,8.30,205610,21.80,22.50,21.80,22.20,0,0,0
BCE,20100707,8.49,8.71,8.49,8.71,270100,22.70,23.30,22.70,23.30,0,0,50000
BCE,20100708,8.60,8.93,8.60,8.60,92340,23.00,23.90,23.00,23.00,0,0,41190
BCE,20100709,8.60,8.90,8.60,8.60,55680,23.00,23.80,23.00,23.00,20000,0,0
BCE,20100712,8.56,8.79,8.49,8.60,34180,22.90,23.50,22.70,23.00,0,0,0
BCE,20100713,8.71,8.75,8.53,8.64,75450,23.30,23.40,22.80,23.10,0,0,1000
BCE,20100714,8.64,8.90,8.60,8.60,215360,23.10,23.80,23.00,23.00,0,0,95000
BCE,20100715,8.60,8.75,8.49,8.49,67810,23.00,23.40,22.70,22.70,0,0,10000
BCE,20100716,8.49,8.60,8.42,8.49,68940,22.70,23.00,22.50,22.70,0,0,18200
BCE,20100719,8.60,8.60,8.23,8.23,133750,23.00,23.00,22.00,22.00,0,0,100000
BCE,20100720,8.23,8.42,8.23,8.27,307260,22.00,22.50,22.00,22.10,0,0,252000
BCE,20100721,8.68,8.68,8.61,8.68,194100,23.20,23.20,23.00,23.20,0,0,69460
BCE,20100722,9.09,9.09,8.79,8.83,303780,24.30,24.30,23.50,23.60,0,0,0
BCE,20100723,8.83,8.83,8.61,8.64,88960,23.60,23.60,23.00,23.10,0,0,0
BCE,20100726,8.42,8.64,8.38,8.38,41650,22.50,23.10,22.40,22.40,0,0,0
BCE,20100727,8.57,8.57,8.31,8.38,81520,22.90,22.90,22.20,22.40,0,0,0
BCE,20100728,8.34,8.38,7.97,7.97,181470,22.30,22.40,21.30,21.30,0,0,0
BCE,20100729,7.90,7.97,7.71,7.97,116100,21.10,21.30,20.60,21.30,0,0,0
BCE,20100730,8.19,8.34,7.97,8.00,46130,21.90,22.30,21.30,21.40,0,0,0
BCE,20100802,8.15,8.15,7.89,7.89,19310,21.80,21.80,21.10,21.10,0,2000,0
BCE,20100803,7.89,8.04,7.85,7.85,43080,21.10,21.50,21.00,21.00,0,5500,0
BCE,20100804,7.78,7.78,7.63,7.70,47020,20.80,20.80,20.40,20.60,20000,850,0
BCE,20100805,7.66,7.81,7.63,7.67,43000,20.50,20.90,20.40,20.50,0,0,0
BCE,20100806,7.67,7.71,7.48,7.48,55420,20.50,20.60,20.00,20.00,0,0,0
BCE,20100809,7.44,7.48,7.18,7.22,48850,19.90,20.00,19.20,19.30,0,2500,0
BCE,20100810,7.11,7.11,6.88,6.88,91510,19.00,19.00,18.40,18.40,0,2000,0
BCE,20100811,6.73,7.07,6.73,7.07,39330,18.00,18.90,18.00,18.90,0,10,0
BCE,20100812,6.81,7.03,6.73,6.73,74160,18.20,18.80,18.00,18.00,0,0,0
BCE,20100813,6.54,6.92,6.54,6.73,38500,17.50,18.50,17.50,18.00,0,0,0
BCE,20100816,6.95,7.07,6.92,7.07,47320,18.60,18.90,18.50,18.90,0,0,0
BCE,20100817,7.07,7.11,6.81,7.07,75650,18.90,19.00,18.20,18.90,0,0,0
BCE,20100818,7.11,7.11,6.85,6.84,8210,19.00,19.00,18.30,18.30,0,0,0
BCE,20100819,6.80,6.88,6.69,6.73,17250,18.20,18.40,17.90,18.00,0,0,0
BCE,20100820,6.73,6.73,6.47,6.54,15110,18.00,18.00,17.30,17.50,0,0,10
BCE,20100823,6.69,6.69,6.28,6.43,35210,17.90,17.90,16.80,17.20,0,0,0
BCE,20100824,6.17,6.24,6.13,6.13,53060,16.50,16.70,16.40,16.40,0,0,0
BCE,20100825,5.87,5.87,5.83,5.87,66290,15.70,15.70,15.60,15.70,0,0,0
BCE,20100826,5.98,6.02,5.83,6.02,56060,16.00,16.10,15.60,16.10,0,0,0
BCE,20100827,6.02,6.13,5.83,6.13,83470,16.10,16.40,15.60,16.40,0,0,0
BCE,20100830,6.43,6.43,6.43,6.43,70180,17.20,17.20,17.20,17.20,0,0,0
BCE,20100831,6.50,6.65,6.39,6.62,34010,17.40,17.80,17.10,17.70,0,0,0
BCE,20100901,6.81,6.81,6.40,6.54,44910,18.20,18.20,17.10,17.50,0,0,0
BCE,20100906,6.73,6.84,6.69,6.84,82290,18.00,18.30,17.90,18.30,0,200,0
BCE,20100907,6.73,7.10,6.65,6.96,48820,18.00,19.00,17.80,18.60,0,0,0
BCE,20100908,6.74,7.11,6.62,6.62,31710,18.00,19.00,17.70,17.70,0,0,0
BCE,20100909,6.88,6.88,6.66,6.73,93720,18.40,18.40,17.80,18.00,0,0,0
BCE,20100910,6.73,6.80,6.43,6.43,56040,18.00,18.20,17.20,17.20,0,0,0
BCE,20100913,6.43,6.69,6.13,6.54,40290,17.20,17.90,16.40,17.50,0,0,0
BCE,20100914,6.76,6.76,6.50,6.51,21280,18.10,18.10,17.40,17.40,0,0,0
BCE,20100915,6.73,6.73,6.40,6.54,12810,18.00,18.00,17.10,17.50,0,0,0
BCE,20100916,6.24,6.73,6.24,6.54,11870,16.70,18.00,16.70,17.50,0,0,0
BCE,20100917,6.73,6.73,6.50,6.54,39520,18.00,18.00,17.40,17.50,0,0,0
BCE,20100920,6.73,6.73,6.47,6.73,87710,18.00,18.00,17.30,18.00,0,0,0
BCE,20100921,6.73,6.73,6.58,6.66,22740,18.00,18.00,17.60,17.80,0,0,0
BCE,20100922,6.47,6.73,6.47,6.66,6680,17.30,18.00,17.30,17.80,0,0,0
BCE,20100923,6.62,6.66,6.44,6.58,28110,17.70,17.80,17.20,17.60,0,0,0
BCE,20100924,6.54,6.58,6.47,6.51,13040,17.50,17.60,17.30,17.40,0,0,0
BCE,20100927,6.51,6.51,6.44,6.43,14500,17.40,17.40,17.20,17.20,0,0,0
BCE,20100928,6.69,6.69,6.47,6.47,21510,17.90,17.90,17.30,17.30,0,0,0
BCE,20100929,6.47,6.47,6.36,6.36,4120,17.30,17.30,17.00,17.00,0,0,0
BCE,20100930,6.36,6.47,6.36,6.36,28230,17.00,17.30,17.00,17.00,0,0,0
BCE,20101001,6.36,6.36,6.29,6.28,45610,17.00,17.00,16.80,16.80,0,0,0
BCE,20101004,6.28,6.28,5.98,6.02,9730,16.80,16.80,16.00,16.10,0,0,0
BCE,20101005,6.06,6.13,5.98,6.13,15010,16.20,16.40,16.00,16.40,0,0,0
BCE,20101006,6.13,6.28,6.13,6.28,13550,16.40,16.80,16.40,16.80,0,0,0
BCE,20101007,6.32,6.32,6.24,6.25,13030,16.90,16.90,16.70,16.70,0,0,0
BCE,20101008,5.99,6.32,5.95,6.21,5220,16.00,16.90,15.90,16.60,0,0,0
BCE,20101011,5.91,6.21,5.91,6.02,11320,15.80,16.60,15.80,16.10,0,0,0
BCE,20101012,6.32,6.32,5.91,5.98,12420,16.90,16.90,15.80,16.00,0,0,0
BCE,20101013,6.13,6.13,5.98,6.10,17030,16.40,16.40,16.00,16.30,0,0,0
BCE,20101014,6.29,6.29,5.99,6.10,9600,16.80,16.80,16.00,16.30,0,0,0
BCE,20101015,5.99,5.99,5.91,5.91,36870,16.00,16.00,15.80,15.80,0,0,0
BCE,20101018,6.13,6.13,5.95,5.95,2030,16.40,16.40,15.90,15.90,0,0,0
BCE,20101019,6.10,6.10,5.88,5.91,54800,16.30,16.30,15.70,15.80,0,0,0
BCE,20101020,5.80,5.80,5.65,5.68,19780,15.50,15.50,15.10,15.20,0,0,0
BCE,20101021,5.90,5.90,5.64,5.65,33920,15.80,15.80,15.10,15.10,0,0,0
BCE,20101022,5.80,5.80,5.65,5.68,13490,15.50,15.50,15.10,15.20,0,0,0
BCE,20101025,5.64,5.94,5.61,5.95,7390,15.10,15.90,15.00,15.90,0,0,0
BCE,20101026,6.10,6.17,6.10,6.10,10210,16.30,16.50,16.30,16.30,0,0,0
BCE,20101027,6.10,6.10,5.88,5.87,18250,16.30,16.30,15.70,15.70,0,0,0
BCE,20101028,5.83,5.83,5.80,5.80,7440,15.60,15.60,15.50,15.50,0,0,0
BCE,20101029,5.84,5.84,5.76,5.83,18010,15.60,15.60,15.40,15.60,0,0,0
BCE,20101101,5.79,5.79,5.76,5.80,9120,15.50,15.50,15.40,15.50,0,0,0
