<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BCI,20090316,9.68,11.20,9.68,10.75,243240,21.60,25.00,21.60,24.00,0,700,0
BCI,20090317,10.75,11.20,10.75,11.20,138330,24.00,25.00,24.00,25.00,0,0,0
BCI,20090318,11.69,11.69,11.47,11.46,174720,26.10,26.10,25.60,25.60,0,0,41000
BCI,20090319,10.92,11.42,10.92,10.93,147560,24.40,25.50,24.40,24.40,0,0,0
BCI,20090320,10.39,10.39,10.39,10.39,20110,23.20,23.20,23.20,23.20,0,0,0
BCI,20090323,9.90,9.90,9.90,9.90,6250,22.10,22.10,22.10,22.10,0,100,0
BCI,20090324,10.26,10.26,9.41,9.49,234710,22.90,22.90,21.00,21.20,0,0,400
BCI,20090325,9.09,9.58,9.09,9.40,210240,20.30,21.40,20.30,21.00,0,0,104000
BCI,20090326,9.62,9.85,9.62,9.85,175920,21.50,22.00,21.50,22.00,0,0,138000
BCI,20090327,10.34,10.34,9.85,10.34,653260,23.10,23.10,22.00,23.10,0,1700,250000
BCI,20090330,10.30,10.52,10.07,10.17,259230,23.00,23.50,22.50,22.70,0,1550,119630
BCI,20090331,9.77,10.04,9.77,9.85,97610,21.80,22.40,21.80,22.00,0,0,0
BCI,20090401,10.21,10.30,9.85,10.30,220240,22.80,23.00,22.00,23.00,0,0,18110
BCI,20090402,10.30,10.48,10.17,10.30,275660,23.00,23.40,22.70,23.00,0,0,92490
BCI,20090403,10.79,10.79,10.52,10.79,704210,24.10,24.10,23.50,24.10,0,0,234000
BCI,20090407,10.39,11.10,10.39,10.93,520700,23.20,24.80,23.20,24.40,0,100,200000
BCI,20090408,10.44,10.84,10.39,10.39,255470,23.30,24.20,23.20,23.20,0,100,55000
BCI,20090409,10.39,10.39,9.94,10.03,240040,23.20,23.20,22.20,22.40,0,100,75000
BCI,20090410,10.52,10.52,10.52,10.52,42500,23.50,23.50,23.50,23.50,0,0,0
BCI,20090413,11.01,11.01,11.01,11.02,1068010,24.60,24.60,24.60,24.60,139000,25000,361000
BCI,20090414,11.56,11.56,11.56,11.55,407220,25.80,25.80,25.80,25.80,103000,50000,338300
BCI,20090415,12.09,12.09,12.09,12.09,58860,27.00,27.00,27.00,27.00,220000,0,200
BCI,20090416,12.67,12.67,12.67,12.67,207700,28.30,28.30,28.30,28.30,50000,0,180000
BCI,20090417,13.30,13.30,12.09,13.30,2164450,29.70,29.70,27.00,29.70,60000,203000,100600
BCI,20090420,12.67,12.67,12.67,12.67,339590,28.30,28.30,28.30,28.30,0,100000,0
BCI,20090421,12.04,12.98,12.04,12.54,1303820,26.90,29.00,26.90,28.00,0,101070,39960
BCI,20090422,13.17,13.17,12.36,13.17,870480,29.40,29.40,27.60,29.40,500000,102220,200000
BCI,20090423,13.13,13.44,12.54,12.67,562510,29.30,30.00,28.00,28.30,0,70000,0
BCI,20090424,12.27,12.49,12.04,12.18,420580,27.40,27.90,26.90,27.20,0,64980,1000
BCI,20090427,12.18,12.49,12.00,12.09,338140,27.20,27.90,26.80,27.00,0,100,31810
