<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BRC,20111213,8.27,8.27,8.27,8.27,2500,12.80,12.80,12.80,12.80,0,0,0
BRC,20111214,7.86,7.86,7.86,7.86,50,11.40,11.40,11.40,11.40,0,0,0
BRC,20111215,7.52,7.52,7.52,7.51,10,10.90,10.90,10.90,10.90,0,0,0
BRC,20111216,7.17,7.17,7.17,7.17,10,10.40,10.40,10.40,10.40,0,0,0
BRC,20111219,7.10,7.10,6.83,6.82,40,10.30,10.30,9.90,9.90,0,0,0
BRC,20111221,6.54,6.54,6.54,6.55,10,9.50,9.50,9.50,9.50,0,0,0
BRC,20111222,6.27,6.27,6.27,6.27,10,9.10,9.10,9.10,9.10,0,0,0
BRC,20111223,5.99,5.99,5.99,6.00,10,8.70,8.70,8.70,8.70,0,0,0
BRC,20111226,5.72,5.72,5.72,5.72,5000,8.30,8.30,8.30,8.30,0,0,0
BRC,20111227,5.44,5.44,5.44,5.45,5000,7.90,7.90,7.90,7.90,0,0,0
BRC,20111228,5.24,5.24,5.24,5.24,10,7.60,7.60,7.60,7.60,0,0,0
BRC,20111229,5.03,5.03,5.03,5.03,10,7.30,7.30,7.30,7.30,0,0,0
BRC,20111230,4.82,4.82,4.82,4.83,100,7.00,7.00,7.00,7.00,0,0,0
BRC,20120103,4.62,4.62,4.62,4.62,10,6.70,6.70,6.70,6.70,0,0,0
BRC,20120104,4.41,4.41,4.41,4.41,100,6.40,6.40,6.40,6.40,0,0,0
BRC,20120105,4.20,4.20,4.20,4.20,10,6.10,6.10,6.10,6.10,0,0,0
BRC,20120106,3.99,3.99,3.99,4.00,5700,5.80,5.80,5.80,5.80,0,0,0
BRC,20120109,3.86,4.14,3.86,3.93,69400,5.60,6.00,5.60,5.70,0,0,0
BRC,20120110,3.79,4.07,3.79,4.07,40160,5.50,5.90,5.50,5.90,0,0,0
BRC,20120111,4.14,4.14,4.07,4.14,37880,6.00,6.00,5.90,6.00,0,0,0
BRC,20120112,4.35,4.35,4.14,4.34,28100,6.30,6.30,6.00,6.30,0,0,0
BRC,20120113,4.55,4.55,4.55,4.55,6260,6.60,6.60,6.60,6.60,0,3680,0
BRC,20120116,4.76,4.76,4.76,4.76,18020,6.90,6.90,6.90,6.90,0,0,0
BRC,20120117,4.97,4.97,4.97,4.96,28830,7.20,7.20,7.20,7.20,0,0,0
BRC,20120118,5.17,5.17,5.17,5.17,5800,7.50,7.50,7.50,7.50,0,0,0
BRC,20120119,5.38,5.38,5.38,5.38,10010,7.80,7.80,7.80,7.80,0,0,0
BRC,20120120,5.59,5.59,5.59,5.58,11200,8.10,8.10,8.10,8.10,0,0,0
BRC,20120130,5.86,5.86,5.86,5.86,880,8.50,8.50,8.50,8.50,0,0,0
BRC,20120131,5.86,6.14,5.86,6.13,11840,8.50,8.90,8.50,8.90,0,0,0
BRC,20120201,6.41,6.41,6.41,6.41,28910,9.30,9.30,9.30,9.30,0,0,0
BRC,20120202,6.13,6.62,6.13,6.55,18490,8.90,9.60,8.90,9.50,0,0,0
BRC,20120203,6.69,6.83,6.69,6.82,20500,9.70,9.90,9.70,9.90,0,0,0
BRC,20120206,6.89,6.89,6.54,6.55,11200,10.00,10.00,9.50,9.50,0,0,0
BRC,20120207,6.55,6.55,6.34,6.34,6000,9.50,9.50,9.20,9.20,0,0,0
BRC,20120208,6.13,6.20,6.06,6.07,27470,8.90,9.00,8.80,8.80,0,0,0
BRC,20120209,5.79,6.35,5.79,6.34,33190,8.40,9.20,8.40,9.20,0,0,0
BRC,20120210,6.62,6.62,6.55,6.55,14200,9.60,9.60,9.50,9.50,0,0,0
BRC,20120213,6.76,6.76,6.62,6.69,15920,9.80,9.80,9.60,9.70,0,0,0
BRC,20120214,6.62,6.83,6.62,6.82,19370,9.60,9.90,9.60,9.90,0,0,0
BRC,20120215,6.82,7.10,6.82,7.10,53990,9.90,10.30,9.90,10.30,0,0,0
BRC,20120216,7.38,7.38,7.03,7.31,180,10.70,10.70,10.20,10.60,0,0,0
BRC,20120217,7.31,7.52,7.31,7.51,50,10.60,10.90,10.60,10.90,0,0,0
BRC,20120220,7.58,7.58,7.58,7.58,1200,11.00,11.00,11.00,11.00,0,0,0
BRC,20120221,7.44,7.44,7.24,7.44,4430,10.80,10.80,10.50,10.80,0,0,0
BRC,20120222,7.10,7.37,7.10,7.10,5080,10.30,10.70,10.30,10.30,0,0,0
BRC,20120223,6.76,7.31,6.76,7.10,2730,9.80,10.60,9.80,10.30,0,0,0
BRC,20120224,6.96,7.10,6.76,6.76,31430,10.10,10.30,9.80,9.80,0,0,0
BRC,20120227,6.55,6.83,6.48,6.82,9570,9.50,9.90,9.40,9.90,0,0,0
BRC,20120228,6.54,6.54,6.54,6.55,1350,9.50,9.50,9.50,9.50,0,0,0
BRC,20120229,6.34,6.34,6.27,6.27,11020,9.20,9.20,9.10,9.10,0,0,0
BRC,20120301,6.06,6.41,5.99,6.41,24700,8.80,9.30,8.70,9.30,0,0,0
BRC,20120302,6.20,6.55,6.20,6.48,8770,9.00,9.50,9.00,9.40,0,0,0
BRC,20120305,6.62,6.76,6.62,6.76,30050,9.60,9.80,9.60,9.80,0,0,0
BRC,20120306,7.04,7.04,6.48,6.48,8220,10.20,10.20,9.40,9.40,0,0,0
BRC,20120307,6.48,6.55,6.48,6.48,17830,9.40,9.50,9.40,9.40,0,0,0
BRC,20120308,6.55,6.55,6.20,6.20,18040,9.50,9.50,9.00,9.00,0,0,0
BRC,20120309,6.06,6.27,6.06,6.27,2330,8.80,9.10,8.80,9.10,0,0,0
BRC,20120312,6.20,6.48,5.99,6.20,28160,9.00,9.40,8.70,9.00,0,0,0
BRC,20120313,6.27,6.34,6.27,6.34,300,9.10,9.20,9.10,9.20,0,0,0
BRC,20120314,6.06,6.34,6.06,6.07,16210,8.80,9.20,8.80,8.80,0,0,0
BRC,20120315,5.86,6.14,5.79,6.13,18610,8.50,8.90,8.40,8.90,0,0,0
BRC,20120316,6.06,6.06,5.92,5.93,19310,8.80,8.80,8.60,8.60,0,0,0
BRC,20120319,6.07,6.21,5.93,6.20,24500,8.80,9.00,8.60,9.00,0,0,0
