<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BT6,20020418,4.81,4.81,4.81,4.81,37700,23.50,23.50,23.50,23.50,0,0,0
BT6,20020419,4.89,4.89,4.89,4.89,10000,23.90,23.90,23.90,23.90,0,0,0
BT6,20020422,4.97,4.97,4.97,4.97,25600,24.30,24.30,24.30,24.30,0,0,0
BT6,20020423,4.91,4.91,4.91,4.91,48200,24.00,24.00,24.00,24.00,0,0,0
BT6,20020424,4.99,4.99,4.99,4.99,7600,24.40,24.40,24.40,24.40,0,0,0
BT6,20020425,5.03,5.03,5.03,5.03,17600,24.60,24.60,24.60,24.60,0,0,0
BT6,20020426,5.11,5.11,5.11,5.11,20000,25.00,25.00,25.00,25.00,0,0,0
BT6,20020502,5.21,5.21,5.21,5.21,2300,25.50,25.50,25.50,25.50,0,0,0
BT6,20020503,5.31,5.31,5.31,5.32,1700,26.00,26.00,26.00,26.00,0,0,0
BT6,20020506,5.42,5.42,5.42,5.42,500,26.50,26.50,26.50,26.50,0,0,0
BT6,20020507,5.32,5.32,5.32,5.32,21900,26.00,26.00,26.00,26.00,0,0,0
BT6,20020508,5.22,5.22,5.22,5.21,7900,25.50,25.50,25.50,25.50,0,0,0
BT6,20020509,5.31,5.31,5.31,5.32,3900,26.00,26.00,26.00,26.00,0,0,0
BT6,20020510,5.42,5.42,5.42,5.42,29800,26.50,26.50,26.50,26.50,0,0,0
BT6,20020513,5.32,5.32,5.32,5.32,7000,26.00,26.00,26.00,26.00,0,0,0
BT6,20020514,5.22,5.22,5.22,5.21,25500,25.50,25.50,25.50,25.50,0,0,0
BT6,20020515,5.25,5.25,5.25,5.26,2700,25.70,25.70,25.70,25.70,0,0,0
BT6,20020516,5.16,5.16,5.16,5.15,7200,25.20,25.20,25.20,25.20,0,0,0
BT6,20020517,5.21,5.21,5.21,5.21,4800,25.50,25.50,25.50,25.50,0,0,0
BT6,20020520,5.21,5.21,5.21,5.21,6300,25.50,25.50,25.50,25.50,0,0,0
BT6,20020521,5.21,5.21,5.21,5.21,13100,25.50,25.50,25.50,25.50,0,0,0
BT6,20020522,5.21,5.21,5.21,5.21,21500,25.50,25.50,25.50,25.50,0,0,0
BT6,20020523,5.21,5.21,5.21,5.21,10300,25.50,25.50,25.50,25.50,0,0,0
BT6,20020524,5.21,5.21,5.21,5.21,2100,25.50,25.50,25.50,25.50,0,0,0
BT6,20020527,5.15,5.15,5.15,5.15,8500,25.20,25.20,25.20,25.20,0,0,0
BT6,20020528,5.11,5.11,5.11,5.11,12700,25.00,25.00,25.00,25.00,0,0,0
BT6,20020529,5.11,5.11,5.11,5.11,1500,25.00,25.00,25.00,25.00,0,0,0
BT6,20020530,5.11,5.11,5.11,5.11,5600,25.00,25.00,25.00,25.00,0,0,0
BT6,20020531,5.15,5.15,5.15,5.15,13000,25.20,25.20,25.20,25.20,0,0,0
BT6,20020603,5.21,5.21,5.21,5.21,10800,25.50,25.50,25.50,25.50,0,0,0
BT6,20020604,5.11,5.11,5.11,5.11,3600,25.00,25.00,25.00,25.00,0,0,0
BT6,20020605,5.01,5.01,5.01,5.01,8200,24.50,24.50,24.50,24.50,0,0,0
BT6,20020606,5.01,5.01,5.01,5.01,5000,24.50,24.50,24.50,24.50,0,0,0
BT6,20020607,4.93,4.93,4.93,4.93,10100,24.10,24.10,24.10,24.10,0,0,0
BT6,20020610,4.93,4.93,4.93,4.93,16300,24.10,24.10,24.10,24.10,0,0,0
BT6,20020611,5.01,5.01,5.01,5.01,300,24.50,24.50,24.50,24.50,0,0,0
BT6,20020612,4.99,4.99,4.99,4.99,9500,24.40,24.40,24.40,24.40,0,0,0
BT6,20020613,4.91,4.91,4.91,4.91,2600,24.00,24.00,24.00,24.00,0,0,0
BT6,20020614,4.83,4.83,4.83,4.83,6300,23.60,23.60,23.60,23.60,0,0,0
BT6,20020617,4.77,4.77,4.77,4.76,4400,23.30,23.30,23.30,23.30,0,0,0
BT6,20020618,4.68,4.68,4.68,4.68,1300,22.90,22.90,22.90,22.90,0,0,0
BT6,20020619,4.60,4.60,4.60,4.60,1400,22.50,22.50,22.50,22.50,0,0,0
BT6,20020620,4.52,4.52,4.52,4.52,18000,22.10,22.10,22.10,22.10,0,0,0
BT6,20020621,4.60,4.60,4.60,4.60,8500,22.50,22.50,22.50,22.50,0,0,0
BT6,20020624,4.68,4.68,4.68,4.68,2700,22.90,22.90,22.90,22.90,0,0,0
BT6,20020625,4.76,4.76,4.76,4.76,6100,23.30,23.30,23.30,23.30,0,0,0
BT6,20020626,4.70,4.70,4.70,4.70,9300,23.00,23.00,23.00,23.00,0,0,0
BT6,20020627,4.74,4.74,4.74,4.74,5600,23.20,23.20,23.20,23.20,0,0,0
BT6,20020628,4.74,4.74,4.74,4.74,8200,23.20,23.20,23.20,23.20,0,0,0
