<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BVG,20100809,22.70,23.40,20.10,20.20,13900,22.70,23.40,20.10,20.20,0,0,0
BVG,20100810,21.10,21.10,19.60,19.60,17800,21.10,21.10,19.60,19.60,0,0,0
BVG,20100811,19.70,19.70,18.60,18.60,59800,19.70,19.70,18.60,18.60,0,0,0
BVG,20100812,20.00,20.00,17.50,17.50,23000,20.00,20.00,17.50,17.50,0,0,0
BVG,20100813,17.50,17.50,17.50,17.50,700,17.50,17.50,17.50,17.50,0,0,0
BVG,20100816,16.90,18.40,16.50,17.90,68500,16.90,18.40,16.50,17.90,0,0,0
BVG,20100817,17.10,17.20,16.00,16.00,59600,17.10,17.20,16.00,16.00,0,0,0
BVG,20100818,16.30,16.50,15.50,15.50,24800,16.30,16.50,15.50,15.50,0,0,0
BVG,20100819,15.80,16.00,15.00,15.00,25700,15.80,16.00,15.00,15.00,0,0,0
BVG,20100820,15.90,15.90,15.20,15.90,21200,15.90,15.90,15.20,15.90,0,0,0
BVG,20100823,16.00,16.00,15.30,15.30,39700,16.00,16.00,15.30,15.30,0,0,0
BVG,20100824,15.50,15.50,14.50,14.50,4600,15.50,15.50,14.50,14.50,0,0,0
BVG,20100825,14.00,14.00,13.80,13.80,17100,14.00,14.00,13.80,13.80,0,0,0
BVG,20100826,13.90,14.00,13.00,13.50,17300,13.90,14.00,13.00,13.50,0,0,0
BVG,20100827,13.90,14.00,12.70,12.70,12000,13.90,14.00,12.70,12.70,0,0,0
BVG,20100830,14.10,14.10,14.00,14.10,28000,14.10,14.10,14.00,14.10,0,0,0
BVG,20100831,14.90,15.00,14.70,15.00,45100,14.90,15.00,14.70,15.00,0,0,0
BVG,20100901,15.80,15.80,15.00,15.00,18700,15.80,15.80,15.00,15.00,0,0,0
BVG,20100906,15.40,16.10,15.40,16.10,35800,15.40,16.10,15.40,16.10,0,0,0
BVG,20100907,15.80,16.00,15.00,15.80,23700,15.80,16.00,15.00,15.80,0,0,0
BVG,20100908,14.70,15.00,14.70,14.70,24000,14.70,15.00,14.70,14.70,0,0,0
BVG,20100909,13.90,14.90,13.70,14.90,156900,13.90,14.90,13.70,14.90,0,0,116000
BVG,20100910,14.80,14.80,14.80,14.80,86900,14.80,14.80,14.80,14.80,0,0,0
BVG,20100913,15.80,15.80,15.10,15.80,124000,15.80,15.80,15.10,15.80,0,0,0
BVG,20100914,16.90,16.90,16.70,16.90,55200,16.90,16.90,16.70,16.90,0,0,0
BVG,20100915,17.70,17.70,16.00,16.30,112500,17.70,17.70,16.00,16.30,0,0,0
BVG,20100916,16.10,16.10,15.20,15.50,33800,16.10,16.10,15.20,15.50,0,0,0
BVG,20100917,15.80,16.50,15.80,16.50,80200,15.80,16.50,15.80,16.50,0,0,0
BVG,20100920,16.20,17.00,15.80,15.80,91700,16.20,17.00,15.80,15.80,0,0,0
BVG,20100921,15.50,16.00,15.50,15.70,23800,15.50,16.00,15.50,15.70,0,0,0
BVG,20100922,15.80,15.80,14.90,15.00,80500,15.80,15.80,14.90,15.00,0,0,0
BVG,20100923,15.30,15.50,14.70,15.20,39000,15.30,15.50,14.70,15.20,0,100,0
BVG,20100924,15.60,15.60,14.90,15.10,92700,15.60,15.60,14.90,15.10,0,0,0
BVG,20100927,15.80,15.80,15.00,15.20,145200,15.80,15.80,15.00,15.20,0,0,0
BVG,20100928,15.60,15.60,14.70,14.70,44800,15.60,15.60,14.70,14.70,0,0,0
BVG,20100929,15.00,15.00,14.00,14.10,58400,15.00,15.00,14.00,14.10,0,0,0
BVG,20100930,14.50,15.00,14.50,15.00,72000,14.50,15.00,14.50,15.00,0,0,0
BVG,20101001,15.50,15.50,14.30,14.50,53200,15.50,15.50,14.30,14.50,0,0,0
BVG,20101004,13.80,14.40,13.60,13.90,56900,13.80,14.40,13.60,13.90,0,0,0
BVG,20101005,14.00,14.80,13.70,14.10,68600,14.00,14.80,13.70,14.10,0,0,0
BVG,20101006,14.70,14.70,14.00,14.40,5100,14.70,14.70,14.00,14.40,0,0,0
BVG,20101007,14.80,14.80,14.00,14.20,83200,14.80,14.80,14.00,14.20,0,0,0
BVG,20101008,14.40,14.40,13.50,13.50,64200,14.40,14.40,13.50,13.50,0,0,0
BVG,20101011,13.60,14.30,13.60,13.90,60300,13.60,14.30,13.60,13.90,0,0,0
BVG,20101012,13.70,13.70,13.40,13.70,17300,13.70,13.70,13.40,13.70,0,0,0
BVG,20101013,14.00,14.00,13.60,13.70,3000,14.00,14.00,13.60,13.70,0,0,0
BVG,20101014,13.70,14.00,13.60,13.90,77000,13.70,14.00,13.60,13.90,0,0,0
BVG,20101015,13.70,14.20,13.70,14.00,112100,13.70,14.20,13.70,14.00,0,0,0
BVG,20101018,14.20,14.40,13.90,14.00,59700,14.20,14.40,13.90,14.00,0,0,0
BVG,20101019,14.40,14.40,13.70,13.80,24800,14.40,14.40,13.70,13.80,0,7000,0
BVG,20101020,13.80,13.80,13.10,13.40,14500,13.80,13.80,13.10,13.40,0,700,0
BVG,20101021,13.50,13.70,13.20,13.40,73000,13.50,13.70,13.20,13.40,0,0,0
BVG,20101022,13.70,13.80,13.00,13.00,90500,13.70,13.80,13.00,13.00,0,0,0
BVG,20101025,13.60,13.70,13.00,13.20,51000,13.60,13.70,13.00,13.20,0,0,0
BVG,20101026,13.80,14.10,13.30,14.10,112600,13.80,14.10,13.30,14.10,0,0,0
BVG,20101027,14.70,14.80,13.60,13.70,172800,14.70,14.80,13.60,13.70,0,0,0
BVG,20101028,14.00,14.30,13.80,13.80,158600,14.00,14.30,13.80,13.80,0,0,0
BVG,20101029,14.20,14.30,13.80,13.90,125900,14.20,14.30,13.80,13.90,0,0,0
BVG,20101101,14.10,14.30,14.00,14.00,126800,14.10,14.30,14.00,14.00,0,0,0
BVG,20101102,14.00,14.10,13.70,13.90,122600,14.00,14.10,13.70,13.90,0,0,0
