<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CJC,20061214,21.15,21.15,12.69,13.45,1100,50.00,50.00,30.00,31.80,10000,0,0
CJC,20061215,13.96,13.96,13.96,13.96,500,33.00,33.00,33.00,33.00,0,0,0
CJC,20061218,14.81,14.81,14.81,14.81,1000,35.00,35.00,35.00,35.00,0,0,0
CJC,20061219,15.23,16.29,14.81,16.29,1700,36.00,38.50,35.00,38.50,0,0,0
CJC,20061220,16.84,16.84,16.84,16.84,1200,39.80,39.80,39.80,39.80,0,0,0
CJC,20061221,17.69,17.77,17.69,17.77,1100,41.80,42.00,41.80,42.00,0,0,0
CJC,20061227,19.46,19.46,17.35,17.35,600,46.00,46.00,41.00,41.00,0,0,0
CJC,20070118,17.22,17.22,17.22,17.22,200,40.70,40.70,40.70,40.70,0,0,0
CJC,20070119,15.53,15.53,15.53,15.53,1100,36.70,36.70,36.70,36.70,0,0,0
CJC,20070122,14.18,14.18,14.18,14.17,600,33.50,33.50,33.50,33.50,0,0,0
CJC,20070125,12.77,12.86,12.77,12.86,2000,30.20,30.40,30.20,30.40,0,0,0
CJC,20070126,12.73,12.73,11.68,11.68,800,30.10,30.10,27.60,27.60,0,0,0
CJC,20070129,11.00,11.00,11.00,11.00,100,26.00,26.00,26.00,26.00,0,0,0
CJC,20070131,12.10,12.10,12.10,12.10,2500,28.60,28.60,28.60,28.60,0,0,0
CJC,20070201,13.28,13.28,13.28,13.28,1000,31.40,31.40,31.40,31.40,0,0,0
CJC,20070202,14.17,14.17,14.17,14.17,1000,33.50,33.50,33.50,33.50,0,0,0
CJC,20070205,14.64,15.57,13.75,13.75,3200,34.60,36.80,32.50,32.50,0,0,0
CJC,20070206,15.70,15.70,15.65,15.65,1100,37.10,37.10,37.00,37.00,0,0,0
