<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CMT,20100311,52.31,52.31,40.10,43.59,82450,60.00,60.00,46.00,50.00,0,1110,0
CMT,20100312,42.28,42.28,41.41,41.41,54030,48.50,48.50,47.50,47.50,300000,150,0
CMT,20100315,41.41,43.42,41.41,43.41,165570,47.50,49.80,47.50,49.80,70000,0,0
CMT,20100316,45.33,45.33,45.33,45.33,20000,52.00,52.00,52.00,52.00,165000,0,0
CMT,20100317,47.51,47.51,45.33,47.51,100940,54.50,54.50,52.00,54.50,160000,200,0
CMT,20100318,49.69,49.69,49.69,49.69,297180,57.00,57.00,57.00,57.00,200000,0,0
CMT,20100319,51.87,51.87,51.87,51.87,86310,59.50,59.50,59.50,59.50,0,0,0
CMT,20100322,52.31,52.31,49.69,49.69,39140,60.00,60.00,57.00,57.00,140000,0,0
CMT,20100323,50.13,51.87,48.38,51.87,86590,57.50,59.50,55.50,59.50,0,0,0
CMT,20100324,51.87,52.31,50.56,52.31,52390,59.50,60.00,58.00,60.00,0,0,0
CMT,20100325,52.31,52.31,49.69,49.69,55270,60.00,60.00,57.00,57.00,0,0,0
CMT,20100326,47.95,50.13,47.51,50.13,51810,55.00,57.50,54.50,57.50,0,0,0
CMT,20100329,50.13,50.13,47.95,47.95,35400,57.50,57.50,55.00,55.00,0,4000,0
CMT,20100330,48.82,48.82,47.51,48.38,45040,56.00,56.00,54.50,55.50,0,0,0
CMT,20100331,48.38,49.25,47.94,49.25,83600,55.50,56.50,55.00,56.50,0,0,0
CMT,20100401,50.56,51.43,49.69,51.43,162500,58.00,59.00,57.00,59.00,20000,1000,0
CMT,20100402,51.43,53.61,51.43,53.61,98990,59.00,61.50,59.00,61.50,0,0,0
CMT,20100405,55.35,56.23,54.48,56.23,89960,63.50,64.50,62.50,64.50,0,0,0
CMT,20100406,54.49,56.67,53.61,53.61,87050,62.50,65.00,61.50,61.50,0,0,0
CMT,20100407,54.05,56.23,53.17,56.23,143710,62.00,64.50,61.00,64.50,0,0,0
CMT,20100408,57.10,57.97,55.79,57.10,167670,65.50,66.50,64.00,65.50,0,0,0
CMT,20100409,56.23,56.23,54.48,55.79,104130,64.50,64.50,62.50,64.00,0,0,1000
CMT,20100412,55.79,55.79,53.17,53.18,84330,64.00,64.00,61.00,61.00,0,800,0
CMT,20100413,53.18,53.18,51.00,51.00,66160,61.00,61.00,58.50,58.50,0,0,4000
CMT,20100414,51.00,52.74,51.00,51.43,129620,58.50,60.50,58.50,59.00,0,0,0
CMT,20100415,51.43,51.87,50.56,51.43,50600,59.00,59.50,58.00,59.00,0,0,0
CMT,20100416,51.43,51.43,49.25,49.69,81170,59.00,59.00,56.50,57.00,0,750,0
CMT,20100419,48.82,49.25,47.95,48.82,57950,56.00,56.50,55.00,56.00,0,0,0
CMT,20100420,50.56,50.56,48.38,48.38,59310,58.00,58.00,55.50,55.50,0,0,0
CMT,20100421,49.25,50.56,48.38,50.56,115820,56.50,58.00,55.50,58.00,0,0,0
CMT,20100422,51.43,51.87,50.56,50.56,39100,59.00,59.50,58.00,58.00,0,16000,0
CMT,20100426,50.56,50.56,48.38,48.38,30780,58.00,58.00,55.50,55.50,0,0,0
CMT,20100427,48.38,48.82,48.38,48.38,32550,55.50,56.00,55.50,55.50,0,0,0
CMT,20100428,49.25,49.25,46.20,46.64,96390,56.50,56.50,53.00,53.50,0,1500,0
CMT,20100429,46.20,48.82,46.20,48.82,285100,53.00,56.00,53.00,56.00,0,0,1000
CMT,20100504,49.69,50.13,47.95,48.82,81190,57.00,57.50,55.00,56.00,0,1000,0
CMT,20100505,47.08,48.82,47.08,47.08,35650,54.00,56.00,54.00,54.00,0,0,0
CMT,20100506,47.08,49.26,47.08,47.95,96810,54.00,56.50,54.00,55.00,160000,2000,0
CMT,20100507,47.08,47.51,46.21,47.08,94350,54.00,54.50,53.00,54.00,20000,0,0
CMT,20100510,47.08,47.52,44.90,44.90,54830,54.00,54.50,51.50,51.50,852090,0,0
CMT,20100511,45.34,45.34,43.59,44.02,48130,52.00,52.00,50.00,50.50,116660,0,0
CMT,20100512,42.54,43.58,41.84,41.84,89900,48.80,50.00,48.00,48.00,0,2000,0
