<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CTS,20090731,23.95,25.18,19.77,21.62,2779800,35.00,36.80,28.90,31.60,0,0,0
CTS,20090803,21.55,22.10,21.14,21.48,1660200,31.50,32.30,30.90,31.40,5100,11800,0
CTS,20090804,21.89,22.85,21.89,22.57,1322000,32.00,33.40,32.00,33.00,115000,0,0
CTS,20090805,22.43,22.57,22.23,22.57,1493900,32.80,33.00,32.50,33.00,870000,0,0
CTS,20090806,22.36,22.57,21.48,21.62,1294700,32.70,33.00,31.40,31.60,0,0,0
CTS,20090807,21.35,21.89,20.87,21.07,871200,31.20,32.00,30.50,30.80,0,0,0
CTS,20090810,21.55,21.89,20.86,21.55,770600,31.50,32.00,30.50,31.50,0,100,0
CTS,20090811,21.41,21.41,20.87,21.21,693900,31.30,31.30,30.50,31.00,0,0,0
CTS,20090812,21.21,21.55,20.87,21.14,901700,31.00,31.50,30.50,30.90,0,2000,0
CTS,20090813,21.89,22.51,21.14,21.34,679300,32.00,32.90,30.90,31.20,0,0,0
CTS,20090814,21.34,21.61,20.79,21.14,450900,31.20,31.60,30.40,30.90,0,0,0
CTS,20090817,21.07,21.07,20.39,20.73,586800,30.80,30.80,29.80,30.30,0,0,0
CTS,20090818,20.18,20.39,19.77,20.18,748600,29.50,29.80,28.90,29.50,0,0,0
CTS,20090819,20.18,20.80,19.91,20.25,599500,29.50,30.40,29.10,29.60,0,0,0
CTS,20090820,20.25,20.25,19.63,19.84,673400,29.60,29.60,28.70,29.00,0,0,0
CTS,20090821,20.11,21.28,20.11,21.27,1389000,29.40,31.10,29.40,31.10,0,0,0
CTS,20090824,22.71,22.71,22.09,22.57,2087700,33.20,33.20,32.30,33.00,0,0,0
CTS,20090825,22.50,23.60,21.68,21.96,1111900,32.90,34.50,31.70,32.10,0,0,0
CTS,20090826,22.23,22.23,21.07,21.55,846300,32.50,32.50,30.80,31.50,0,0,0
CTS,20090827,21.41,21.55,21.00,21.55,817100,31.30,31.50,30.70,31.50,0,0,0
CTS,20090828,21.21,21.89,21.21,21.82,720600,31.00,32.00,31.00,31.90,0,0,0
CTS,20090831,21.75,22.44,21.75,22.03,796300,31.80,32.80,31.80,32.20,0,0,0
CTS,20090901,22.24,22.24,21.55,21.55,586100,32.50,32.50,31.50,31.50,0,0,100
CTS,20090903,21.21,21.76,20.87,21.34,721200,31.00,31.80,30.50,31.20,0,0,0
CTS,20090904,21.34,21.75,20.79,21.00,916700,31.20,31.80,30.40,30.70,5000,0,0
CTS,20090907,20.93,21.00,20.25,20.59,677300,30.60,30.70,29.60,30.10,0,100,0
CTS,20090908,20.52,21.27,20.52,21.14,524800,30.00,31.10,30.00,30.90,0,0,0
CTS,20090909,22.44,22.44,21.00,21.21,567700,32.80,32.80,30.70,31.00,0,0,0
CTS,20090910,21.35,21.35,20.73,20.93,294400,31.20,31.20,30.30,30.60,0,0,0
CTS,20090911,21.00,21.14,20.52,20.86,637600,30.70,30.90,30.00,30.50,0,0,0
CTS,20090914,20.72,20.93,20.45,20.66,625800,30.30,30.60,29.90,30.20,0,0,0
CTS,20090915,20.87,21.00,20.52,20.73,686800,30.50,30.70,30.00,30.30,0,0,0
CTS,20090916,20.87,21.21,20.73,20.86,895000,30.50,31.00,30.30,30.50,50000,0,0
CTS,20090917,21.20,21.20,20.31,20.45,1007100,31.00,31.00,29.70,29.90,0,0,0
CTS,20090918,20.59,20.59,19.83,20.25,1401900,30.10,30.10,29.00,29.60,7000,0,0
CTS,20090921,20.32,20.93,20.18,20.45,717900,29.70,30.60,29.50,29.90,0,0,0
CTS,20090922,20.52,21.00,20.04,20.86,1289900,30.00,30.70,29.30,30.50,0,9000,0
CTS,20090923,21.54,22.02,20.86,21.07,1737100,31.50,32.20,30.50,30.80,0,0,0
CTS,20090924,21.21,21.21,20.52,20.52,485400,31.00,31.00,30.00,30.00,10000,0,0
CTS,20090925,20.66,20.79,20.31,20.79,901300,30.20,30.40,29.70,30.40,0,0,0
CTS,20090928,22.02,22.02,20.72,21.00,1105400,32.20,32.20,30.30,30.70,0,0,0
CTS,20090929,21.55,21.55,20.59,20.59,793600,31.50,31.50,30.10,30.10,0,0,0
CTS,20090930,20.66,21.00,20.04,20.32,702300,30.20,30.70,29.30,29.70,0,0,0
CTS,20091001,20.11,20.18,19.64,19.63,705000,29.40,29.50,28.70,28.70,11900,0,0
CTS,20091002,19.15,19.49,18.47,18.88,1087100,28.00,28.50,27.00,27.60,0,0,0
CTS,20091005,18.47,19.43,18.40,18.54,524400,27.00,28.40,26.90,27.10,26000,0,0
CTS,20091006,19.16,19.16,18.54,18.61,338600,28.00,28.00,27.10,27.20,0,0,0
CTS,20091007,18.82,18.95,18.61,18.67,496100,27.50,27.70,27.20,27.30,0,400,0
CTS,20091008,18.67,18.67,18.19,18.40,650300,27.30,27.30,26.60,26.90,5200,0,0
CTS,20091009,18.47,18.81,18.47,18.81,599200,27.00,27.50,27.00,27.50,0,0,9000
CTS,20091012,19.15,19.49,18.88,19.15,506300,28.00,28.50,27.60,28.00,0,0,0
CTS,20091013,19.15,19.15,18.53,18.74,492700,28.00,28.00,27.10,27.40,0,100,0
CTS,20091014,18.81,19.77,18.47,19.36,869600,27.50,28.90,27.00,28.30,0,0,0
CTS,20091015,19.36,20.32,19.36,20.32,1471200,28.30,29.70,28.30,29.70,0,0,0
CTS,20091016,21.35,21.55,19.84,20.25,916200,31.20,31.50,29.00,29.60,0,100,0
CTS,20091019,19.09,20.32,19.09,19.50,352800,27.90,29.70,27.90,28.50,0,0,0
CTS,20091020,19.84,20.39,19.36,19.56,577800,29.00,29.80,28.30,28.60,0,0,0
CTS,20091021,19.63,19.63,18.81,19.08,678000,28.70,28.70,27.50,27.90,50000,0,0
CTS,20091022,19.01,19.83,18.87,19.29,744700,27.80,29.00,27.60,28.20,0,0,100
CTS,20091023,19.84,19.84,18.67,18.95,641300,29.00,29.00,27.30,27.70,5000,100,0
CTS,20091026,20.46,20.46,18.54,18.74,271900,29.90,29.90,27.10,27.40,30000,0,0
CTS,20091027,18.95,18.95,17.85,18.26,434000,27.70,27.70,26.10,26.70,0,0,0
CTS,20091028,18.12,18.60,17.78,18.26,313000,26.50,27.20,26.00,26.70,16000,100,0
CTS,20091029,17.78,17.78,17.03,17.24,583700,26.00,26.00,24.90,25.20,30000,500,100
CTS,20091030,17.99,18.33,17.31,17.44,399100,26.30,26.80,25.30,25.50,0,0,0
CTS,20091102,17.44,17.44,16.41,16.42,351500,25.50,25.50,24.00,24.00,0,300,0
CTS,20091103,15.74,16.76,15.39,15.39,334100,23.00,24.50,22.50,22.50,30000,300,0
CTS,20091104,15.73,16.07,15.46,15.66,462200,23.00,23.50,22.60,22.90,5000,100,0
CTS,20091105,15.73,16.21,15.59,16.21,371300,23.00,23.70,22.80,23.70,0,0,0
CTS,20091106,16.42,16.96,15.87,15.87,477900,24.00,24.80,23.20,23.20,8000,1200,0
CTS,20091109,16.08,16.08,15.32,15.32,172000,23.50,23.50,22.40,22.40,0,0,0
CTS,20091110,15.59,15.87,14.36,14.84,270700,22.80,23.20,21.00,21.70,0,0,0
CTS,20091111,15.05,15.32,14.57,15.19,312400,22.00,22.40,21.30,22.20,0,0,0
CTS,20091112,15.60,15.74,15.19,15.39,310800,22.80,23.00,22.20,22.50,0,0,0
CTS,20091113,15.53,15.53,14.91,15.19,190100,22.70,22.70,21.80,22.20,10000,0,0
CTS,20091116,15.26,15.33,14.51,14.91,166500,22.30,22.40,21.20,21.80,0,0,0
CTS,20091117,15.05,15.18,14.70,14.91,173200,22.00,22.20,21.50,21.80,0,300,0
CTS,20091118,14.91,15.05,14.57,14.98,236600,21.80,22.00,21.30,21.90,0,0,0
CTS,20091119,15.05,15.53,14.84,15.53,400400,22.00,22.70,21.70,22.70,0,0,0
CTS,20091120,15.39,15.60,15.05,15.19,241200,22.50,22.80,22.00,22.20,10000,0,0
CTS,20091123,15.19,15.26,14.57,14.64,179200,22.20,22.30,21.30,21.40,10000,0,0
CTS,20091124,14.78,14.85,14.09,14.23,223600,21.60,21.70,20.60,20.80,0,0,0
CTS,20091125,14.37,14.37,13.48,13.48,186300,21.00,21.00,19.70,19.70,10000,0,1000
CTS,20091126,13.00,13.00,12.66,12.65,99000,19.00,19.00,18.50,18.50,10000,0,0
CTS,20091127,11.83,13.40,11.83,12.45,486800,17.30,19.60,17.30,18.20,0,0,0
CTS,20091130,12.59,13.34,12.52,13.34,423600,18.40,19.50,18.30,19.50,0,0,0
CTS,20091201,13.68,13.89,13.34,13.89,247200,20.00,20.30,19.50,20.30,0,0,0
CTS,20091202,14.78,14.78,13.27,13.75,442800,21.60,21.60,19.40,20.10,0,0,0
CTS,20091203,13.07,14.02,13.07,13.54,195300,19.10,20.50,19.10,19.80,0,0,0
CTS,20091204,13.54,13.68,13.33,13.48,144500,19.80,20.00,19.50,19.70,0,0,0
CTS,20091207,13.41,13.75,13.27,13.41,124300,19.60,20.10,19.40,19.60,0,2400,0
CTS,20091208,13.48,13.48,12.66,12.86,166500,19.70,19.70,18.50,18.80,50000,0,0
CTS,20091209,12.31,12.31,11.97,11.97,308100,18.00,18.00,17.50,17.50,0,0,0
CTS,20091210,12.31,12.31,11.49,11.77,223900,18.00,18.00,16.80,17.20,8000,100,0
CTS,20091211,11.77,11.84,11.02,11.01,381400,17.20,17.30,16.10,16.10,0,0,0
CTS,20091214,11.08,11.90,11.08,11.90,270900,16.20,17.40,16.20,17.40,0,0,0
CTS,20091215,12.58,12.58,11.56,11.56,268800,18.40,18.40,16.90,16.90,143100,0,0
CTS,20091216,11.49,11.49,10.94,11.01,232100,16.80,16.80,16.00,16.10,0,0,0
CTS,20091217,10.46,11.22,10.46,11.08,229000,15.30,16.40,15.30,16.20,0,100,0
CTS,20091218,11.29,11.63,11.22,11.63,360100,16.50,17.00,16.40,17.00,0,100,100
CTS,20091221,12.38,12.38,11.77,12.38,438500,18.10,18.10,17.20,18.10,0,0,0
CTS,20091222,13.00,13.00,12.17,12.24,434600,19.00,19.00,17.80,17.90,0,0,0
CTS,20091223,11.97,12.99,11.76,12.65,433900,17.50,19.00,17.20,18.50,0,0,0
CTS,20091224,12.79,13.13,12.03,13.00,706700,18.70,19.20,17.60,19.00,68100,0,0
CTS,20091225,12.86,13.68,12.86,13.68,733700,18.80,20.00,18.80,20.00,0,0,0
CTS,20091228,14.02,14.36,12.86,13.00,343400,20.50,21.00,18.80,19.00,0,0,0
CTS,20091229,13.00,13.00,12.32,12.31,444700,19.00,19.00,18.00,18.00,68100,0,0
CTS,20091230,12.45,12.99,12.31,12.79,215100,18.20,19.00,18.00,18.70,0,0,0
CTS,20091231,13.34,13.54,12.79,12.93,455900,19.50,19.80,18.70,18.90,0,0,0
CTS,20100104,13.34,14.09,13.07,14.09,521700,19.50,20.60,19.10,20.60,0,0,0
CTS,20100105,14.91,14.91,14.50,14.91,818500,21.80,21.80,21.20,21.80,0,70000,0
CTS,20100106,15.05,15.73,14.23,14.84,953800,22.00,23.00,20.80,21.70,0,20000,0
CTS,20100107,14.98,15.25,14.36,14.43,501900,21.90,22.30,21.00,21.10,0,0,0
CTS,20100108,14.91,15.39,14.22,14.50,443600,21.80,22.50,20.80,21.20,0,0,0
CTS,20100111,14.77,14.77,13.88,13.95,259600,21.60,21.60,20.30,20.40,0,0,0
CTS,20100112,14.02,14.02,13.20,13.20,462800,20.50,20.50,19.30,19.30,0,0,0
CTS,20100113,12.99,14.02,12.58,13.61,501500,19.00,20.50,18.40,19.90,0,0,0
