<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DAE,20061228,3.89,4.15,3.89,4.07,3500,30.00,32.00,30.00,31.40,0,0,0
DAE,20061229,4.47,4.47,4.47,4.47,3000,34.50,34.50,34.50,34.50,0,0,0
DAE,20070102,4.03,4.03,4.03,4.03,300,31.10,31.10,31.10,31.10,0,0,0
DAE,20070108,3.63,3.63,3.63,3.63,3000,28.00,28.00,28.00,28.00,0,0,0
DAE,20070110,3.37,3.37,3.37,3.37,2000,26.00,26.00,26.00,26.00,0,0,0
DAE,20070111,3.31,3.31,3.03,3.03,2800,25.50,25.50,23.40,23.40,0,0,0
DAE,20070112,3.11,3.11,2.78,2.79,1000,24.00,24.00,21.50,21.50,0,0,0
DAE,20070115,2.79,2.79,2.79,2.79,1000,21.50,21.50,21.50,21.50,0,0,0
DAE,20070118,3.06,3.06,3.06,3.06,200,23.60,23.60,23.60,23.60,0,0,0
DAE,20070119,3.36,3.36,3.36,3.36,2000,25.90,25.90,25.90,25.90,0,0,0
DAE,20070122,3.68,3.68,3.68,3.68,5800,28.40,28.40,28.40,28.40,0,0,0
DAE,20070123,4.04,4.04,4.04,4.04,7300,31.20,31.20,31.20,31.20,0,0,0
DAE,20070124,4.44,4.44,4.27,4.44,24300,34.30,34.30,33.00,34.30,0,0,0
DAE,20070125,4.66,4.66,4.40,4.41,3700,36.00,36.00,34.00,34.00,0,0,0
DAE,20070126,4.09,4.09,4.09,4.08,500,31.50,31.50,31.50,31.50,0,0,0
DAE,20070129,3.89,4.27,3.89,4.28,2000,30.00,33.00,30.00,33.00,0,0,0
DAE,20070130,4.28,4.28,4.15,4.28,3900,33.00,33.00,32.00,33.00,0,0,0
DAE,20070131,4.42,4.42,4.34,4.34,4100,34.10,34.10,33.50,33.50,0,0,0
DAE,20070201,4.79,4.81,4.28,4.28,2900,37.00,37.10,33.00,33.00,0,0,0
DAE,20070202,4.70,4.70,4.67,4.66,2400,36.20,36.20,36.00,36.00,0,0,0
DAE,20070205,4.66,4.66,4.27,4.28,400,36.00,36.00,33.00,33.00,0,0,0
DAE,20070207,4.41,4.42,4.41,4.41,1700,34.00,34.10,34.00,34.00,0,0,0
DAE,20070208,3.97,4.02,3.97,4.02,500,30.60,31.00,30.60,31.00,0,0,0
DAE,20070212,3.75,4.00,3.75,4.00,800,29.00,30.90,29.00,30.90,0,0,0
DAE,20070213,3.94,4.01,3.94,4.02,1400,30.40,31.00,30.40,31.00,0,0,0
