<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DLR,20100520,28.33,28.33,25.98,26.22,25300,34.90,34.90,32.00,32.30,0,0,0
DLR,20100521,25.16,26.38,24.92,26.39,16100,31.00,32.50,30.70,32.50,0,0,0
DLR,20100524,23.55,23.55,23.47,23.46,4100,29.00,29.00,28.90,28.90,8000,0,0
DLR,20100525,21.92,21.92,21.84,21.84,6100,27.00,27.00,26.90,26.90,0,0,0
DLR,20100526,20.46,23.38,20.46,21.19,27800,25.20,28.80,25.20,26.10,0,0,0
DLR,20100527,21.92,23.06,21.92,22.98,12900,27.00,28.40,27.00,28.30,0,0,0
DLR,20100528,23.95,23.95,23.55,23.95,41300,29.50,29.50,29.00,29.50,0,0,0
DLR,20100531,23.87,25.49,23.87,23.87,4100,29.40,31.40,29.40,29.40,0,0,0
DLR,20100601,25.17,25.17,22.57,22.73,10900,31.00,31.00,27.80,28.00,0,0,0
DLR,20100602,22.73,23.38,22.73,22.81,8400,28.00,28.80,28.00,28.10,0,0,0
DLR,20100603,23.87,23.87,23.13,23.14,1600,29.40,29.40,28.50,28.50,0,0,0
DLR,20100604,22.57,22.73,22.25,22.25,7000,27.80,28.00,27.40,27.40,0,0,0
DLR,20100607,21.28,22.74,21.28,22.49,7700,26.20,28.00,26.20,27.70,150000,0,0
DLR,20100608,22.00,22.08,21.92,22.08,13800,27.10,27.20,27.00,27.20,0,0,0
DLR,20100609,22.73,22.73,22.65,22.65,700,28.00,28.00,27.90,27.90,0,0,0
DLR,20100610,21.35,22.73,21.27,22.73,2000,26.30,28.00,26.20,28.00,0,0,0
DLR,20100611,19.97,22.89,19.97,22.90,77700,24.60,28.20,24.60,28.20,0,0,0
DLR,20100614,24.20,24.20,24.20,24.19,3200,29.80,29.80,29.80,29.80,0,0,0
DLR,20100615,25.81,25.81,25.81,25.82,2900,31.80,31.80,31.80,31.80,8000,0,0
DLR,20100616,27.61,27.61,27.61,27.60,31200,34.00,34.00,34.00,34.00,5000,0,0
DLR,20100617,29.47,29.47,29.47,29.47,49400,36.30,36.30,36.30,36.30,5000,0,0
DLR,20100618,31.50,31.50,29.47,31.50,294300,38.80,38.80,36.30,38.80,85000,0,0
DLR,20100621,33.61,33.61,30.12,31.50,66900,41.40,41.40,37.10,38.80,0,0,0
DLR,20100622,31.66,31.66,30.20,30.20,66000,39.00,39.00,37.20,37.20,0,0,0
DLR,20100623,29.71,30.44,28.41,30.20,99500,36.60,37.50,35.00,37.20,0,0,0
DLR,20100624,30.04,30.85,30.04,30.85,219500,37.00,38.00,37.00,38.00,0,0,0
DLR,20100625,32.39,32.96,30.12,32.96,264900,39.90,40.60,37.10,40.60,0,0,0
DLR,20100628,33.61,35.07,32.96,35.07,160900,41.40,43.20,40.60,43.20,0,0,0
DLR,20100629,34.99,37.42,34.10,37.43,223100,43.10,46.10,42.00,46.10,0,0,0
DLR,20100630,38.97,38.97,34.59,35.24,114200,48.00,48.00,42.60,43.40,0,0,0
DLR,20100701,34.10,37.92,33.05,36.62,437000,42.00,46.70,40.70,45.10,0,0,0
DLR,20100702,37.35,37.84,35.73,35.89,269000,46.00,46.60,44.00,44.20,0,0,0
DLR,20100705,36.78,36.78,34.92,35.64,171500,45.30,45.30,43.00,43.90,0,1000,0
DLR,20100706,35.72,36.94,35.15,35.56,99600,44.00,45.50,43.30,43.80,5000,0,0
DLR,20100707,35.97,35.97,34.10,34.10,108400,44.30,44.30,42.00,42.00,0,0,0
DLR,20100708,32.96,35.72,32.96,34.51,105100,40.60,44.00,40.60,42.50,0,0,0
DLR,20100709,34.59,37.27,34.59,37.27,295800,42.60,45.90,42.60,45.90,0,0,0
DLR,20100712,39.54,39.54,34.92,39.54,276600,48.70,48.70,43.00,48.70,0,0,0
DLR,20100713,39.78,41.57,39.38,40.60,156700,49.00,51.20,48.50,50.00,0,0,0
DLR,20100714,42.22,43.04,38.98,40.43,215000,52.00,53.00,48.00,49.80,0,0,0
DLR,20100715,39.37,39.37,38.56,38.57,154600,48.50,48.50,47.50,47.50,17800,0,0
DLR,20100716,36.54,36.78,36.05,36.54,205800,45.00,45.30,44.40,45.00,0,0,0
DLR,20100719,37.35,38.73,37.35,37.92,166400,46.00,47.70,46.00,46.70,0,0,0
DLR,20100720,39.71,39.71,36.05,36.54,66600,48.90,48.90,44.40,45.00,0,0,0
DLR,20100721,35.73,36.54,34.51,35.72,92200,44.00,45.00,42.50,44.00,0,0,0
DLR,20100722,35.31,36.13,32.88,33.86,111000,43.50,44.50,40.50,41.70,0,0,0
DLR,20100723,33.37,35.73,31.34,34.83,206400,41.10,44.00,38.60,42.90,0,5000,0
DLR,20100726,36.05,36.29,34.51,34.91,52500,44.40,44.70,42.50,43.00,10000,4500,0
DLR,20100727,35.32,35.72,34.83,35.64,83100,43.50,44.00,42.90,43.90,0,0,0
DLR,20100728,35.96,35.96,33.94,34.18,61000,44.30,44.30,41.80,42.10,0,3000,0
DLR,20100729,33.77,34.91,33.61,34.10,77000,41.60,43.00,41.40,42.00,0,0,0
DLR,20100730,34.83,34.83,33.61,33.86,54600,42.90,42.90,41.40,41.70,10000,0,0
DLR,20100802,33.29,33.94,32.80,33.04,30400,41.00,41.80,40.40,40.70,0,0,0
DLR,20100803,32.88,32.88,32.55,32.72,18600,40.50,40.50,40.10,40.30,0,0,0
DLR,20100804,31.66,31.66,30.53,31.58,30400,39.00,39.00,37.60,38.90,0,0,0
DLR,20100805,31.17,31.66,29.23,29.96,128800,38.40,39.00,36.00,36.90,0,0,0
DLR,20100806,28.58,29.80,28.42,29.39,32200,35.20,36.70,35.00,36.20,9000,0,0
DLR,20100809,30.69,30.69,27.69,27.69,65600,37.80,37.80,34.10,34.10,0,0,0
DLR,20100810,29.15,29.15,26.72,27.60,73600,35.90,35.90,32.90,34.00,0,0,0
DLR,20100811,27.44,29.30,27.44,29.31,34400,33.80,36.10,33.80,36.10,30000,2000,0
DLR,20100812,27.12,28.58,27.04,27.04,87800,33.40,35.20,33.30,33.30,0,0,0
