<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
FCN,20120724,7.76,8.08,7.76,7.76,239650,19.20,20.00,19.20,19.20,0,0,0
FCN,20120725,7.40,7.40,7.40,7.40,10970,18.30,18.30,18.30,18.30,0,0,0
FCN,20120726,7.40,7.40,7.04,7.07,159640,18.30,18.30,17.40,17.50,0,5010,0
FCN,20120727,7.19,7.19,6.79,6.79,120970,17.80,17.80,16.80,16.80,0,30010,0
FCN,20120730,6.79,7.11,6.75,7.11,172060,16.80,17.60,16.70,17.60,0,3000,0
FCN,20120731,7.43,7.43,7.07,7.16,339380,18.40,18.40,17.50,17.70,0,920,0
FCN,20120801,7.16,7.32,7.04,7.20,39910,17.70,18.10,17.40,17.80,0,5000,0
FCN,20120802,7.28,7.28,7.12,7.11,26710,18.00,18.00,17.60,17.60,0,1600,0
FCN,20120803,7.19,7.27,7.11,7.28,24420,17.80,18.00,17.60,18.00,0,0,0
FCN,20120806,7.36,7.44,7.20,7.28,124650,18.20,18.40,17.80,18.00,0,2510,0
FCN,20120807,7.28,7.32,7.08,7.07,125880,18.00,18.10,17.50,17.50,0,900,0
FCN,20120808,7.23,7.23,7.03,7.11,27100,17.90,17.90,17.40,17.60,482000,0,10
FCN,20120809,6.99,7.19,6.99,7.20,68540,17.30,17.80,17.30,17.80,68180,0,0
FCN,20120810,7.20,7.20,7.08,7.11,101720,17.80,17.80,17.50,17.60,50000,5000,0
FCN,20120813,7.19,7.43,7.19,7.44,435250,17.80,18.40,17.80,18.40,80000,0,10
FCN,20120814,7.48,7.80,7.48,7.80,311940,18.50,19.30,18.50,19.30,100850,8050,10
FCN,20120815,8.04,8.04,7.60,7.68,82540,19.90,19.90,18.80,19.00,80000,0,0
FCN,20120816,7.68,7.88,7.64,7.68,64250,19.00,19.50,18.90,19.00,0,0,0
FCN,20120817,7.68,8.04,7.68,8.04,310560,19.00,19.90,19.00,19.90,0,0,0
FCN,20120820,8.12,8.40,8.12,8.41,358040,20.10,20.80,20.10,20.80,260000,0,0
FCN,20120821,8.01,8.41,8.01,8.00,444030,19.80,20.80,19.80,19.80,0,0,0
FCN,20120822,7.64,7.96,7.64,7.64,453090,18.90,19.70,18.90,18.90,0,32000,0
FCN,20120823,7.32,7.32,7.28,7.28,99190,18.10,18.10,18.00,18.00,0,900,0
FCN,20120824,6.92,7.60,6.92,7.20,503710,17.10,18.80,17.10,17.80,0,81310,0
FCN,20120827,7.08,7.08,6.88,6.87,138630,17.50,17.50,17.00,17.00,0,0,0
FCN,20120828,6.79,7.03,6.59,7.03,116180,16.80,17.40,16.30,17.40,0,25000,0
FCN,20120829,7.23,7.35,7.23,7.36,139960,17.90,18.20,17.90,18.20,0,3000,0
FCN,20120830,7.36,7.64,7.32,7.32,221560,18.20,18.90,18.10,18.10,0,800,0
FCN,20120831,7.44,7.44,7.20,7.28,89890,18.40,18.40,17.80,18.00,20000,0,0
FCN,20120904,7.40,7.52,7.36,7.40,27370,18.30,18.60,18.20,18.30,0,0,0
FCN,20120905,7.44,7.48,7.16,7.16,91220,18.40,18.50,17.70,17.70,0,5000,0
FCN,20120906,6.96,7.20,6.96,7.07,55650,17.20,17.80,17.20,17.50,0,0,0
FCN,20120907,7.07,7.11,6.95,7.07,90780,17.50,17.60,17.20,17.50,0,0,0
FCN,20120910,7.07,7.07,6.75,6.75,251110,17.50,17.50,16.70,16.70,0,0,0
FCN,20120911,6.79,6.95,6.75,6.95,35290,16.80,17.20,16.70,17.20,0,0,0
FCN,20120912,6.95,7.07,6.95,6.95,27320,17.20,17.50,17.20,17.20,0,0,0
FCN,20120913,6.99,7.07,6.91,7.03,26650,17.30,17.50,17.10,17.40,0,0,0
FCN,20120914,7.15,7.35,7.07,7.36,191670,17.70,18.20,17.50,18.20,0,0,20000
FCN,20120917,7.44,7.44,7.20,7.20,42850,18.40,18.40,17.80,17.80,0,0,0
FCN,20120918,7.20,7.28,6.96,7.28,78310,17.80,18.00,17.20,18.00,0,0,0
FCN,20120919,7.24,7.24,7.00,6.99,34090,17.90,17.90,17.30,17.30,0,0,0
FCN,20120920,6.99,6.99,6.67,6.87,314440,17.30,17.30,16.50,17.00,0,2000,0
FCN,20120921,7.03,7.03,6.83,6.91,19660,17.40,17.40,16.90,17.10,0,0,0
FCN,20120924,6.87,6.87,6.75,6.79,19960,17.00,17.00,16.70,16.80,0,0,0
FCN,20120925,6.71,6.83,6.67,6.75,28310,16.60,16.90,16.50,16.70,0,0,0
FCN,20120926,6.79,6.83,6.67,6.67,29670,16.80,16.90,16.50,16.50,0,0,0
FCN,20120927,6.67,6.79,6.63,6.79,80410,16.50,16.80,16.40,16.80,0,0,0
FCN,20120928,6.83,6.87,6.75,6.83,20390,16.90,17.00,16.70,16.90,0,0,0
FCN,20121001,6.87,6.87,6.59,6.75,43920,17.00,17.00,16.30,16.70,0,0,0
FCN,20121002,6.63,6.71,6.63,6.71,20030,16.40,16.60,16.40,16.60,0,0,0
FCN,20121003,6.67,6.79,6.67,6.71,17490,16.50,16.80,16.50,16.60,0,0,0
FCN,20121004,6.59,6.91,6.59,6.71,9920,16.30,17.10,16.30,16.60,0,0,0
FCN,20121005,6.67,6.79,6.63,6.63,28910,16.50,16.80,16.40,16.40,0,0,0
FCN,20121008,6.71,6.79,6.67,6.71,18280,16.60,16.80,16.50,16.60,0,0,0
FCN,20121009,6.79,6.79,6.67,6.71,63960,16.80,16.80,16.50,16.60,0,0,0
FCN,20121010,6.71,6.87,6.71,6.71,62540,16.60,17.00,16.60,16.60,0,0,0
FCN,20121011,6.87,7.03,6.79,6.87,57260,17.00,17.40,16.80,17.00,0,0,0
