<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HCM,20090519,8.42,8.42,8.42,8.42,40,32.40,32.40,32.40,32.40,0,0,0
HCM,20090520,8.84,8.84,8.84,8.84,20,34.00,34.00,34.00,34.00,1128040,0,0
HCM,20090521,9.28,9.28,9.28,9.28,10,35.70,35.70,35.70,35.70,0,0,0
HCM,20090522,9.72,9.72,9.72,9.72,500,37.40,37.40,37.40,37.40,0,0,0
HCM,20090525,10.19,10.19,10.19,10.19,10,39.20,39.20,39.20,39.20,0,0,0
HCM,20090526,10.68,10.68,10.68,10.69,10,41.10,41.10,41.10,41.10,207000,0,0
HCM,20090527,11.21,11.21,11.21,11.20,16040,43.10,43.10,43.10,43.10,0,0,0
HCM,20090528,11.75,11.75,11.75,11.75,21900,45.20,45.20,45.20,45.20,0,3500,0
HCM,20090529,12.32,12.32,12.32,12.32,25850,47.40,47.40,47.40,47.40,20000,0,0
HCM,20090601,12.92,12.92,12.92,12.92,61090,49.70,49.70,49.70,49.70,0,0,0
HCM,20090602,13.52,13.52,13.52,13.52,16350,52.00,52.00,52.00,52.00,40000,0,0
HCM,20090603,14.17,14.17,14.17,14.17,41500,54.50,54.50,54.50,54.50,85000,0,0
HCM,20090604,14.82,14.82,14.82,14.82,161220,57.00,57.00,57.00,57.00,0,10000,0
HCM,20090605,15.47,15.47,15.47,15.47,500,59.50,59.50,59.50,59.50,20000,0,0
HCM,20090608,16.12,16.12,16.12,16.12,55600,62.00,62.00,62.00,62.00,0,19900,0
HCM,20090609,16.90,16.90,16.90,16.90,166030,65.00,65.00,65.00,65.00,0,0,0
HCM,20090610,17.68,17.68,17.68,17.68,333800,68.00,68.00,68.00,68.00,0,0,0
HCM,20090611,18.46,18.46,18.20,18.46,909580,71.00,71.00,70.00,71.00,0,37100,0
HCM,20090612,19.37,19.37,19.37,19.37,15670,74.50,74.50,74.50,74.50,0,0,0
HCM,20090615,20.28,20.28,20.02,20.28,858330,78.00,78.00,77.00,78.00,0,25850,0
HCM,20090616,19.76,20.28,19.37,19.37,192300,76.00,78.00,74.50,74.50,0,5000,0
HCM,20090617,18.46,18.46,18.46,18.46,87640,71.00,71.00,71.00,71.00,0,1520,600
HCM,20090618,19.24,19.24,17.55,17.68,870410,74.00,74.00,67.50,68.00,725810,1300,93480
HCM,20090619,17.94,17.94,16.90,17.29,387420,69.00,69.00,65.00,66.50,0,78200,5000
HCM,20090622,16.51,16.64,16.51,16.51,331730,63.50,64.00,63.50,63.50,23000,125000,2000
HCM,20090623,15.73,15.73,15.73,15.73,193580,60.50,60.50,60.50,60.50,0,152300,0
HCM,20090624,16.51,16.51,16.38,16.51,694930,63.50,63.50,63.00,63.50,0,48500,0
HCM,20090625,17.03,17.03,15.73,15.73,337330,65.50,65.50,60.50,60.50,0,43040,0
HCM,20090626,15.08,16.12,15.08,15.60,330390,58.00,62.00,58.00,60.00,0,6130,3300
HCM,20090629,15.86,16.38,15.73,16.38,297910,61.00,63.00,60.50,63.00,0,20,0
HCM,20090630,16.38,16.38,15.60,15.60,250170,63.00,63.00,60.00,60.00,0,90000,0
HCM,20090701,14.82,14.82,14.82,14.82,261330,57.00,57.00,57.00,57.00,0,71590,7800
HCM,20090702,14.56,15.08,14.17,14.69,347590,56.00,58.00,54.50,56.50,0,29990,1300
HCM,20090703,14.17,14.56,14.04,14.30,329670,54.50,56.00,54.00,55.00,0,50520,0
HCM,20090706,14.56,14.95,14.56,14.95,218360,56.00,57.50,56.00,57.50,0,7160,0
HCM,20090707,14.82,15.21,14.56,14.95,153750,57.00,58.50,56.00,57.50,0,1900,0
HCM,20090708,14.95,15.60,14.95,15.60,407630,57.50,60.00,57.50,60.00,0,2240,2500
HCM,20090709,16.12,16.38,15.86,16.38,399850,62.00,63.00,61.00,63.00,0,4580,31000
HCM,20090710,16.38,16.38,15.60,15.60,301710,63.00,63.00,60.00,60.00,0,27000,10960
HCM,20090713,15.60,15.60,14.82,14.82,166480,60.00,60.00,57.00,57.00,0,28260,1000
HCM,20090714,14.82,14.82,14.30,14.43,206630,57.00,57.00,55.00,55.50,0,28600,0
HCM,20090715,14.56,15.08,14.43,15.08,155010,56.00,58.00,55.50,58.00,0,26400,240
HCM,20090716,15.73,15.73,15.34,15.60,226180,60.50,60.50,59.00,60.00,0,40940,2000
HCM,20090717,15.21,15.47,14.95,14.95,109340,58.50,59.50,57.50,57.50,0,0,0
HCM,20090720,14.56,14.56,14.30,14.30,126180,56.00,56.00,55.00,55.00,0,2000,3600
HCM,20090721,14.30,14.69,14.04,14.17,105350,55.00,56.50,54.00,54.50,0,0,2610
HCM,20090722,14.30,14.30,13.91,14.17,113980,55.00,55.00,53.50,54.50,0,29030,4800
HCM,20090723,13.91,14.82,13.78,14.82,125780,53.50,57.00,53.00,57.00,0,46450,6890
HCM,20090724,15.47,15.47,15.47,15.47,9480,59.50,59.50,59.50,59.50,0,0,0
HCM,20090727,16.12,16.12,16.12,16.12,74270,62.00,62.00,62.00,62.00,0,0,0
HCM,20090728,16.90,16.90,16.64,16.64,1179810,65.00,65.00,64.00,64.00,0,216650,71150
HCM,20090729,17.16,17.29,16.64,16.90,357910,66.00,66.50,64.00,65.00,0,168880,23660
HCM,20090730,16.38,16.77,16.25,16.38,153170,63.00,64.50,62.50,63.00,0,31350,500
HCM,20090731,16.77,17.16,16.64,17.16,211700,64.50,66.00,64.00,66.00,0,53100,20080
HCM,20090803,17.16,17.68,16.64,17.16,218920,66.00,68.00,64.00,66.00,0,51470,2500
HCM,20090804,17.68,17.81,17.42,17.68,279050,68.00,68.50,67.00,68.00,0,55890,25000
HCM,20090805,17.42,17.81,17.29,17.55,250320,67.00,68.50,66.50,67.50,0,57910,0
HCM,20090806,17.55,17.81,17.16,17.16,266100,67.50,68.50,66.00,66.00,0,610,2000
HCM,20090807,16.90,17.29,16.90,16.90,155730,65.00,66.50,65.00,65.00,0,310,0
HCM,20090810,16.90,17.68,16.90,17.42,181020,65.00,68.00,65.00,67.00,0,3210,2050
HCM,20090811,17.29,17.55,17.16,17.29,91000,66.50,67.50,66.00,66.50,0,120,500
HCM,20090812,17.55,17.68,17.03,17.03,164290,67.50,68.00,65.50,65.50,0,200,800
HCM,20090813,17.55,17.55,17.29,17.29,175780,67.50,67.50,66.50,66.50,0,3300,100
HCM,20090814,17.29,17.42,17.29,17.29,168930,66.50,67.00,66.50,66.50,0,6010,1130
HCM,20090817,17.29,17.29,16.77,16.77,98740,66.50,66.50,64.50,64.50,0,0,0
HCM,20090818,16.51,16.77,16.38,16.64,183000,63.50,64.50,63.00,64.00,0,0,5500
HCM,20090819,16.90,17.03,16.64,16.90,153710,65.00,65.50,64.00,65.00,0,1150,0
HCM,20090820,17.16,17.16,16.90,17.03,106110,66.00,66.00,65.00,65.50,0,0,1500
HCM,20090821,17.68,17.81,17.55,17.81,812500,68.00,68.50,67.50,68.50,0,28450,0
HCM,20090824,17.81,18.33,17.68,18.07,212470,68.50,70.50,68.00,69.50,24500,7200,0
HCM,20090825,17.81,18.07,17.55,17.68,166120,68.50,69.50,67.50,68.00,0,7300,0
HCM,20090826,17.68,17.81,17.42,17.42,137800,68.00,68.50,67.00,67.00,0,0,0
HCM,20090827,17.42,17.42,17.16,17.29,222860,67.00,67.00,66.00,66.50,30000,34000,1470
HCM,20090828,17.55,17.55,17.29,17.42,213540,67.50,67.50,66.50,67.00,0,0,500
HCM,20090831,17.94,18.20,17.81,18.20,588590,69.00,70.00,68.50,70.00,0,5000,2000
HCM,20090901,19.11,19.11,18.20,19.11,553420,73.50,73.50,70.00,73.50,0,0,0
HCM,20090903,19.24,20.02,19.11,19.50,761530,74.00,77.00,73.50,75.00,0,3820,11000
HCM,20090904,19.37,19.63,18.59,18.59,396680,74.50,75.50,71.50,71.50,0,2000,39200
HCM,20090907,18.20,18.46,17.68,18.07,377780,70.00,71.00,68.00,69.50,0,20,85000
HCM,20090908,18.33,18.85,18.20,18.85,459940,70.50,72.50,70.00,72.50,0,100000,4800
HCM,20090909,19.11,19.11,18.46,18.72,245280,73.50,73.50,71.00,72.00,0,59160,2000
HCM,20090910,18.72,19.37,18.72,19.37,506290,72.00,74.50,72.00,74.50,0,59200,0
HCM,20090911,19.76,19.89,19.50,19.89,530400,76.00,76.50,75.00,76.50,0,130240,300
HCM,20090914,19.89,20.28,19.76,20.28,344610,76.50,78.00,76.00,78.00,0,125200,2660
HCM,20090915,20.80,20.93,20.28,20.93,556000,80.00,80.50,78.00,80.50,0,55550,20000
HCM,20090916,21.32,21.45,20.54,20.54,394850,82.00,82.50,79.00,79.00,0,11050,0
HCM,20090917,20.54,20.67,19.76,20.15,504140,79.00,79.50,76.00,77.50,0,50,0
HCM,20090918,19.89,20.28,19.89,20.28,955470,76.50,78.00,76.50,78.00,0,114700,0
HCM,20090921,20.41,20.67,20.41,20.41,354390,78.50,79.50,78.50,78.50,0,58300,0
HCM,20090922,20.41,21.32,20.28,21.19,698600,78.50,82.00,78.00,81.50,0,61770,0
HCM,20090923,22.23,22.23,21.32,21.45,790500,85.50,85.50,82.00,82.50,0,31100,10
HCM,20090924,21.06,21.45,20.80,21.06,336630,81.00,82.50,80.00,81.00,0,450,65200
HCM,20090925,20.80,21.32,20.67,21.32,369320,80.00,82.00,79.50,82.00,0,200,19000
HCM,20090928,22.36,22.36,21.58,22.23,747990,86.00,86.00,83.00,85.50,0,1300,51570
HCM,20090929,22.23,22.23,21.45,21.58,512080,85.50,85.50,82.50,83.00,0,1500,10000
