<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HLY,20061225,5.82,5.82,5.82,5.82,500,18.00,18.00,18.00,18.00,0,0,0
HLY,20061227,6.40,6.40,6.40,6.40,1000,19.80,19.80,19.80,19.80,0,0,0
HLY,20061228,6.76,6.76,6.40,6.50,1300,20.90,20.90,19.80,20.10,0,0,0
HLY,20070115,6.47,6.47,6.47,6.47,2000,20.00,20.00,20.00,20.00,0,0,0
HLY,20070118,6.41,6.41,6.41,6.40,1000,19.80,19.80,19.80,19.80,0,0,0
HLY,20070122,6.46,6.46,6.46,6.47,2700,20.00,20.00,20.00,20.00,0,0,0
HLY,20070123,6.79,6.79,6.63,6.63,1300,21.00,21.00,20.50,20.50,0,0,0
HLY,20070124,6.79,6.79,6.79,6.79,100,21.00,21.00,21.00,21.00,0,0,0
HLY,20070126,7.11,7.11,7.11,7.12,500,22.00,22.00,22.00,22.00,0,0,0
HLY,20070129,7.12,7.12,7.12,7.12,400,22.00,22.00,22.00,22.00,0,0,0
HLY,20070207,7.12,7.12,7.12,7.12,1000,22.00,22.00,22.00,22.00,0,0,0
HLY,20070208,7.12,7.12,7.12,7.12,2500,22.00,22.00,22.00,22.00,0,0,0
HLY,20070209,7.31,7.44,7.31,7.44,2900,22.60,23.00,22.60,23.00,0,0,0
HLY,20070214,7.44,8.09,7.44,8.09,200,23.00,25.00,23.00,25.00,0,0,0
HLY,20070215,8.54,8.54,8.54,8.54,1200,26.40,26.40,26.40,26.40,0,0,0
HLY,20070226,9.38,9.38,9.38,9.38,1600,29.00,29.00,29.00,29.00,0,0,0
HLY,20070227,10.32,10.32,10.32,10.32,600,31.90,31.90,31.90,31.90,0,0,0
HLY,20070228,11.32,11.32,11.32,11.32,200,35.00,35.00,35.00,35.00,0,0,0
HLY,20070301,12.45,12.45,12.45,12.45,300,38.50,38.50,38.50,38.50,0,0,0
HLY,20070302,13.68,13.68,13.68,13.68,500,42.30,42.30,42.30,42.30,0,0,0
HLY,20070305,15.04,15.04,15.04,15.04,400,46.50,46.50,46.50,46.50,0,0,0
HLY,20070306,16.53,16.53,16.53,16.53,100,51.10,51.10,51.10,51.10,0,0,0
HLY,20070307,18.17,18.17,18.17,18.17,5600,54.20,54.20,54.20,54.20,0,0,0
HLY,20070308,19.98,19.98,19.98,19.98,1200,59.60,59.60,59.60,59.60,0,0,0
HLY,20070309,21.96,21.96,21.96,21.96,2100,65.50,65.50,65.50,65.50,0,0,0
HLY,20070312,24.14,24.14,23.47,23.47,1700,72.00,72.00,70.00,70.00,0,0,0
HLY,20070313,25.15,25.15,22.63,23.47,2200,75.00,75.00,67.50,70.00,0,0,0
HLY,20070314,23.10,23.10,23.10,23.10,100,68.90,68.90,68.90,68.90,0,0,0
HLY,20070315,21.12,21.12,20.82,20.82,1600,63.00,63.00,62.10,62.10,0,0,0
HLY,20070316,18.77,18.77,18.77,18.78,1600,56.00,56.00,56.00,56.00,0,0,0
HLY,20070319,20.66,20.66,20.66,20.65,300,61.60,61.60,61.60,61.60,0,0,0
HLY,20070320,22.69,22.69,22.29,22.30,1600,67.70,67.70,66.50,66.50,0,0,0
HLY,20070321,23.81,23.81,22.80,22.80,300,71.00,71.00,68.00,68.00,0,0,0
