<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HPB,20100429,15.00,28.12,14.06,28.12,23700,32.00,60.00,30.00,60.00,0,0,0
HPB,20100504,19.12,19.12,16.68,17.11,83900,40.80,40.80,35.60,36.50,0,0,0
HPB,20100505,16.41,16.88,16.41,16.87,115500,35.00,36.00,35.00,36.00,0,0,0
HPB,20100506,17.95,17.95,17.95,17.95,93400,38.30,38.30,38.30,38.30,0,0,0
HPB,20100507,19.17,19.17,18.98,19.17,114200,40.90,40.90,40.50,40.90,0,0,0
HPB,20100510,20.48,20.48,20.48,20.48,181500,43.70,43.70,43.70,43.70,0,0,0
HPB,20100511,21.89,21.89,21.89,21.89,415900,46.70,46.70,46.70,46.70,0,0,0
HPB,20100512,23.39,23.39,21.80,22.26,102900,49.90,49.90,46.50,47.50,0,0,0
HPB,20100513,21.14,21.56,21.04,21.04,99600,45.10,46.00,44.90,44.90,0,0,0
HPB,20100514,19.59,22.49,19.59,19.59,89800,41.80,48.00,41.80,41.80,0,0,0
HPB,20100517,18.23,20.90,18.23,18.23,194700,38.90,44.60,38.90,38.90,5000,0,0
HPB,20100518,17.39,17.39,17.34,17.34,40600,37.10,37.10,37.00,37.00,0,0,0
HPB,20100519,16.17,17.34,16.17,16.26,309200,34.50,37.00,34.50,34.70,0,0,0
HPB,20100520,15.56,17.76,15.51,16.83,82300,33.20,37.90,33.10,35.90,30000,0,0
HPB,20100521,14.95,14.95,14.95,14.95,9100,31.90,31.90,31.90,31.90,5000,0,0
HPB,20100524,14.11,15.98,13.92,15.98,89900,30.10,34.10,29.70,34.10,0,0,0
HPB,20100525,16.68,16.68,16.45,16.69,46200,35.60,35.60,35.10,35.60,0,0,0
HPB,20100526,17.82,17.82,17.35,17.81,137800,38.00,38.00,37.00,38.00,0,100,0
HPB,20100527,18.65,18.65,16.64,17.90,70300,39.80,39.80,35.50,38.20,0,0,0
HPB,20100528,17.81,18.84,17.57,18.89,312600,38.00,40.20,37.50,40.30,0,0,0
HPB,20100531,18.75,18.75,17.44,17.90,21500,40.00,40.00,37.20,38.20,0,0,0
HPB,20100601,17.85,17.85,16.63,16.64,188400,38.10,38.10,35.50,35.50,0,0,0
HPB,20100602,16.17,17.81,16.17,17.01,205500,34.50,38.00,34.50,36.30,0,0,0
HPB,20100603,18.46,18.46,16.87,17.34,99200,39.40,39.40,36.00,37.00,0,0,0
HPB,20100604,17.76,18.04,17.11,17.30,115000,37.90,38.50,36.50,36.90,0,0,0
HPB,20100607,17.11,17.11,16.36,16.36,55700,36.50,36.50,34.90,34.90,0,0,0
HPB,20100608,15.38,17.63,15.38,17.62,289800,32.80,37.60,32.80,37.60,0,0,0
HPB,20100609,18.18,18.18,18.04,18.19,629600,38.80,38.80,38.50,38.80,0,2000,0
HPB,20100610,18.99,18.99,17.77,18.19,201500,40.50,40.50,37.90,38.80,0,0,0
HPB,20100611,18.52,18.75,17.58,17.81,151800,39.50,40.00,37.50,38.00,0,0,0
HPB,20100614,17.81,18.28,17.58,17.90,127800,38.00,39.00,37.50,38.20,0,0,0
HPB,20100615,17.81,19.26,17.57,18.51,625500,38.00,41.10,37.50,39.50,0,0,0
HPB,20100616,19.17,19.59,18.42,18.89,361300,40.90,41.80,39.30,40.30,0,1000,0
HPB,20100617,19.03,19.22,17.81,17.95,118700,40.60,41.00,38.00,38.30,0,0,0
HPB,20100618,18.37,18.42,18.14,18.14,104800,39.20,39.30,38.70,38.70,0,0,2000
HPB,20100621,18.37,18.51,18.05,18.28,194600,39.20,39.50,38.50,39.00,0,4000,0
