<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HPC,20061215,8.92,10.71,7.14,9.69,102400,50.00,60.00,40.00,54.30,20000,0,0
HPC,20061218,8.73,10.53,8.73,10.15,68800,48.90,59.00,48.90,56.90,0,0,0
HPC,20061219,9.28,11.15,9.28,11.15,88700,52.00,62.50,52.00,62.50,10000,0,0
HPC,20061220,12.24,12.24,12.24,12.24,52700,68.60,68.60,68.60,68.60,65000,0,0
HPC,20061221,13.45,13.45,12.04,12.13,102000,75.40,75.40,67.50,68.00,0,0,0
HPC,20061222,12.22,12.22,11.56,11.60,19400,68.50,68.50,64.80,65.00,0,0,0
HPC,20061225,10.44,11.60,10.44,11.60,139800,58.50,65.00,58.50,65.00,12000,0,0
HPC,20061226,11.64,11.64,11.64,11.63,31700,65.20,65.20,65.20,65.20,32000,0,0
HPC,20061227,12.49,12.79,12.49,12.79,67600,70.00,71.70,70.00,71.70,13000,0,0
HPC,20061228,14.06,14.06,12.84,13.49,128700,78.80,78.80,72.00,75.60,10000,0,0
HPC,20061229,13.56,13.65,13.20,13.20,85900,76.00,76.50,74.00,74.00,0,0,0
HPC,20070102,13.56,13.74,13.29,13.29,85400,76.00,77.00,74.50,74.50,0,0,0
HPC,20070103,13.61,13.61,13.38,13.47,52500,76.30,76.30,75.00,75.50,0,0,0
HPC,20070104,13.47,13.92,13.47,13.91,100200,75.50,78.00,75.50,78.00,0,0,0
HPC,20070105,14.98,15.00,14.98,15.00,29300,84.00,84.10,84.00,84.10,0,0,0
HPC,20070108,16.50,16.50,16.48,16.50,167500,92.50,92.50,92.40,92.50,8000,0,0
HPC,20070109,17.66,18.14,16.95,17.80,167900,99.00,101.70,95.00,99.80,10000,0,0
HPC,20070110,19.44,19.48,18.73,19.48,61900,109.00,109.20,105.00,109.20,0,0,0
HPC,20070111,21.41,21.41,21.41,21.41,50000,120.00,120.00,120.00,120.00,0,0,0
HPC,20070112,23.55,23.55,23.55,23.55,268800,132.00,132.00,132.00,132.00,0,0,0
HPC,20070115,24.62,25.91,21.41,23.55,184300,138.00,145.20,120.00,132.00,5000,0,0
HPC,20070116,26.58,26.76,22.30,22.80,99300,149.00,150.00,125.00,127.80,0,0,0
HPC,20070117,22.12,22.84,21.34,21.34,33200,124.00,128.00,119.60,119.60,0,0,0
HPC,20070118,19.45,22.84,19.45,22.83,100800,109.00,128.00,109.00,128.00,0,0,0
HPC,20070119,23.63,23.63,22.85,23.01,97500,132.50,132.50,128.10,129.00,0,0,0
HPC,20070122,21.40,22.83,21.23,21.59,88000,120.00,128.00,119.00,121.00,0,0,0
HPC,20070123,22.30,22.30,21.41,22.10,55000,125.00,125.00,120.00,123.90,0,0,0
HPC,20070124,21.94,22.83,21.58,21.87,60900,123.00,128.00,121.00,122.60,0,0,0
HPC,20070125,21.94,21.94,20.69,21.23,26800,123.00,123.00,116.00,119.00,0,0,0
HPC,20070126,21.05,21.41,21.05,21.37,31600,118.00,120.00,118.00,119.80,0,0,0
HPC,20070129,21.42,21.42,21.05,21.32,37100,120.10,120.10,118.00,119.50,0,0,0
HPC,20070130,21.59,23.19,21.59,22.30,33700,121.00,130.00,121.00,125.00,0,0,0
HPC,20070131,22.57,23.19,22.57,22.98,38500,126.50,130.00,126.50,128.80,0,0,0
HPC,20070201,23.19,25.14,22.66,22.83,34600,130.00,140.90,127.00,128.00,0,0,0
HPC,20070202,23.63,23.63,22.29,22.82,37700,132.50,132.50,125.00,127.90,0,0,0
HPC,20070205,22.30,22.98,21.45,22.57,39600,125.00,128.80,120.20,126.50,0,0,0
HPC,20070206,22.48,22.48,22.12,22.12,36100,126.00,126.00,124.00,124.00,0,0,0
HPC,20070207,22.30,22.48,21.41,21.41,53300,125.00,126.00,120.00,120.00,0,0,0
HPC,20070208,21.95,24.07,20.52,21.41,33300,123.00,134.90,115.00,120.00,0,0,0
HPC,20070209,20.87,21.23,19.27,20.96,38900,117.00,119.00,108.00,117.50,0,0,0
HPC,20070212,20.91,22.99,20.91,22.99,36900,117.20,128.90,117.20,128.90,0,0,0
HPC,20070213,24.95,24.95,24.95,24.96,44300,139.90,139.90,139.90,139.90,0,0,0
HPC,20070214,27.44,27.44,25.35,26.31,159400,153.80,153.80,142.10,147.50,0,0,0
HPC,20070215,26.76,27.17,25.69,27.12,49600,150.00,152.30,144.00,152.00,0,0,0
HPC,20070226,28.19,29.46,26.94,28.10,74200,158.00,165.10,151.00,157.50,0,0,0
HPC,20070227,29.26,30.51,28.72,29.74,85600,164.00,171.00,161.00,166.70,0,0,0
HPC,20070228,31.22,31.22,28.54,29.26,44000,175.00,175.00,160.00,164.00,0,0,0
HPC,20070301,29.44,29.97,28.01,28.36,47500,165.00,168.00,157.00,159.00,0,0,0
HPC,20070302,28.54,28.98,28.18,28.45,47000,160.00,162.50,158.00,159.50,0,0,0
HPC,20070305,28.54,30.32,28.36,29.26,70300,160.00,170.00,159.00,164.00,0,0,0
HPC,20070306,29.44,30.42,28.55,28.72,44900,165.00,170.50,160.00,161.00,0,0,0
HPC,20070307,28.90,29.97,28.54,28.56,51100,162.00,168.00,160.00,160.10,0,0,0
HPC,20070308,29.45,29.45,28.45,28.54,32200,165.10,165.10,159.50,160.00,0,0,0
HPC,20070309,28.90,28.90,28.18,28.36,66500,162.00,162.00,158.00,159.00,0,0,0
HPC,20070312,28.90,29.07,28.36,28.65,64700,162.00,163.00,159.00,160.60,0,0,0
HPC,20070313,28.54,28.72,28.36,28.72,59500,160.00,161.00,159.00,161.00,0,0,0
HPC,20070314,28.58,28.58,27.65,27.83,35400,160.20,160.20,155.00,156.00,0,0,0
HPC,20070315,28.19,28.19,25.33,25.51,50400,158.00,158.00,142.00,143.00,0,0,0
HPC,20070316,27.17,28.89,27.17,28.89,42800,151.00,160.60,151.00,160.60,0,0,0
HPC,20070319,31.71,31.71,30.22,30.58,202000,176.30,176.30,168.00,170.00,0,0,0
HPC,20070320,33.28,33.28,28.78,30.40,59000,185.00,185.00,160.00,169.00,0,0,0
HPC,20070321,30.38,31.12,29.84,30.06,63500,168.90,173.00,165.90,167.10,0,0,0
HPC,20070322,30.13,30.13,29.68,30.01,64400,167.50,167.50,165.00,166.80,0,0,0
HPC,20070323,29.69,29.96,26.95,29.95,50600,165.00,166.50,149.80,166.50,0,0,0
HPC,20070326,30.94,32.67,26.73,28.25,85400,172.00,181.60,148.60,157.00,0,0,0
HPC,20070327,26.63,28.79,25.91,26.45,61000,148.00,160.00,144.00,147.00,0,0,0
HPC,20070328,25.19,29.26,24.11,29.25,103500,140.00,162.60,134.00,162.60,0,0,0
HPC,20070329,29.86,29.86,27.90,29.63,55500,166.00,166.00,155.10,164.70,0,0,0
HPC,20070330,30.40,30.40,28.06,28.07,57600,169.00,169.00,156.00,156.00,0,0,0
HPC,20070402,28.43,28.43,27.53,27.53,10000,158.00,158.00,153.00,153.00,0,0,0
HPC,20070403,27.89,27.89,26.18,26.99,33900,155.00,155.00,145.50,150.00,0,0,0
