<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HRC,20061226,28.79,28.79,28.79,28.79,14150,142.00,142.00,142.00,142.00,0,0,0
HRC,20061227,30.21,30.21,30.21,30.21,550,149.00,149.00,149.00,149.00,0,0,0
HRC,20061228,31.63,31.63,31.63,31.63,1100,156.00,156.00,156.00,156.00,0,0,0
HRC,20061229,33.05,33.05,33.05,33.05,100,163.00,163.00,163.00,163.00,0,0,0
HRC,20070102,34.67,34.67,34.67,34.67,6650,171.00,171.00,171.00,171.00,0,0,0
HRC,20070103,36.29,36.29,34.67,34.67,71300,179.00,179.00,171.00,171.00,0,0,0
HRC,20070104,36.29,36.29,35.48,36.30,55360,179.00,179.00,175.00,179.00,0,480,0
HRC,20070105,37.92,37.92,37.92,37.92,42440,187.00,187.00,187.00,187.00,0,2010,0
HRC,20070108,39.75,39.75,39.75,39.74,41830,196.00,196.00,196.00,196.00,0,0,0
HRC,20070109,39.74,39.74,39.74,39.74,20650,196.00,196.00,196.00,196.00,0,0,0
HRC,20070110,40.99,41.41,40.99,41.42,30380,196.00,198.00,196.00,198.00,0,12730,0
HRC,20070111,41.42,41.42,39.75,39.74,36470,198.00,198.00,190.00,190.00,0,20560,0
HRC,20070112,38.69,39.74,38.69,39.74,34650,185.00,190.00,185.00,190.00,0,200,0
HRC,20070115,41.62,41.62,41.20,41.21,78100,199.00,199.00,197.00,197.00,0,6700,20100
HRC,20070116,41.21,41.21,41.21,41.21,41890,197.00,197.00,197.00,197.00,0,0,0
HRC,20070117,41.21,41.42,41.21,41.21,39220,197.00,198.00,197.00,197.00,0,31390,0
HRC,20070118,0.00,41.00,40.79,40.79,36620,0.00,196.00,195.00,195.00,0,25000,0
HRC,20070119,41.63,41.84,41.63,41.84,51560,199.00,200.00,199.00,200.00,0,20000,0
