<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HU1,20100525,10.66,10.66,10.66,10.66,1000,20.00,20.00,20.00,20.00,0,0,0
HU1,20100608,10.66,10.66,10.66,10.66,25000,20.00,20.00,20.00,20.00,0,0,0
HU1,20100705,11.73,11.73,11.73,11.72,1500,22.00,22.00,22.00,22.00,0,0,0
HU1,20100708,12.89,12.89,12.89,12.90,1000,24.20,24.20,24.20,24.20,0,0,0
HU1,20100709,14.18,14.18,14.18,14.18,2000,26.60,26.60,26.60,26.60,0,0,0
HU1,20100712,15.57,15.57,15.57,15.56,1000,29.20,29.20,29.20,29.20,0,0,0
HU1,20100715,17.11,17.11,17.11,17.11,1781,32.10,32.10,32.10,32.10,0,0,0
HU1,20100716,18.82,18.82,18.82,18.81,14316,35.30,35.30,35.30,35.30,0,0,0
HU1,20100719,20.68,20.68,20.68,20.68,100,38.80,38.80,38.80,38.80,0,0,0
HU1,20100720,22.71,22.71,22.71,22.70,20200,42.60,42.60,42.60,42.60,0,0,0
HU1,20100721,24.94,24.94,24.94,24.94,2400,46.80,46.80,46.80,46.80,0,0,0
HU1,20100722,24.94,24.94,22.49,22.92,21600,46.80,46.80,42.20,43.00,0,0,0
HU1,20100723,22.39,22.39,20.79,21.58,5100,42.00,42.00,39.00,40.50,0,0,0
HU1,20100727,19.18,19.18,19.02,19.03,3000,36.00,36.00,35.70,35.70,0,0,0
HU1,20100728,18.66,18.66,18.66,18.65,2000,35.00,35.00,35.00,35.00,0,0,0
HU1,20100729,17.26,20.46,17.26,20.46,200,32.40,38.40,32.40,38.40,0,0,0
HU1,20100730,20.62,20.62,20.62,20.62,100,38.70,38.70,38.70,38.70,0,0,0
HU1,20100802,20.51,20.51,20.51,20.52,1000,38.50,38.50,38.50,38.50,0,0,0
HU1,20100804,18.92,18.92,18.92,18.92,2000,35.50,35.50,35.50,35.50,0,0,0
HU1,20100805,18.12,18.81,18.12,18.12,50600,34.00,35.30,34.00,34.00,0,0,0
HU1,20100806,17.59,17.59,17.59,17.59,400,33.00,33.00,33.00,33.00,0,0,0
HU1,20100809,17.06,17.06,15.83,15.83,3600,32.00,32.00,29.70,29.70,0,0,0
HU1,20100810,18.34,18.34,18.34,18.33,100,34.40,34.40,34.40,34.40,0,0,0
HU1,20100811,18.33,18.33,18.33,18.33,15896,34.40,34.40,34.40,34.40,0,0,0
HU1,20100812,16.52,16.52,16.52,16.52,100,31.00,31.00,31.00,31.00,0,0,0
HU1,20100813,18.17,18.17,18.17,18.17,100,34.10,34.10,34.10,34.10,0,0,0
HU1,20100816,18.17,18.17,18.17,18.17,500,34.10,34.10,34.10,34.10,0,0,0
HU1,20100818,16.52,16.52,16.36,16.36,3200,31.00,31.00,30.70,30.70,0,0,0
HU1,20100819,16.36,16.36,16.36,16.36,200,30.70,30.70,30.70,30.70,0,0,0
HU1,20100820,16.31,16.36,16.31,16.36,2300,30.60,30.70,30.60,30.70,0,0,0
HU1,20100824,16.09,16.09,14.76,14.76,2000,30.20,30.20,27.70,27.70,0,0,0
HU1,20100825,13.91,14.92,13.91,14.92,7200,26.10,28.00,26.10,28.00,0,0,0
HU1,20100830,15.62,15.62,15.62,15.61,300,29.30,29.30,29.30,29.30,0,0,0
HU1,20100831,15.98,17.05,15.34,17.05,2100,30.00,32.00,28.80,32.00,0,0,0
HU1,20100907,15.72,15.72,15.72,15.72,300,29.50,29.50,29.50,29.50,0,0,0
HU1,20100908,16.52,16.52,16.52,16.52,100,31.00,31.00,31.00,31.00,0,0,0
HU1,20100910,18.17,18.17,18.17,18.17,100,34.10,34.10,34.10,34.10,0,0,0
HU1,20100913,19.45,19.45,19.45,19.45,100,36.50,36.50,36.50,36.50,0,0,0
HU1,20100914,21.37,21.37,17.53,17.53,300,40.10,40.10,32.90,32.90,0,0,0
HU1,20100917,16.94,16.94,16.94,16.95,1100,31.80,31.80,31.80,31.80,0,0,0
HU1,20100920,16.42,16.42,16.42,16.41,100,30.80,30.80,30.80,30.80,0,0,0
HU1,20100921,16.04,16.04,15.56,15.56,9900,30.10,30.10,29.20,29.20,0,0,0
HU1,20100923,14.39,15.83,14.39,15.83,200,27.00,29.70,27.00,29.70,0,0,0
HU1,20100928,15.18,15.18,15.18,15.19,100,28.50,28.50,28.50,28.50,0,0,0
HU1,20100930,15.19,15.19,15.19,15.19,100,28.50,28.50,28.50,28.50,0,0,0
HU1,20101001,15.24,16.26,15.24,15.35,3000,28.60,30.50,28.60,28.80,0,0,0
HU1,20101004,14.12,14.92,14.12,14.92,1200,26.50,28.00,26.50,28.00,0,0,0
HU1,20101007,14.39,14.39,14.39,14.39,300,27.00,27.00,27.00,27.00,0,0,0
HU1,20101011,15.03,15.03,15.03,15.03,100,28.20,28.20,28.20,28.20,0,0,0
HU1,20101013,14.39,14.39,14.39,14.39,3000,27.00,27.00,27.00,27.00,0,0,0
HU1,20101019,13.32,13.32,13.32,13.32,25000,25.00,25.00,25.00,25.00,0,0,0
HU1,20101022,11.19,11.19,10.39,11.19,2300,21.00,21.00,19.50,21.00,0,0,0
HU1,20101026,10.82,10.82,10.82,10.82,500,20.30,20.30,20.30,20.30,0,0,0
HU1,20101028,10.66,10.66,10.66,10.66,200,20.00,20.00,20.00,20.00,0,0,0
HU1,20101102,10.66,11.19,10.66,10.66,12100,20.00,21.00,20.00,20.00,0,0,0
HU1,20101103,11.73,11.73,10.66,10.66,2600,22.00,22.00,20.00,20.00,0,0,0
