<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
IMP,20061204,25.45,25.45,25.45,25.45,62050,100.00,100.00,100.00,100.00,0,400,18000
IMP,20061205,24.43,24.43,24.18,24.17,89420,96.00,96.00,95.00,95.00,0,4170,0
IMP,20061206,23.03,23.03,23.03,23.03,3250,90.50,90.50,90.50,90.50,0,110,0
IMP,20061207,22.01,24.18,22.01,24.17,216560,86.50,95.00,86.50,95.00,0,900,54380
IMP,20061208,25.19,25.19,25.19,25.19,18700,99.00,99.00,99.00,99.00,0,0,0
IMP,20061211,26.21,26.21,26.21,26.21,73020,103.00,103.00,103.00,103.00,0,3500,0
IMP,20061212,27.23,27.23,26.21,26.21,92600,107.00,107.00,103.00,103.00,0,820,0
IMP,20061213,24.94,25.45,24.94,25.45,87350,98.00,100.00,98.00,100.00,0,820,200
IMP,20061214,25.45,26.21,25.45,25.45,58750,100.00,103.00,100.00,100.00,0,12350,200
IMP,20061215,25.45,25.45,25.20,25.19,84120,100.00,100.00,99.00,99.00,0,50130,9570
IMP,20061218,25.19,25.19,24.43,24.94,47200,99.00,99.00,96.00,98.00,0,0,0
IMP,20061219,24.43,24.43,24.43,24.43,30160,96.00,96.00,96.00,96.00,0,70,0
IMP,20061220,24.43,24.56,24.43,24.56,48390,96.00,96.50,96.00,96.50,0,10200,1050
IMP,20061221,24.56,24.56,24.18,24.17,55170,96.50,96.50,95.00,95.00,0,0,0
IMP,20061222,23.03,23.03,23.03,23.03,26950,90.50,90.50,90.50,90.50,0,0,0
IMP,20061225,22.39,24.18,22.39,24.17,26850,88.00,95.00,88.00,95.00,0,500,0
IMP,20061226,25.31,25.31,24.68,24.94,80250,99.50,99.50,97.00,98.00,0,25200,0
IMP,20061227,25.45,25.45,25.45,25.45,97420,100.00,100.00,100.00,100.00,0,61260,0
IMP,20061228,25.45,25.45,25.20,25.45,57710,100.00,100.00,99.00,100.00,0,24760,2500
IMP,20061229,25.45,25.45,25.07,25.45,34500,100.00,100.00,98.50,100.00,0,25000,0
IMP,20070102,25.45,25.45,25.45,25.45,33390,100.00,100.00,100.00,100.00,0,0,0
IMP,20070103,25.45,25.45,24.94,25.45,34780,100.00,100.00,98.00,100.00,0,0,0
IMP,20070104,26.72,26.72,26.72,26.72,43650,105.00,105.00,105.00,105.00,0,0,0
IMP,20070105,27.99,27.99,27.48,27.48,123610,110.00,110.00,108.00,108.00,0,900,27000
IMP,20070108,28.75,28.75,27.99,27.99,98860,113.00,113.00,110.00,110.00,0,42980,20
IMP,20070109,27.99,27.99,27.99,27.99,119530,110.00,110.00,110.00,110.00,0,0,0
IMP,20070110,28.50,29.01,28.50,29.01,92650,112.00,114.00,112.00,114.00,0,0,0
IMP,20070111,29.77,30.28,29.77,30.28,131220,117.00,119.00,117.00,119.00,0,35500,78500
IMP,20070112,31.55,31.55,31.55,31.55,70430,124.00,124.00,124.00,124.00,0,0,35230
IMP,20070115,32.06,32.06,32.06,32.06,43810,126.00,126.00,126.00,126.00,0,5650,0
IMP,20070116,31.81,31.81,31.04,31.04,38020,125.00,125.00,122.00,122.00,0,0,0
IMP,20070117,30.53,30.53,29.51,29.52,44580,120.00,120.00,116.00,116.00,0,0,7000
