<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
LCM,20110916,14.77,15.48,13.03,14.77,300470,22.90,24.00,20.20,22.90,0,0,0
LCM,20110919,15.48,15.48,14.83,15.48,261510,24.00,24.00,23.00,24.00,0,0,0
LCM,20110920,16.25,16.25,16.25,16.25,30610,25.20,25.20,25.20,25.20,0,0,0
LCM,20110921,17.02,17.02,17.02,17.03,30800,26.40,26.40,26.40,26.40,0,0,0
LCM,20110922,17.87,17.87,17.03,17.87,440740,27.70,27.70,26.40,27.70,0,0,0
LCM,20110923,18.71,18.71,18.00,18.71,419180,29.00,29.00,27.90,29.00,0,0,0
LCM,20110926,19.61,19.61,19.61,19.61,37010,30.40,30.40,30.40,30.40,100000,0,0
LCM,20110927,20.58,20.58,20.51,20.58,291840,31.90,31.90,31.80,31.90,0,0,0
LCM,20110928,21.55,21.55,20.32,21.54,441020,33.40,33.40,31.50,33.40,0,5000,0
LCM,20110929,20.51,21.54,20.51,20.51,584950,31.80,33.40,31.80,31.80,0,0,0
LCM,20110930,20.96,21.48,19.67,21.48,354940,32.50,33.30,30.50,33.30,0,0,0
LCM,20111003,21.35,21.80,20.71,20.70,446320,33.10,33.80,32.10,32.10,0,0,0
LCM,20111004,20.96,20.96,19.86,20.00,292150,32.50,32.50,30.80,31.00,0,0,0
LCM,20111005,19.35,20.97,19.35,20.96,455900,30.00,32.50,30.00,32.50,0,0,0
LCM,20111006,21.28,21.99,21.09,21.99,659370,33.00,34.10,32.70,34.10,0,0,0
LCM,20111007,22.57,23.09,22.25,23.09,283190,35.00,35.80,34.50,35.80,0,0,0
LCM,20111010,23.54,24.19,23.09,24.19,209070,36.50,37.50,35.80,37.50,0,1000,0
LCM,20111011,25.03,25.35,24.51,25.35,255520,38.80,39.30,38.00,39.30,0,0,0
LCM,20111012,26.38,26.38,24.12,25.16,448900,40.90,40.90,37.40,39.00,0,0,0
LCM,20111013,24.19,24.71,23.93,23.93,174830,37.50,38.30,37.10,37.10,0,0,0
LCM,20111014,24.25,24.38,23.09,23.22,122990,37.60,37.80,35.80,36.00,0,0,0
LCM,20111017,23.74,23.74,23.22,23.22,18980,36.80,36.80,36.00,36.00,254400,0,0
LCM,20111018,23.22,23.54,22.57,22.90,241830,36.00,36.50,35.00,35.50,142070,0,0
LCM,20111019,22.90,23.22,21.80,22.58,71610,35.50,36.00,33.80,35.00,150000,0,0
LCM,20111020,22.58,23.10,21.48,21.54,92310,35.00,35.80,33.30,33.40,0,0,1000
LCM,20111021,21.28,21.93,20.57,21.80,181600,33.00,34.00,31.90,33.80,0,0,0
LCM,20111024,21.93,22.83,21.86,22.83,73950,34.00,35.40,33.90,35.40,20000,0,0
LCM,20111025,23.41,23.93,23.41,23.93,86760,36.30,37.10,36.30,37.10,438590,0,0
LCM,20111026,24.19,25.09,23.87,24.19,185850,37.50,38.90,37.00,37.50,0,0,0
LCM,20111027,24.19,24.38,23.03,23.03,64530,37.50,37.80,35.70,35.70,0,0,0
LCM,20111028,22.58,22.97,21.93,21.99,80260,35.00,35.60,34.00,34.10,40000,9000,0
LCM,20111031,21.60,22.25,21.02,21.80,62870,33.50,34.50,32.60,33.80,0,0,0
LCM,20111101,21.80,21.80,21.22,21.67,185580,33.80,33.80,32.90,33.60,0,0,0
LCM,20111102,21.28,21.93,21.28,21.41,32170,33.00,34.00,33.00,33.20,0,0,0
LCM,20111103,21.28,22.44,21.28,22.45,45010,33.00,34.80,33.00,34.80,106760,0,0
LCM,20111104,23.22,23.35,22.90,23.35,35100,36.00,36.20,35.50,36.20,0,0,0
LCM,20111107,23.35,23.35,22.19,22.19,40040,36.20,36.20,34.40,34.40,110000,0,0
LCM,20111108,21.09,22.13,21.09,21.61,120530,32.70,34.30,32.70,33.50,0,0,0
LCM,20111109,20.90,21.61,20.90,21.22,65860,32.40,33.50,32.40,32.90,50000,0,0
LCM,20111110,20.70,21.16,20.19,20.19,88780,32.10,32.80,31.30,31.30,80000,0,0
LCM,20111111,19.42,21.16,19.42,20.19,30600,30.10,32.80,30.10,31.30,60000,0,0
LCM,20111114,20.96,20.96,19.35,20.64,28570,32.50,32.50,30.00,32.00,25000,0,0
LCM,20111115,21.29,21.29,19.61,21.03,12320,33.00,33.00,30.40,32.60,0,0,0
LCM,20111116,20.00,21.16,20.00,21.16,137990,31.00,32.80,31.00,32.80,0,0,0
LCM,20111117,21.03,21.29,20.39,21.16,33860,32.60,33.00,31.60,32.80,30000,0,0
LCM,20111118,21.03,21.03,20.32,20.96,18920,32.60,32.60,31.50,32.50,60000,0,0
LCM,20111121,20.90,20.90,19.93,19.93,4980,32.40,32.40,30.90,30.90,0,0,0
LCM,20111122,20.77,20.77,19.80,19.93,3900,32.20,32.20,30.70,30.90,0,0,0
LCM,20111123,20.51,20.51,19.87,20.45,36530,31.80,31.80,30.80,31.70,0,0,0
LCM,20111124,20.26,20.26,19.55,19.54,45940,31.40,31.40,30.30,30.30,32000,0,0
LCM,20111125,19.22,20.25,19.22,19.67,27890,29.80,31.40,29.80,30.50,0,0,0
LCM,20111128,20.44,20.44,20.06,20.45,20830,31.70,31.70,31.10,31.70,50000,0,0
LCM,20111129,20.39,20.71,20.00,20.00,47520,31.60,32.10,31.00,31.00,514220,0,0
LCM,20111130,20.19,20.52,20.00,20.25,15990,31.30,31.80,31.00,31.40,0,0,0
LCM,20111201,20.64,20.64,20.51,20.51,940,32.00,32.00,31.80,31.80,0,0,0
LCM,20111202,20.64,20.64,19.67,20.45,107390,32.00,32.00,30.50,31.70,0,0,0
LCM,20111205,20.97,21.29,20.58,21.29,87540,32.50,33.00,31.90,33.00,0,0,0
LCM,20111206,21.29,21.94,20.45,20.45,74400,33.00,34.00,31.70,31.70,0,0,0
LCM,20111207,19.74,21.22,19.74,21.22,91050,30.60,32.90,30.60,32.90,0,0,0
LCM,20111208,21.22,21.28,20.64,20.64,44290,32.90,33.00,32.00,32.00,68000,0,0
LCM,20111209,20.58,20.58,19.61,20.38,64420,31.90,31.90,30.40,31.60,0,0,0
LCM,20111212,19.99,20.32,19.41,20.32,109320,31.00,31.50,30.10,31.50,0,0,0
LCM,20111213,20.00,20.00,19.87,20.00,20800,31.00,31.00,30.80,31.00,50000,0,0
LCM,20111214,20.58,20.58,19.68,20.45,6270,31.90,31.90,30.50,31.70,40000,0,0
LCM,20111215,19.93,19.93,19.48,19.93,17070,30.90,30.90,30.20,30.90,20000,0,0
LCM,20111216,19.41,19.41,18.96,19.35,70460,30.10,30.10,29.40,30.00,0,0,0
LCM,20111219,18.38,19.35,18.38,19.03,112310,28.50,30.00,28.50,29.50,0,0,0
LCM,20111220,18.58,18.58,18.13,18.12,29100,28.80,28.80,28.10,28.10,0,0,0
LCM,20111221,17.22,18.96,17.22,18.96,195490,26.70,29.40,26.70,29.40,0,0,0
