<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
LIG,20100422,12.04,16.42,12.04,13.55,585800,44.00,60.00,44.00,49.50,0,0,0
LIG,20100426,14.29,14.29,12.95,12.95,165400,52.20,52.20,47.30,47.30,0,0,0
LIG,20100427,12.59,12.73,12.38,12.38,169500,46.00,46.50,45.20,45.20,0,0,0
LIG,20100428,12.33,13.26,12.33,13.25,135200,45.00,48.40,45.00,48.40,0,0,0
LIG,20100429,14.04,14.04,13.96,14.05,554000,51.30,51.30,51.00,51.30,0,0,0
LIG,20100504,14.93,15.01,14.38,14.60,221900,54.50,54.80,52.50,53.30,0,0,0
LIG,20100505,15.81,15.81,13.83,14.16,145000,57.70,57.70,50.50,51.70,0,0,0
LIG,20100506,13.69,14.24,13.69,13.69,274300,50.00,52.00,50.00,50.00,100000,0,0
LIG,20100507,13.96,13.96,12.98,13.28,155500,51.00,51.00,47.40,48.50,0,0,0
LIG,20100510,13.96,13.96,12.60,13.25,220600,51.00,51.00,46.00,48.40,50000,0,0
LIG,20100511,12.32,13.96,12.32,13.55,217900,45.00,51.00,45.00,49.50,5000,0,0
LIG,20100512,14.13,14.13,12.85,13.49,336800,34.10,34.10,31.00,32.50,0,0,0
LIG,20100513,13.70,13.91,12.95,13.49,81600,33.00,33.50,31.20,32.50,0,0,0
LIG,20100514,13.45,13.49,13.07,13.15,38500,32.40,32.50,31.50,31.70,0,100,0
LIG,20100517,13.07,13.07,12.28,12.86,62800,31.50,31.50,29.60,31.00,0,0,0
LIG,20100518,12.45,12.61,11.99,12.03,93000,30.00,30.40,28.90,29.00,35000,0,0
LIG,20100519,11.82,12.11,11.37,11.37,65400,28.50,29.20,27.40,27.40,25800,0,0
LIG,20100520,10.87,11.66,10.71,11.41,38900,26.20,28.10,25.80,27.50,0,0,0
LIG,20100521,10.58,11.12,10.41,10.71,66100,25.50,26.80,25.10,25.80,0,0,0
LIG,20100524,11.08,11.08,10.67,10.71,28900,26.70,26.70,25.70,25.80,0,0,0
LIG,20100525,10.79,10.79,10.59,10.66,24200,26.00,26.00,25.50,25.70,0,0,0
LIG,20100526,10.95,11.37,10.95,11.37,52800,26.40,27.40,26.40,27.40,0,0,0
LIG,20100527,11.83,12.08,11.41,12.07,97200,28.50,29.10,27.50,29.10,0,0,0
LIG,20100528,12.44,12.82,12.03,12.45,58600,30.00,30.90,29.00,30.00,0,0,0
LIG,20100531,12.87,12.87,11.62,11.62,19700,31.00,31.00,28.00,28.00,0,0,0
LIG,20100601,12.04,12.04,11.25,11.78,37700,29.00,29.00,27.10,28.40,0,0,0
LIG,20100602,12.24,12.57,11.16,12.57,163100,29.50,30.30,26.90,30.30,0,0,0
LIG,20100603,13.19,13.19,13.19,13.20,308500,31.80,31.80,31.80,31.80,0,0,0
LIG,20100604,13.28,14.11,13.28,14.03,222300,32.00,34.00,32.00,33.80,0,0,0
LIG,20100607,13.03,13.08,13.03,13.03,106700,31.40,31.50,31.40,31.40,15000,0,0
LIG,20100608,12.86,13.20,12.28,13.20,39300,31.00,31.80,29.60,31.80,0,0,0
LIG,20100609,12.74,13.49,11.91,11.91,92300,30.70,32.50,28.70,28.70,0,0,0
LIG,20100610,12.16,12.91,12.16,12.90,51400,29.30,31.10,29.30,31.10,0,0,0
LIG,20100611,13.27,13.27,12.53,12.61,36900,32.00,32.00,30.20,30.40,0,0,0
LIG,20100614,12.65,13.56,12.65,13.57,196800,30.50,32.70,30.50,32.70,0,0,0
LIG,20100615,14.28,14.28,14.11,14.27,464200,34.40,34.40,34.00,34.40,10000,2000,0
LIG,20100616,15.27,15.27,15.14,15.27,280300,36.80,36.80,36.50,36.80,0,0,0
LIG,20100617,15.27,15.98,14.52,14.52,167400,36.80,38.50,35.00,35.00,0,0,0
LIG,20100618,14.52,15.76,14.15,15.06,214300,35.00,38.00,34.10,36.30,0,0,0
LIG,20100621,15.68,15.68,14.19,15.15,253100,37.80,37.80,34.20,36.50,0,0,2000
LIG,20100622,15.15,15.36,14.53,14.69,147700,36.50,37.00,35.00,35.40,0,0,0
LIG,20100623,14.81,14.81,14.36,14.69,65700,35.70,35.70,34.60,35.40,15000,0,0
LIG,20100624,14.65,15.64,14.52,15.64,499200,35.30,37.70,35.00,37.70,0,0,0
LIG,20100625,15.64,15.64,14.89,15.35,201700,37.70,37.70,35.90,37.00,0,0,0
