<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MAFPF1,20071228,10.40,10.40,10.00,10.20,160500,10.40,10.40,10.00,10.20,0,0,0
MAFPF1,20080102,10.10,10.20,10.00,10.00,86930,10.10,10.20,10.00,10.00,0,300,0
MAFPF1,20080103,10.00,10.00,9.80,10.00,35240,10.00,10.00,9.80,10.00,0,300,0
MAFPF1,20080104,9.70,9.90,9.60,9.90,35610,9.70,9.90,9.60,9.90,0,400,0
MAFPF1,20080107,9.50,9.70,9.50,9.50,69250,9.50,9.70,9.50,9.50,0,0,0
MAFPF1,20080108,9.60,9.60,9.50,9.50,21500,9.60,9.60,9.50,9.50,0,3550,0
MAFPF1,20080109,9.60,9.60,9.40,9.40,36110,9.60,9.60,9.40,9.40,0,20000,0
MAFPF1,20080110,9.40,9.40,9.20,9.20,120260,9.40,9.40,9.20,9.20,0,10550,0
MAFPF1,20080111,9.00,9.40,9.00,9.20,26780,9.00,9.40,9.00,9.20,0,0,0
MAFPF1,20080114,9.20,9.30,9.00,9.00,14210,9.20,9.30,9.00,9.00,0,150,0
MAFPF1,20080115,8.90,9.00,8.70,8.70,34470,8.90,9.00,8.70,8.70,0,11000,0
MAFPF1,20080116,8.70,9.10,8.70,9.10,24770,8.70,9.10,8.70,9.10,0,2000,0
MAFPF1,20080117,9.00,9.30,9.00,9.00,30730,9.00,9.30,9.00,9.00,0,0,0
MAFPF1,20080118,9.10,9.10,9.10,9.10,4810,9.10,9.10,9.10,9.10,0,0,0
MAFPF1,20080121,8.90,9.10,8.90,9.00,31790,8.90,9.10,8.90,9.00,0,0,0
MAFPF1,20080122,8.70,8.90,8.60,8.80,23410,8.70,8.90,8.60,8.80,0,1000,0
MAFPF1,20080123,8.50,8.50,8.40,8.50,38270,8.50,8.50,8.40,8.50,0,0,0
MAFPF1,20080124,8.50,8.90,8.50,8.50,63560,8.50,8.90,8.50,8.50,0,0,0
MAFPF1,20080125,8.50,8.80,8.50,8.60,23910,8.50,8.80,8.50,8.60,0,600,0
MAFPF1,20080128,8.40,8.80,8.40,8.60,28200,8.40,8.80,8.40,8.60,0,900,0
MAFPF1,20080129,8.40,8.80,8.40,8.80,50810,8.40,8.80,8.40,8.80,0,2330,1000
MAFPF1,20080130,9.20,9.20,9.00,9.20,48600,9.20,9.20,9.00,9.20,0,0,2000
MAFPF1,20080131,9.40,9.40,9.20,9.40,51000,9.40,9.40,9.20,9.40,0,0,0
MAFPF1,20080201,9.50,9.80,9.40,9.80,48210,9.50,9.80,9.40,9.80,0,400,0
MAFPF1,20080212,9.90,9.90,9.50,9.50,30320,9.90,9.90,9.50,9.50,0,0,0
MAFPF1,20080213,9.10,9.30,9.10,9.10,36110,9.10,9.30,9.10,9.10,0,2000,0
MAFPF1,20080214,8.90,9.30,8.90,9.30,11990,8.90,9.30,8.90,9.30,0,0,0
MAFPF1,20080215,9.30,9.30,9.00,9.20,19800,9.30,9.30,9.00,9.20,0,0,40
MAFPF1,20080218,9.20,9.20,8.80,8.80,68960,9.20,9.20,8.80,8.80,0,0,40
MAFPF1,20080219,8.80,8.90,8.70,8.80,66550,8.80,8.90,8.70,8.80,0,0,0
MAFPF1,20080220,9.00,9.00,8.70,8.80,26800,9.00,9.00,8.70,8.80,0,200,0
MAFPF1,20080221,8.50,8.50,8.40,8.40,68380,8.50,8.50,8.40,8.40,0,200,0
MAFPF1,20080222,8.00,8.50,8.00,8.40,43800,8.00,8.50,8.00,8.40,0,2200,20
MAFPF1,20080225,8.80,8.80,8.70,8.80,83740,8.80,8.80,8.70,8.80,0,0,2000
MAFPF1,20080226,9.00,9.00,8.40,8.40,84330,9.00,9.00,8.40,8.40,0,3500,0
MAFPF1,20080227,8.40,8.70,8.40,8.40,35470,8.40,8.70,8.40,8.40,0,0,0
MAFPF1,20080228,8.70,8.70,8.40,8.60,52450,8.70,8.70,8.40,8.60,0,0,0
MAFPF1,20080229,8.40,8.50,8.30,8.40,19410,8.40,8.50,8.30,8.40,0,0,0
MAFPF1,20080303,8.40,8.40,8.00,8.00,98400,8.40,8.40,8.00,8.00,0,6780,1000
MAFPF1,20080304,7.70,7.70,7.60,7.60,110960,7.70,7.70,7.60,7.60,0,0,0
MAFPF1,20080305,7.30,7.30,7.30,7.30,45580,7.30,7.30,7.30,7.30,0,0,0
MAFPF1,20080306,7.60,7.60,7.60,7.60,37610,7.60,7.60,7.60,7.60,0,0,1000
MAFPF1,20080307,7.90,7.90,7.90,7.90,78600,7.90,7.90,7.90,7.90,0,3100,0
MAFPF1,20080310,8.20,8.20,8.00,8.20,170450,8.20,8.20,8.00,8.20,0,19680,0
MAFPF1,20080311,8.20,8.20,7.90,7.90,46230,8.20,8.20,7.90,7.90,0,1000,0
MAFPF1,20080312,7.70,8.20,7.70,8.00,29120,7.70,8.20,7.70,8.00,0,400,0
MAFPF1,20080313,8.00,8.10,7.90,7.90,26040,8.00,8.10,7.90,7.90,0,0,0
MAFPF1,20080314,7.70,8.00,7.70,7.80,36420,7.70,8.00,7.70,7.80,0,0,0
MAFPF1,20080317,7.60,7.70,7.60,7.70,44860,7.60,7.70,7.60,7.70,0,10960,0
MAFPF1,20080318,7.50,7.50,7.40,7.40,81230,7.50,7.50,7.40,7.40,0,0,0
MAFPF1,20080319,7.40,7.60,7.30,7.30,35720,7.40,7.60,7.30,7.30,0,0,0
MAFPF1,20080320,7.50,7.50,7.30,7.40,24490,7.50,7.50,7.30,7.40,0,0,0
MAFPF1,20080321,7.40,7.40,7.20,7.30,31440,7.40,7.40,7.20,7.30,0,2000,0
MAFPF1,20080324,7.00,7.00,7.00,7.00,68560,7.00,7.00,7.00,7.00,0,20000,0
MAFPF1,20080325,6.70,7.00,6.70,6.70,82560,6.70,7.00,6.70,6.70,0,20000,4000
MAFPF1,20080326,6.90,7.00,6.80,7.00,35700,6.90,7.00,6.80,7.00,0,50,0
MAFPF1,20080327,7.10,7.10,7.10,7.10,10370,7.10,7.10,7.10,7.10,0,0,0
MAFPF1,20080328,7.20,7.20,7.20,7.20,118200,7.20,7.20,7.20,7.20,0,0,0
MAFPF1,20080331,7.30,7.30,7.30,7.30,3880,7.30,7.30,7.30,7.30,0,0,0
MAFPF1,20080401,7.40,7.40,7.40,7.40,10510,7.40,7.40,7.40,7.40,0,0,0
MAFPF1,20080402,7.50,7.50,7.50,7.50,120,7.50,7.50,7.50,7.50,0,0,0
MAFPF1,20080403,7.60,7.60,7.60,7.60,27980,7.60,7.60,7.60,7.60,0,0,0
MAFPF1,20080404,7.70,7.70,7.70,7.70,8380,7.70,7.70,7.70,7.70,0,0,0
MAFPF1,20080407,7.80,7.80,7.80,7.80,27880,7.80,7.80,7.80,7.80,0,0,0
MAFPF1,20080408,7.90,7.90,7.70,7.70,189940,7.90,7.90,7.70,7.70,0,1270,0
MAFPF1,20080409,7.60,7.80,7.60,7.60,212550,7.60,7.80,7.60,7.60,0,0,0
MAFPF1,20080410,7.50,7.60,7.50,7.50,58710,7.50,7.60,7.50,7.50,0,0,0
MAFPF1,20080411,7.40,7.40,7.40,7.40,9480,7.40,7.40,7.40,7.40,0,0,0
MAFPF1,20080416,7.30,7.30,7.30,7.30,2910,7.30,7.30,7.30,7.30,0,0,0
MAFPF1,20080417,7.20,7.30,7.20,7.30,79350,7.20,7.30,7.20,7.30,0,0,0
MAFPF1,20080418,7.30,7.30,7.20,7.20,28810,7.30,7.30,7.20,7.20,0,2000,2300
