<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MIC,20071221,97.50,141.21,74.00,96.16,32400,290.00,420.00,220.10,286.00,0,0,0
MIC,20071224,101.98,101.98,87.42,98.85,22100,303.30,303.30,260.00,294.00,0,0,0
MIC,20071225,100.19,100.19,92.80,93.13,11700,298.00,298.00,276.00,277.00,0,0,0
MIC,20071226,91.11,91.82,89.10,91.15,4400,271.00,273.10,265.00,271.10,0,0,0
MIC,20071227,95.15,95.15,84.06,84.05,13500,283.00,283.00,250.00,250.00,0,0,0
MIC,20071228,84.05,84.72,80.69,80.73,13100,250.00,252.00,240.00,240.10,0,0,0
MIC,20080102,87.76,87.76,73.30,73.30,17800,261.00,261.00,218.00,218.00,0,0,0
MIC,20080103,67.25,70.61,66.95,67.24,25200,200.00,210.00,199.10,200.00,16800,100,0
MIC,20080104,63.88,68.58,61.73,66.24,8200,190.00,204.00,183.60,197.00,0,0,0
MIC,20080107,63.38,63.38,59.99,59.98,10700,188.50,188.50,178.40,178.40,0,0,0
MIC,20080108,62.20,62.20,57.59,60.15,17900,185.00,185.00,171.30,178.90,0,0,0
MIC,20080109,60.15,60.18,54.00,54.80,38600,178.90,179.00,160.60,163.00,0,0,0
MIC,20080110,54.80,54.80,49.42,53.12,35500,163.00,163.00,147.00,158.00,0,0,0
MIC,20080111,51.27,53.79,51.17,52.21,9000,152.50,160.00,152.20,155.30,0,0,0
MIC,20080114,52.11,52.11,49.76,50.43,3500,155.00,155.00,148.00,150.00,0,0,0
MIC,20080115,48.08,48.08,45.69,45.76,4600,143.00,143.00,135.90,136.10,0,0,0
MIC,20080116,48.75,50.43,48.75,50.43,5100,145.00,150.00,145.00,150.00,0,0,0
MIC,20080117,54.46,54.67,49.69,50.77,21300,162.00,162.60,147.80,151.00,0,0,0
MIC,20080118,49.09,53.80,49.09,52.62,6800,146.00,160.00,146.00,156.50,0,0,0
MIC,20080121,52.12,52.12,50.47,51.44,3800,155.00,155.00,150.10,153.00,0,0,0
MIC,20080122,51.20,51.20,49.86,51.21,11200,152.30,152.30,148.30,152.30,0,0,0
MIC,20080123,48.82,49.76,47.07,49.69,8300,145.20,148.00,140.00,147.80,0,0,0
MIC,20080124,50.73,51.10,48.08,48.08,8300,150.90,152.00,143.00,143.00,0,0,0
MIC,20080125,47.07,50.27,47.07,49.76,5300,140.00,149.50,140.00,148.00,0,0,0
MIC,20080128,48.75,49.76,48.08,48.82,3700,145.00,148.00,143.00,145.20,0,100,0
MIC,20080129,48.75,54.10,48.08,51.51,8700,145.00,160.90,143.00,153.20,5000,1000,0
MIC,20080130,55.48,56.02,51.11,55.48,14300,165.00,166.60,152.00,165.00,0,0,0
MIC,20080131,52.62,56.46,52.45,53.80,7900,156.50,167.90,156.00,160.00,0,0,0
MIC,20080201,57.16,57.16,51.78,56.15,9800,170.00,170.00,154.00,167.00,0,600,0
MIC,20080212,55.48,55.48,51.14,51.21,3300,165.00,165.00,152.10,152.30,0,100,0
MIC,20080213,50.44,50.44,50.27,50.43,4800,150.00,150.00,149.50,150.00,0,0,0
MIC,20080214,49.76,51.10,48.08,50.43,12300,148.00,152.00,143.00,150.00,0,100,0
MIC,20080215,49.42,49.42,48.11,48.11,2600,147.00,147.00,143.10,143.10,0,0,0
MIC,20080218,48.24,48.24,45.72,47.24,9200,143.50,143.50,136.00,140.50,0,0,0
MIC,20080219,45.39,50.43,43.71,48.42,3100,135.00,150.00,130.00,144.00,0,0,0
MIC,20080220,46.20,47.14,43.78,44.72,17800,137.40,140.20,130.20,133.00,0,0,0
MIC,20080221,42.37,42.37,41.02,41.02,8900,126.00,126.00,122.00,122.00,5400,0,0
MIC,20080222,37.69,41.02,37.25,41.02,12900,112.10,122.00,110.80,122.00,0,0,600
MIC,20080225,40.35,42.36,40.35,40.68,20100,120.00,126.00,120.00,121.00,0,0,0
MIC,20080226,42.02,42.02,36.98,36.98,23100,125.00,125.00,110.00,110.00,0,0,0
MIC,20080227,42.73,42.73,37.65,39.00,15800,127.10,127.10,112.00,116.00,0,0,0
MIC,20080228,45.22,45.62,38.33,40.35,16100,134.50,135.70,114.00,120.00,0,0,0
MIC,20080229,42.03,47.41,40.35,40.99,22100,125.00,141.00,120.00,121.90,0,0,0
MIC,20080303,44.39,48.09,39.64,39.64,23100,132.00,143.00,117.90,117.90,0,0,0
MIC,20080304,45.39,45.39,39.44,39.44,13600,135.00,135.00,117.30,117.30,0,0,0
MIC,20080305,38.30,38.30,38.30,38.30,1100,113.90,113.90,113.90,113.90,0,100,0
MIC,20080306,40.35,42.10,40.35,42.09,38600,120.00,125.20,120.00,125.20,0,2000,0
MIC,20080307,46.02,46.16,45.35,46.16,42200,136.90,137.30,134.90,137.30,0,0,0
MIC,20080310,49.72,49.72,42.02,42.06,18700,147.90,147.90,125.00,125.10,0,0,0
MIC,20080311,40.01,40.01,39.94,39.94,2400,119.00,119.00,118.80,118.80,0,0,0
MIC,20080312,37.02,43.03,37.02,38.33,7900,110.10,128.00,110.10,114.00,0,0,0
MIC,20080313,41.32,41.32,35.30,36.31,13600,122.90,122.90,105.00,108.00,0,0,0
MIC,20080314,35.91,35.91,32.78,33.29,47200,106.80,106.80,97.50,99.00,10000,0,0
