<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MMC,20080728,19.14,28.92,15.31,27.64,116300,45.00,68.00,36.00,65.00,0,0,0
MMC,20080729,26.32,26.32,26.32,26.32,69600,61.90,61.90,61.90,61.90,0,0,0
MMC,20080730,27.34,27.34,25.34,27.34,155800,64.30,64.30,59.60,64.30,0,700,0
MMC,20080731,28.15,28.15,28.15,28.15,37400,66.20,66.20,66.20,66.20,0,0,0
MMC,20080801,29.26,29.26,29.26,29.25,17000,68.80,68.80,68.80,68.80,0,0,0
MMC,20080804,30.40,30.40,30.40,30.40,9200,71.50,71.50,71.50,71.50,0,0,0
MMC,20080805,31.04,31.04,29.21,29.21,17200,73.00,73.00,68.70,68.70,0,0,0
MMC,20080806,28.15,28.15,28.15,28.15,16300,66.20,66.20,66.20,66.20,0,0,0
MMC,20080807,27.04,27.04,27.04,27.04,1300,63.60,63.60,63.60,63.60,0,0,0
MMC,20080808,25.98,25.98,25.98,25.98,200,61.10,61.10,61.10,61.10,0,0,0
MMC,20080811,24.96,27.00,24.96,27.00,90200,58.70,63.50,58.70,63.50,0,0,0
MMC,20080812,27.30,27.30,25.30,27.30,53000,64.20,64.20,59.50,64.20,0,0,0
MMC,20080813,25.94,27.85,25.94,27.17,21400,61.00,65.50,61.00,63.90,0,0,0
MMC,20080814,25.94,27.89,25.94,27.89,41500,61.00,65.60,61.00,65.60,0,0,0
MMC,20080815,28.74,28.74,26.57,28.74,70000,67.60,67.60,62.50,67.60,0,30000,0
MMC,20080818,30.61,30.74,28.48,28.49,30100,72.00,72.30,67.00,67.00,0,0,0
MMC,20080819,28.49,28.49,27.26,27.26,14900,67.00,67.00,64.10,64.10,0,0,0
MMC,20080820,25.64,26.75,25.64,25.64,32500,60.30,62.90,60.30,60.30,0,0,0
MMC,20080821,23.90,27.47,23.90,26.79,37700,56.20,64.60,56.20,63.00,0,0,0
MMC,20080822,27.22,27.22,24.45,24.45,42100,64.00,64.00,57.50,57.50,0,0,30000
MMC,20080825,26.79,26.83,25.94,26.83,27300,63.00,63.10,61.00,63.10,0,0,0
MMC,20080826,28.45,28.45,27.64,27.64,58200,66.90,66.90,65.00,65.00,0,100,0
MMC,20080827,29.77,29.77,26.41,26.79,24600,70.00,70.00,62.10,63.00,0,0,0
MMC,20080828,26.36,26.36,26.19,26.19,8800,62.00,62.00,61.60,61.60,0,0,0
MMC,20080829,24.36,25.51,24.36,24.75,26200,57.30,60.00,57.30,58.20,0,0,0
MMC,20080903,26.28,26.28,26.24,26.28,9200,61.80,61.80,61.70,61.80,0,0,0
MMC,20080904,28.07,28.07,24.45,24.66,13200,66.00,66.00,57.50,58.00,0,0,0
MMC,20080905,25.51,25.51,23.72,23.73,13300,60.00,60.00,55.80,55.80,0,0,0
MMC,20080908,22.16,22.33,22.16,22.15,13300,52.10,52.50,52.10,52.10,0,0,0
MMC,20080909,22.15,23.68,22.15,22.32,8800,52.10,55.70,52.10,52.50,0,0,0
MMC,20080910,22.11,22.11,21.17,21.26,12600,52.00,52.00,49.80,50.00,0,0,0
MMC,20080911,19.98,20.41,19.77,19.94,17400,47.00,48.00,46.50,46.90,0,0,0
MMC,20080912,18.71,18.71,18.49,18.50,8300,44.00,44.00,43.50,43.50,0,0,0
MMC,20080915,18.71,19.82,17.86,19.81,7200,44.00,46.60,42.00,46.60,0,0,0
MMC,20080916,20.53,20.53,17.90,17.90,12500,48.30,48.30,42.10,42.10,0,0,0
MMC,20080917,16.92,17.09,16.92,16.92,6300,39.80,40.20,39.80,39.80,0,0,0
MMC,20080918,15.94,15.94,15.81,15.82,5900,37.50,37.50,37.20,37.20,0,0,0
MMC,20080919,14.80,16.93,14.76,16.92,2500,34.80,39.80,34.70,39.80,0,0,0
MMC,20080922,17.26,17.26,17.26,17.26,100,40.60,40.60,40.60,40.60,0,0,0
MMC,20080923,18.45,18.45,17.86,18.45,13700,43.40,43.40,42.00,43.40,0,0,0
MMC,20080924,18.32,18.71,17.43,18.28,4500,43.10,44.00,41.00,43.00,0,0,0
MMC,20080925,18.07,19.39,18.07,19.26,12400,42.50,45.60,42.50,45.30,0,0,0
MMC,20080926,20.41,20.41,20.37,20.41,3000,48.00,48.00,47.90,48.00,0,0,0
MMC,20080929,21.26,21.26,19.13,19.56,6200,50.00,50.00,45.00,46.00,0,0,0
MMC,20080930,18.16,18.16,18.16,18.16,300,42.70,42.70,42.70,42.70,0,0,0
MMC,20081001,17.01,19.39,16.93,19.39,13600,40.00,45.60,39.80,45.60,0,0,0
