<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
NAG,20090922,19.55,23.31,18.77,22.68,487300,25.00,29.80,24.00,29.00,0,200,0
NAG,20090923,21.74,21.74,21.74,21.74,121600,27.80,27.80,27.80,27.80,0,0,0
NAG,20090924,23.23,23.23,23.23,23.23,231900,29.70,29.70,29.70,29.70,0,0,0
NAG,20090925,24.79,24.79,21.67,22.84,207200,31.70,31.70,27.70,29.20,0,3500,0
NAG,20090928,22.21,22.21,22.21,22.21,14700,28.40,28.40,28.40,28.40,0,0,0
NAG,20090929,20.72,20.72,20.72,20.73,25100,26.50,26.50,26.50,26.50,0,800,0
NAG,20090930,19.32,19.32,19.32,19.32,23100,24.70,24.70,24.70,24.70,0,0,0
NAG,20091001,17.99,17.99,17.99,17.99,10900,23.00,23.00,23.00,23.00,0,200,0
NAG,20091002,16.74,16.74,16.74,16.74,12500,21.40,21.40,21.40,21.40,0,0,0
NAG,20091005,15.64,17.60,15.64,17.05,282100,20.00,22.50,20.00,21.80,0,100,3500
NAG,20091006,16.82,17.21,16.82,17.21,298800,21.50,22.00,21.50,22.00,0,0,0
NAG,20091007,18.23,18.38,18.07,18.38,208400,23.30,23.50,23.10,23.50,0,0,0
NAG,20091008,19.55,19.55,17.21,18.62,116800,25.00,25.00,22.00,23.80,0,0,0
NAG,20091009,17.60,18.23,17.06,17.36,150500,22.50,23.30,21.80,22.20,0,0,0
NAG,20091012,16.42,17.20,16.42,17.21,146600,21.00,22.00,21.00,22.00,0,0,0
NAG,20091013,17.21,17.76,16.98,17.36,122000,22.00,22.70,21.70,22.20,0,0,0
NAG,20091014,17.52,18.14,17.20,18.15,126000,22.40,23.20,22.00,23.20,0,0,0
NAG,20091015,17.99,18.62,17.21,17.60,87700,23.00,23.80,22.00,22.50,0,0,0
NAG,20091016,17.99,18.07,16.66,16.74,78500,23.00,23.10,21.30,21.40,0,0,0
NAG,20091019,16.74,16.74,15.88,16.27,58500,21.40,21.40,20.30,20.80,0,0,0
NAG,20091020,16.43,17.13,16.43,16.82,174700,21.00,21.90,21.00,21.50,0,0,0
NAG,20091021,17.21,17.99,16.82,17.91,353700,22.00,23.00,21.50,22.90,0,0,0
NAG,20091022,18.30,18.38,17.60,18.07,132600,23.40,23.50,22.50,23.10,0,0,0
NAG,20091023,18.07,18.38,16.90,17.68,86500,23.10,23.50,21.60,22.60,0,0,0
NAG,20091026,18.38,18.38,16.82,16.82,89600,23.50,23.50,21.50,21.50,0,0,100
NAG,20091027,16.59,16.74,16.27,16.27,155700,21.20,21.40,20.80,20.80,0,0,0
NAG,20091028,16.66,17.44,16.43,17.21,81300,21.30,22.30,21.00,22.00,0,0,0
NAG,20091029,16.82,16.82,15.65,16.27,73900,21.50,21.50,20.00,20.80,0,0,0
NAG,20091030,16.82,16.97,16.74,16.97,34600,21.50,21.70,21.40,21.70,0,0,0
NAG,20091102,16.89,16.89,15.72,15.72,58500,21.60,21.60,20.10,20.10,0,0,0
NAG,20091103,15.88,16.35,15.25,15.72,70100,20.30,20.90,19.50,20.10,0,0,0
NAG,20091104,15.88,16.27,15.64,15.80,44000,20.30,20.80,20.00,20.20,0,0,0
