<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ND2,20100722,13.55,13.63,13.20,13.20,1000,15.60,15.70,15.20,15.20,0,0,0
ND2,20100723,13.46,13.46,12.07,12.85,1100,15.50,15.50,13.90,14.80,0,0,0
ND2,20100726,11.89,11.89,11.89,11.89,200,13.70,13.70,13.70,13.70,0,0,0
ND2,20100728,11.63,11.63,11.46,11.46,200,13.40,13.40,13.20,13.20,0,0,0
ND2,20100805,12.68,12.68,12.68,12.68,100,14.60,14.60,14.60,14.60,0,0,0
ND2,20100819,12.07,12.07,12.07,12.07,100,13.90,13.90,13.90,13.90,0,0,0
ND2,20100830,10.94,10.94,10.94,10.94,100,12.60,12.60,12.60,12.60,0,0,0
ND2,20100831,9.90,9.90,9.90,9.90,100,11.40,11.40,11.40,11.40,0,0,0
ND2,20100901,10.86,10.86,8.94,8.94,300,12.50,12.50,10.30,10.30,0,0,0
ND2,20100906,8.59,8.59,8.59,8.59,300,9.90,9.90,9.90,9.90,0,0,0
ND2,20100910,9.37,9.37,9.37,9.38,100,10.80,10.80,10.80,10.80,0,0,0
ND2,20100923,8.51,8.51,8.51,8.51,600,9.80,9.80,9.80,9.80,0,0,0
ND2,20100929,7.73,7.73,7.73,7.73,100,8.90,8.90,8.90,8.90,0,0,0
ND2,20100930,7.04,7.04,7.04,7.03,200,8.10,8.10,8.10,8.10,0,0,0
ND2,20101001,7.72,7.72,7.72,7.73,100,8.90,8.90,8.90,8.90,0,0,0
ND2,20101004,7.04,7.04,7.04,7.03,100,8.10,8.10,8.10,8.10,0,0,0
ND2,20101005,6.34,7.64,6.34,7.64,4200,7.30,8.80,7.30,8.80,0,0,0
ND2,20101006,5.82,5.82,5.82,5.82,1000,6.70,6.70,6.70,6.70,0,0,0
ND2,20101007,6.25,6.34,6.25,6.34,300,7.20,7.30,7.20,7.30,0,0,0
ND2,20101008,6.86,6.86,6.86,6.86,200,7.90,7.90,7.90,7.90,0,0,0
ND2,20101011,7.38,7.38,7.38,7.38,200,8.50,8.50,8.50,8.50,0,0,0
