<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PAN,20061222,10.27,10.27,7.90,9.40,19500,65.00,65.00,50.00,59.50,10000,0,0
PAN,20061225,8.47,9.48,8.47,9.48,30000,53.60,60.00,53.60,60.00,0,0,0
PAN,20061226,9.53,9.53,9.53,9.53,2000,60.30,60.30,60.30,60.30,0,0,0
PAN,20061227,10.48,10.48,10.48,10.48,34500,66.30,66.30,66.30,66.30,10000,0,0
PAN,20061228,11.52,11.52,11.48,11.52,108000,72.90,72.90,72.60,72.90,0,0,0
PAN,20061229,12.64,12.64,11.38,11.54,14400,80.00,80.00,72.00,73.00,0,0,0
PAN,20070102,11.86,12.01,11.59,11.70,15600,75.00,76.00,73.30,74.00,0,0,0
PAN,20070103,11.70,11.86,11.57,11.71,7800,74.00,75.00,73.20,74.10,0,0,0
PAN,20070104,12.64,12.72,12.48,12.72,30400,80.00,80.50,79.00,80.50,0,0,0
PAN,20070105,13.87,13.87,13.87,13.88,36000,87.80,87.80,87.80,87.80,0,0,0
PAN,20070108,15.02,15.02,12.66,13.91,20900,95.00,95.00,80.10,88.00,0,0,0
PAN,20070109,14.86,15.02,14.23,15.01,33800,94.00,95.00,90.00,95.00,0,0,0
PAN,20070110,15.80,15.80,15.48,15.80,19900,100.00,100.00,98.00,100.00,0,0,0
PAN,20070111,17.17,17.17,15.80,16.60,16300,108.70,108.70,100.00,105.00,0,0,0
PAN,20070112,17.91,17.91,17.91,17.91,57900,113.30,113.30,113.30,113.30,0,0,0
PAN,20070115,19.70,19.70,18.49,18.97,58500,124.60,124.60,117.00,120.00,11500,0,0
PAN,20070116,21.03,21.18,17.55,18.33,27200,133.00,134.00,111.00,116.00,0,0,0
PAN,20070117,19.44,19.44,17.46,17.46,13800,123.00,123.00,110.50,110.50,5000,0,0
PAN,20070118,15.79,18.96,15.79,18.97,35600,99.90,120.00,99.90,120.00,0,0,0
PAN,20070119,18.97,19.16,18.65,18.65,56000,120.00,121.20,118.00,118.00,0,0,0
PAN,20070122,19.76,19.76,17.07,17.07,23600,125.00,125.00,108.00,108.00,0,0,0
PAN,20070123,17.07,18.81,16.60,16.60,44000,108.00,119.00,105.00,105.00,8000,0,0
PAN,20070124,18.18,18.18,17.71,17.70,1400,115.00,115.00,112.00,112.00,0,0,0
PAN,20070125,17.65,17.65,16.59,16.75,18300,111.70,111.70,105.00,106.00,0,0,0
PAN,20070126,18.17,18.33,16.72,16.75,40400,115.00,116.00,105.80,106.00,0,0,0
PAN,20070129,18.17,18.49,17.07,17.07,46500,115.00,117.00,108.00,108.00,0,0,0
PAN,20070130,19.12,19.12,18.33,18.97,56600,121.00,121.00,116.00,120.00,0,0,0
PAN,20070131,19.44,19.44,18.97,19.00,33600,123.00,123.00,120.00,120.20,0,0,0
PAN,20070201,18.97,19.60,18.34,18.33,5500,120.00,124.00,116.00,116.00,0,0,0
PAN,20070202,18.80,18.80,17.38,18.76,35100,119.00,119.00,110.00,118.70,0,0,0
PAN,20070205,18.13,18.18,18.00,18.00,4900,114.70,115.00,113.90,113.90,0,0,0
PAN,20070206,18.00,18.02,16.75,17.23,14900,113.90,114.00,106.00,109.00,0,0,0
PAN,20070207,17.39,18.18,16.60,18.18,23100,110.00,115.00,105.00,115.00,0,0,0
PAN,20070208,17.86,17.86,16.92,17.39,42300,113.00,113.00,107.00,110.00,0,0,0
PAN,20070209,17.39,17.39,16.68,16.67,17800,110.00,110.00,105.50,105.50,0,0,0
PAN,20070212,17.03,17.38,17.03,17.24,4600,107.80,110.00,107.80,109.10,0,0,0
PAN,20070213,17.22,18.17,17.22,18.10,3900,109.00,115.00,109.00,114.50,0,0,0
PAN,20070214,18.81,18.97,18.18,18.81,7600,119.00,120.00,115.00,119.00,0,0,0
