<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PDC,20090929,18.00,25.00,18.00,22.00,236000,18.00,25.00,18.00,22.00,0,0,0
PDC,20090930,24.30,24.30,21.30,21.30,74600,24.30,24.30,21.30,21.30,118000,400,0
PDC,20091001,20.80,20.80,20.80,20.80,15700,20.80,20.80,20.80,20.80,0,0,0
PDC,20091002,19.40,19.40,19.40,19.40,4700,19.40,19.40,19.40,19.40,0,0,0
PDC,20091005,18.10,18.10,18.10,18.10,5500,18.10,18.10,18.10,18.10,0,100,0
PDC,20091006,16.90,18.90,16.90,18.20,280700,16.90,18.90,16.90,18.20,0,0,0
PDC,20091007,18.00,18.20,17.60,17.90,104000,18.00,18.20,17.60,17.90,0,0,0
PDC,20091008,17.00,17.50,16.70,17.50,98900,17.00,17.50,16.70,17.50,0,0,0
PDC,20091009,17.20,17.20,15.80,16.80,237000,17.20,17.20,15.80,16.80,0,2200,0
PDC,20091012,16.80,17.30,16.80,17.30,127000,16.80,17.30,16.80,17.30,0,0,0
PDC,20091013,18.50,18.50,18.00,18.50,385100,18.50,18.50,18.00,18.50,0,0,0
PDC,20091014,19.70,19.70,19.50,19.70,531700,19.70,19.70,19.50,19.70,28000,0,0
PDC,20091015,21.00,21.00,19.10,19.50,237700,21.00,21.00,19.10,19.50,0,0,0
PDC,20091016,19.10,19.10,19.00,19.00,89900,19.10,19.10,19.00,19.00,0,0,0
PDC,20091019,17.70,19.00,17.70,17.80,127400,17.70,19.00,17.70,17.80,10000,0,0
PDC,20091020,19.10,19.10,17.80,18.40,156900,19.10,19.10,17.80,18.40,0,100,0
PDC,20091021,18.00,18.20,17.50,18.00,145300,18.00,18.20,17.50,18.00,0,1900,0
PDC,20091022,18.00,18.10,17.70,17.90,101600,18.00,18.10,17.70,17.90,0,0,0
PDC,20091023,18.20,18.40,16.70,17.40,101800,18.20,18.40,16.70,17.40,0,0,0
PDC,20091026,17.00,17.00,16.50,16.50,60800,17.00,17.00,16.50,16.50,0,0,0
PDC,20091027,16.80,16.80,15.80,16.20,74300,16.80,16.80,15.80,16.20,0,0,0
PDC,20091028,16.10,17.10,16.10,16.60,53100,16.10,17.10,16.10,16.60,0,0,0
PDC,20091029,15.70,16.60,15.60,15.80,71500,15.70,16.60,15.60,15.80,0,0,0
PDC,20091030,16.70,16.70,15.60,15.90,62500,16.70,16.70,15.60,15.90,0,0,0
PDC,20091102,15.90,16.00,14.80,14.80,61100,15.90,16.00,14.80,14.80,0,0,0
PDC,20091103,14.90,14.90,13.90,14.30,31400,14.90,14.90,13.90,14.30,0,0,0
PDC,20091104,14.20,15.00,14.20,14.50,31400,14.20,15.00,14.20,14.50,0,0,0
PDC,20091105,14.50,15.30,14.50,15.30,37900,14.50,15.30,14.50,15.30,0,0,0
PDC,20091106,16.10,16.10,14.50,14.80,21300,16.10,16.10,14.50,14.80,0,0,0
PDC,20091109,15.50,15.50,14.30,14.30,20600,15.50,15.50,14.30,14.30,0,0,0
PDC,20091110,14.00,14.00,13.40,13.60,14600,14.00,14.00,13.40,13.60,0,0,0
PDC,20091111,14.00,14.00,13.00,14.00,11600,14.00,14.00,13.00,14.00,0,0,0
PDC,20091112,14.30,14.30,13.90,14.00,10400,14.30,14.30,13.90,14.00,0,0,0
PDC,20091113,13.90,13.90,13.10,13.30,42800,13.90,13.90,13.10,13.30,0,0,0
PDC,20091116,13.30,13.50,13.30,13.30,21600,13.30,13.50,13.30,13.30,0,0,0
PDC,20091117,13.60,13.60,13.20,13.40,26600,13.60,13.60,13.20,13.40,0,0,0
PDC,20091118,13.20,13.60,13.20,13.60,6100,13.20,13.60,13.20,13.60,0,0,0
PDC,20091119,13.50,13.50,13.30,13.50,18400,13.50,13.50,13.30,13.50,0,0,0
