<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PET,20070912,13.94,13.94,13.94,13.94,173790,58.00,58.00,58.00,58.00,0,0,0
PET,20070913,13.34,13.34,13.34,13.34,132500,55.50,55.50,55.50,55.50,0,0,0
PET,20070914,12.74,13.94,12.74,13.46,553000,53.00,58.00,53.00,56.00,0,1000,0
PET,20070917,13.46,14.06,13.22,14.06,240970,56.00,58.50,55.00,58.50,0,0,0
PET,20070918,14.66,14.66,14.66,14.66,98150,61.00,61.00,61.00,61.00,0,0,0
PET,20070919,15.38,15.38,15.38,15.38,105430,64.00,64.00,64.00,64.00,0,0,0
PET,20070920,16.10,16.10,14.66,16.10,528880,67.00,67.00,61.00,67.00,0,101680,1000
PET,20070921,16.58,16.82,16.22,16.58,527340,69.00,70.00,67.50,69.00,0,202300,100
PET,20070924,17.30,17.30,17.30,17.30,174860,72.00,72.00,72.00,72.00,0,0,0
PET,20070925,18.14,18.14,18.14,18.14,37000,75.50,75.50,75.50,75.50,0,0,0
PET,20070926,18.98,18.98,18.98,18.99,69310,79.00,79.00,79.00,79.00,0,0,0
PET,20070927,19.83,19.83,19.11,19.83,501310,82.50,82.50,79.50,82.50,0,0,0
PET,20070928,20.79,20.79,20.67,20.79,388840,86.50,86.50,86.00,86.50,0,0,0
PET,20071001,21.75,21.75,21.75,21.75,65030,90.50,90.50,90.50,90.50,0,0,0
PET,20071002,22.83,22.83,22.83,22.83,135070,95.00,95.00,95.00,95.00,0,0,0
PET,20071003,23.91,23.91,23.79,23.91,546350,99.50,99.50,99.00,99.50,0,17250,0
PET,20071004,24.99,24.99,24.03,24.99,533540,104.00,104.00,100.00,104.00,0,19100,0
PET,20071005,24.03,24.27,23.79,23.79,509350,100.00,101.00,99.00,99.00,0,0,0
PET,20071008,22.71,22.71,22.71,22.71,214570,94.50,94.50,94.50,94.50,0,8520,0
PET,20071009,21.63,21.63,21.63,21.63,212720,90.00,90.00,90.00,90.00,0,0,0
PET,20071010,22.71,22.71,22.71,22.71,574780,94.50,94.50,94.50,94.50,0,0,0
PET,20071011,23.79,23.79,23.55,23.79,612830,99.00,99.00,98.00,99.00,0,22600,6000
PET,20071012,23.79,23.91,23.19,23.55,400250,99.00,99.50,96.50,98.00,0,160300,100
PET,20071015,23.19,23.55,23.19,23.31,269350,96.50,98.00,96.50,97.00,0,0,0
PET,20071016,23.07,23.19,22.71,22.71,277150,96.00,96.50,94.50,94.50,0,0,0
PET,20071017,22.71,23.31,22.71,23.07,212740,94.50,97.00,94.50,96.00,0,2100,0
PET,20071018,23.07,23.31,22.83,23.07,259550,96.00,97.00,95.00,96.00,0,156000,3500
PET,20071019,23.07,23.07,22.83,22.95,193120,96.00,96.00,95.00,95.50,0,0,0
PET,20071022,22.83,22.95,22.59,22.83,236790,95.00,95.50,94.00,95.00,0,0,0
PET,20071023,22.83,22.83,22.59,22.83,247940,95.00,95.00,94.00,95.00,74740,101500,1000
PET,20071024,23.07,23.79,22.95,23.79,415990,96.00,99.00,95.50,99.00,0,0,0
PET,20071025,23.79,23.79,23.07,23.07,293220,99.00,99.00,96.00,96.00,0,0,0
PET,20071026,22.95,23.07,22.83,23.07,453200,95.50,96.00,95.00,96.00,0,0,0
PET,20071029,24.11,24.11,24.11,24.11,125580,58.00,58.00,58.00,58.00,0,0,20000
PET,20071030,25.15,25.15,25.15,25.15,60430,60.50,60.50,60.50,60.50,0,0,0
PET,20071031,26.40,26.40,26.40,26.40,43830,63.50,63.50,63.50,63.50,0,0,0
PET,20071101,27.65,27.65,27.65,27.64,108260,66.50,66.50,66.50,66.50,0,0,0
PET,20071102,28.89,28.89,27.64,27.85,1058540,69.50,69.50,66.50,67.00,0,0,0
PET,20071105,26.60,26.60,26.60,26.60,220840,64.00,64.00,64.00,64.00,0,0,0
PET,20071106,25.35,25.35,25.35,25.36,264220,61.00,61.00,61.00,61.00,0,0,0
PET,20071107,25.78,26.61,25.78,26.19,277120,62.00,64.00,62.00,63.00,0,0,0
PET,20071108,26.19,26.40,25.57,25.56,147460,63.00,63.50,61.50,61.50,0,0,0
