<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PGC,20061124,12.55,12.55,12.55,12.55,101830,68.00,68.00,68.00,68.00,0,0,0
PGC,20061127,12.00,12.00,12.00,11.99,202800,65.00,65.00,65.00,65.00,0,0,0
PGC,20061128,11.44,11.44,11.44,11.44,17980,62.00,62.00,62.00,62.00,0,0,0
PGC,20061129,10.89,10.89,10.89,10.89,9060,59.00,59.00,59.00,59.00,0,0,0
PGC,20061130,10.43,10.43,10.43,10.43,22990,56.50,56.50,56.50,56.50,0,0,0
PGC,20061201,9.97,9.97,9.97,9.96,34370,54.00,54.00,54.00,54.00,0,1700,0
PGC,20061204,9.50,9.50,9.50,9.50,55880,51.50,51.50,51.50,51.50,0,5300,0
PGC,20061205,9.04,9.04,9.04,9.04,90520,49.00,49.00,49.00,49.00,0,13500,0
PGC,20061206,9.41,9.41,9.41,9.41,410980,51.00,51.00,51.00,51.00,0,200,600
PGC,20061207,9.87,9.87,9.87,9.87,56360,53.50,53.50,53.50,53.50,0,0,0
PGC,20061208,10.33,10.33,10.33,10.33,92260,56.00,56.00,56.00,56.00,0,36000,9000
PGC,20061211,10.79,10.79,10.79,10.80,188000,58.50,58.50,58.50,58.50,0,7580,100
PGC,20061212,10.34,10.34,10.34,10.33,455880,56.00,56.00,56.00,56.00,0,88830,4100
PGC,20061213,10.79,10.79,10.79,10.80,226890,58.50,58.50,58.50,58.50,0,124000,0
PGC,20061214,11.26,11.26,11.08,11.07,306060,61.00,61.00,60.00,60.00,0,161800,2700
PGC,20061215,11.35,11.35,11.07,11.07,216350,61.50,61.50,60.00,60.00,0,133250,0
PGC,20061218,11.07,11.07,10.52,10.70,196460,60.00,60.00,57.00,58.00,0,0,0
PGC,20061219,10.70,10.70,10.70,10.70,70710,58.00,58.00,58.00,58.00,0,12220,5000
PGC,20061220,10.70,11.07,10.52,10.52,109560,58.00,60.00,57.00,57.00,0,50520,0
PGC,20061221,10.52,10.98,10.06,10.15,105590,57.00,59.50,54.50,55.00,0,65380,1400
PGC,20061222,9.87,9.87,9.87,9.87,67120,53.50,53.50,53.50,53.50,0,7330,0
PGC,20061225,9.69,10.15,9.69,10.15,31790,52.50,55.00,52.50,55.00,0,0,0
PGC,20061226,10.52,10.52,10.15,10.52,41060,57.00,57.00,55.00,57.00,0,0,0
PGC,20061227,0.00,10.89,10.70,10.89,74000,0.00,59.00,58.00,59.00,0,50700,0
PGC,20061228,11.07,11.07,11.07,11.07,259820,60.00,60.00,60.00,60.00,0,228300,4000
PGC,20061229,10.89,10.89,10.70,10.70,23210,59.00,59.00,58.00,58.00,0,0,5080
PGC,20070102,10.98,10.98,10.70,10.98,45720,59.50,59.50,58.00,59.50,0,0,0
